AAPL,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
0,57.2475,56.7175,133195840,57.4175,56.275,56.8047,265320,2018-09-05 04:00:00
1,56.5575,55.775,137159904,56.8375,55.325,55.8938,281778,2018-09-06 04:00:00
2,55.4625,55.325,150479240,56.3425,55.1775,55.7917,302905,2018-09-07 04:00:00
3,55.2375,54.5825,158040612,55.4625,54.1175,54.5691,349531,2018-09-10 04:00:00
4,54.5025,55.9625,142996196,56.0748,54.14,55.4857,308573,2018-09-11 04:00:00
5,56.235,55.2675,197114960,56.25,54.96,55.4357,422485,2018-09-12 04:00:00
6,55.88,56.6025,166525508,57.0875,55.6425,56.4775,323339,2018-09-13 04:00:00
7,56.4375,55.96,127997156,56.71,55.6305,56.087,244692,2018-09-14 04:00:00
8,55.5375,54.47,148780532,55.7375,54.3175,54.9056,315705,2018-09-17 04:00:00
9,54.4475,54.56,126286848,55.4625,54.28,54.8653,263816,2018-09-18 04:00:00
10,54.625,54.5925,108424932,54.905,53.825,54.359,234513,2018-09-19 04:00:00
11,55.06,55.0075,106435176,55.57,54.7875,55.1929,218332,2018-09-20 04:00:00
12,55.195,54.415,384986992,55.34,54.3225,54.586,281178,2018-09-21 04:00:00
13,54.205,55.1975,110773432,55.315,54.1575,54.8693,198159,2018-09-24 04:00:00
14,54.9375,55.5475,98217516,55.705,54.925,55.4165,173707,2018-09-25 04:00:00
15,55.25,55.105,95938824,55.9375,54.94,55.4675,182735,2018-09-26 04:00:00
16,55.955,56.2375,120724908,56.61,55.885,56.2867,224618,2018-09-27 04:00:00
17,56.1975,56.435,91717456,56.46,56.005,56.299,178336,2018-09-28 04:00:00
18,56.9875,56.815,94403208,57.355,56.5875,56.999,191834,2018-10-01 04:00:00
19,56.8125,57.32,99152680,57.5,56.6575,57.2614,206803,2018-10-02 04:00:00
20,57.5125,58.0175,114594196,58.3675,57.445,58.0587,237796,2018-10-03 04:00:00
21,57.695,56.9975,128168000,58.0875,56.6825,57.2097,284898,2018-10-04 04:00:00
22,56.99,56.0725,134321852,57.1025,55.145,56.1078,316507,2018-10-05 04:00:00
23,55.5525,55.9425,116615692,56.2,55.05,55.7109,260878,2018-10-08 04:00:00
24,55.91,56.7175,107564116,56.8175,55.5616,56.4055,247142,2018-10-09 04:00:00
25,56.365,54.09,167962216,56.5875,54.0125,55.2396,406129,2018-10-10 04:00:00
26,53.63,53.6125,212497568,54.875,53.08,53.9455,545012,2018-10-11 04:00:00
27,55.105,55.5275,161351404,55.72,54.21,55.1283,343455,2018-10-12 04:00:00
28,55.29,54.34,123164028,55.4575,54.3175,54.671,257521,2018-10-15 04:00:00
29,54.7325,55.5375,116735852,55.7475,54.1907,55.0193,267901,2018-10-16 04:00:00
30,55.575,55.2975,91541588,55.66,54.835,55.2595,227312,2018-10-17 04:00:00
31,54.465,54.005,130325260,54.935,53.25,54.258,311070,2018-10-18 04:00:00
