AMZN,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
0,101.9055,99.741,164411520,102.019,99.4945,100.3129,213339,2018-09-05 04:00:00
1,100.3253,97.9155,149773600,100.375,96.7605,98.219,203320,2018-09-06 04:00:00
2,96.9355,97.6035,97852860,98.76,96.8675,97.9299,128568,2018-09-07 04:00:00
3,98.55,96.9505,90896620,98.652,96.5758,97.2014,122656,2018-09-10 04:00:00
4,96.4135,99.3575,100672900,99.444,95.85,98.066,133114,2018-09-11 04:00:00
5,99.7,99.5,88241840,100,98.122,99.1731,113125,2018-09-12 04:00:00
6,100,99.4935,72430220,100.438,99.1014,99.757,100065,2018-09-13 04:00:00
7,99.6465,98.5095,72840600,99.6824,97.961,98.6845,102668,2018-09-14 04:00:00
8,97.7365,95.4015,141003840,97.841,94.3705,95.9374,200543,2018-09-17 04:00:00
9,95.9325,97.0525,85374120,97.91,95.772,97.077,113302,2018-09-18 04:00:00
10,97.025,96.321,81136440,97.0415,95.245,95.9722,116138,2018-09-19 04:00:00
11,96.929,97.215,63097580,97.75,96.6125,97.2391,93401,2018-09-20 04:00:00
12,97.711,95.7505,137117960,97.8655,95.5251,96.3698,115179,2018-09-21 04:00:00
13,95.1895,96.718,84274560,96.844,93.25,95.5946,121752,2018-09-24 04:00:00
14,97.145,98.7275,90768140,98.7955,96.9425,97.9231,114159,2018-09-25 04:00:00
15,98.425,98.7425,86269180,99.7625,98.076,99.0021,110076,2018-09-26 04:00:00
16,99.6618,100.649,86587820,100.8078,99.429,100.3812,120438,2018-09-27 04:00:00
17,100.2205,100.15,81702700,101.326,99.8232,100.4431,99295,2018-09-28 04:00:00
18,101.0995,100.218,69365700,101.6595,100.18,100.9387,95769,2018-10-01 04:00:00
19,99.9995,98.5655,107993380,100.6695,98.2885,99.4968,135514,2018-10-02 04:00:00
20,99.085,97.638,105062620,99.485,97.4905,98.3219,132308,2018-10-03 04:00:00
21,97.45,95.471,145139460,97.8,94.8285,95.8272,211852,2018-10-04 04:00:00
22,95.8995,94.4825,136446540,96.454,93.1415,94.6297,209937,2018-10-05 04:00:00
23,93.7,93.221,147863980,95.0998,91.5331,93.1512,200982,2018-10-08 04:00:00
24,92.9995,93.516,95457320,94.8338,92.616,93.7352,124441,2018-10-09 04:00:00
25,92.8945,87.7625,219777100,92.928,87.7205,90.1229,330749,2018-10-10 04:00:00
26,86.2,85.968,278717440,87.77,84.255,85.8994,416704,2018-10-11 04:00:00
27,90.4,89.4305,188811420,90.4475,87.1265,89.0327,287359,2018-10-12 04:00:00
28,89.75,88.0475,128743240,89.7525,86.7115,88.2093,160018,2018-10-15 04:00:00
29,89.175,90.998,116398360,91.194,88.0775,89.8659,152056,2018-10-16 04:00:00
30,92.1395,91.5865,105847140,92.25,90.35,91.333,143073,2018-10-17 04:00:00
31,91.0745,88.536,117479880,91.5075,88.3935,89.6917,161511,2018-10-18 04:00:00
32,89.258,88.2015,116744920,90.455,87.65,88.9828,137626,2018-10-19 04:00:00
33,89.2,89.465,90000300,90.475,87.8,89.3329,119108,2018-10-22 04:00:00
34,87.112,88.435,134478260,88.817,85.7,87.2108,189987,2018-10-23 04:00:00
35,88.685,83.21,138567660,88.8855,82.828,85.8281,211255,2018-10-24 04:00:00
36,85.167,89.1085,205714840,89.7405,84.6005,86.8551,319750,2018-10-25 04:00:00
37,82.4795,82.1405,299275660,84.923,80.15,82.1557,409292,2018-10-26 04:00:00
38,83,76.944,277188540,83.2869,74.75,78.5201,379261,2018-10-29 04:00:00
39,74.308,76.521,249201720,77.0495,73.818,75.6221,341277,2018-10-30 04:00:00
40,78.4995,79.9005,187804220,81.1955,78.2545,79.9068,240316,2018-10-31 04:00:00
41,81.1765,83.2765,162710780,83.5223,79.922,81.8605,210187,2018-11-01 04:00:00
42,83.9295,83.2765,139110960,84.872,82.5915,83.5332,174149,2018-11-02 04:00:00
43,82.8785,81.39,112494540,82.9045,79.818,80.9572,151702,2018-11-05 05:00:00
44,80.9175,82.1405,85147060,83.25,80.7275,82.1532,114852,2018-11-06 05:00:00
45,83.65,87.7745,163734680,87.9615,83.2038,86.1912,213953,2018-11-07 05:00:00
46,87.75,87.7455,130686520,89.2,86.2555,87.9658,171536,2018-11-08 05:00:00
47,86.625,85.6215,118043720,87.196,85.0935,85.8538,142330,2018-11-09 05:00:00
48,84.912,81.8425,136124900,85.4275,81.5005,82.6175,181189,2018-11-12 05:00:00
49,82.4645,81.5585,118665420,83.8532,80.6875,82.2632,165046,2018-11-13 05:00:00
50,82.816,79.9505,129737820,83.6498,79.8535,81.2097,171962,2018-11-14 05:00:00
51,79.0505,80.972,168146740,81.241,77.3255,79.2952,233181,2018-11-15 05:00:00
52,79.375,79.6705,121171600,80.724,78.656,79.6896,147240,2018-11-16 05:00:00
53,78.8505,75.6145,155564620,79.0595,75.168,76.7056,212510,2018-11-19 05:00:00
54,71.875,74.773,217576460,76.7375,71,74.4809,292632,2018-11-20 05:00:00
55,77.1495,75.8365,114336000,77.5,75.75,76.5193,143235,2018-11-21 05:00:00
56,75.85,75.103,54152840,76.81,75.0905,75.9211,64969,2018-11-23 05:00:00
57,76.95,79.0665,125154320,79.2405,76.211,77.9258,164179,2018-11-26 05:00:00
58,78.7995,79.071,115617540,79.8825,77.9005,79.1079,138825,2018-11-27 05:00:00
59,80.696,83.8875,169174760,84.0725,80.0608,82.0429,212322,2018-11-28 05:00:00
60,83.7495,83.6785,132264860,84.4995,82.6166,83.7166,158419,2018-11-29 05:00:00
61,83.975,84.5085,115235220,84.8,83.325,84.3053,121726,2018-11-30 05:00:00
62,88.473,88.618,137243200,88.917,86.5,88.2837,180036,2018-12-03 05:00:00
63,87.8,83.42,173889100,88.5169,83.25,85.611,223379,2018-12-04 05:00:00
64,80.7435,84.9595,175364260,85.0525,80.4925,83.0233,234662,2018-12-06 05:00:00
65,85.2535,81.4565,151522640,85.9463,81.273,83.1746,198218,2018-12-07 05:00:00
66,81.192,82.0515,149896160,82.8995,79.5435,81.497,185466,2018-12-10 05:00:00
67,83.9,82.162,124893900,83.9734,80.98,82.5571,157664,2018-12-11 05:00:00
68,83.45,83.177,131959360,85.2495,83.0135,84.1043,157838,2018-12-12 05:00:00
69,84,82.919,105423240,84.606,82.075,83.0245,122444,2018-12-13 05:00:00
70,81.9,79.5955,127343260,82.1285,79.25,80.6994,156690,2018-12-14 05:00:00
71,78.3,76.0455,176595240,78.8065,75.2505,77.0191,226845,2018-12-17 05:00:00
72,77,77.574,130459500,78.3775,76.1505,77.2298,161431,2018-12-18 05:00:00
73,77.1525,74.754,175843780,79.2265,74.159,76.7026,221964,2018-12-19 05:00:00
74,74.2,73.0415,199836660,75.475,71.6345,73.334,273708,2018-12-20 05:00:00
75,73.2495,68.8725,272806400,74,68.198,70.3791,309702,2018-12-21 05:00:00
76,67.3,67.198,144399920,69.8015,65.35,67.5391,179368,2018-12-24 05:00:00
77,68.4445,73.545,208236020,73.6578,68.1505,70.9016,260477,2018-12-26 05:00:00
78,72.71,73.082,194440680,73.45,69.5155,71.4847,244778,2018-12-27 05:00:00
79,73.6675,73.901,176579000,75.6735,72.45,74.0744,231800,2018-12-28 05:00:00
80,75.54,75.0985,139090140,76.038,74.35,75.2545,166775,2018-12-31 05:00:00
81,73.26,76.9565,159660860,77.668,73.0465,76.0976,196911,2019-01-02 05:00:00
82,76.0005,75.014,139511440,76.9,74.8555,75.7795,172819,2019-01-03 05:00:00
83,76.5,78.7695,183651500,79.7,75.9155,78.2081,218576,2019-01-04 05:00:00
84,80.1155,81.4755,159588260,81.728,79.4593,80.8724,189812,2019-01-07 05:00:00
85,83.2345,82.829,177628360,83.8305,80.8305,82.6416,227572,2019-01-08 05:00:00
86,82.649,82.971,126976020,83.3899,82.0698,82.8786,160672,2019-01-09 05:00:00
87,82.0505,82.811,130153860,83.1625,81.0808,82.332,151499,2019-01-10 05:00:00
88,82.0275,82.028,93724440,83.0147,81.811,82.229,114362,2019-01-11 05:00:00
89,80.75,80.8605,120117760,82.41,79.7575,81.3399,125681,2019-01-14 05:00:00
90,81.6,83.728,119959200,83.758,81.3005,82.8035,139657,2019-01-15 05:00:00
91,84.211,84.189,127337280,85.25,83.7939,84.5367,137717,2019-01-16 05:00:00
92,84,84.661,84177500,85.0085,83.875,84.4466,103342,2019-01-17 05:00:00
93,85.6,84.81,120054860,85.81,84.577,85.2404,130005,2019-01-18 05:00:00
94,84.05,81.6085,128335920,84.0933,80.51,82.2387,160729,2019-01-22 05:00:00
95,82.8,82.001,104406740,82.8715,80.6,81.8335,118833,2019-01-23 05:00:00
96,82.0535,82.7465,81798860,82.8629,81.5892,82.3041,88993,2019-01-24 05:00:00
97,83.525,83.5285,99166580,84.174,83.0806,83.6425,106907,2019-01-25 05:00:00
98,82.1795,81.8945,96754220,82.25,80.7045,81.4451,118667,2019-01-28 05:00:00
