,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
0,167.48,164.23,35694874.0,168.28,162.03,164.9237,259646,2018-09-05 04:00:00
1,164.16,159.87,33052154.0,166.48,158.67,161.5378,244887,2018-09-06 04:00:00
2,159.95,162.37,19153010.0,164.61,159.5095,162.5685,149735,2018-09-07 04:00:00
3,158.59,156.36,39092899.0,160.72,155.0,157.0789,270371,2018-09-10 04:00:00
4,153.18,157.46,25913410.0,158.45,152.85,156.4303,175839,2018-09-11 04:00:00
5,158.2,161.46,32490606.0,162.82,156.1808,160.4451,213239,2018-09-12 04:00:00
6,165.41,165.53,25663062.0,167.22,164.01,165.532,185943,2018-09-13 04:00:00
7,167.88,164.74,23218059.0,168.0,163.381,165.2107,156137,2018-09-14 04:00:00
8,161.5,158.89,20423310.0,161.65,158.2886,159.6286,166242,2018-09-17 04:00:00
9,156.88,156.65,27247436.0,159.4,155.52,156.8003,209407,2018-09-18 04:00:00
10,158.82,162.63,23028437.0,163.13,158.82,161.8453,173073,2018-09-19 04:00:00
11,166.89,165.88,22830037.0,167.7,164.7163,166.089,156653,2018-09-20 04:00:00
12,169.46,164.63,22082300.0,169.84,164.5,166.2804,150480,2018-09-21 04:00:00
13,162.81,163.16,13123452.0,163.399,160.1,162.1619,106840,2018-09-24 04:00:00
14,164.05,164.25,9588845.0,165.44,162.83,164.1238,73075,2018-09-25 04:00:00
15,165.52,165.4,13592687.0,167.39,164.87,166.3651,105961,2018-09-26 04:00:00
16,166.39,166.32,12689316.0,167.05,164.92,166.1176,91400,2018-09-27 04:00:00
17,164.9,164.76,10487560.0,165.66,163.3,164.4374,93478,2018-09-28 04:00:00
18,165.92,162.0,10615273.0,165.95,161.56,163.2954,86860,2018-10-01 04:00:00
19,159.79,160.23,14730730.0,161.0278,158.27,159.7824,120318,2018-10-02 04:00:00
20,163.15,162.37,13120916.0,164.54,161.93,162.9696,98146,2018-10-03 04:00:00
21,160.06,156.13,32176232.0,160.08,153.87,156.5151,245462,2018-10-04 04:00:00
22,156.14,154.63,20271470.0,157.12,152.25,154.5266,171916,2018-10-05 04:00:00
