CELH,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
0,4.38,4.39,29573,4.4212,4.3,4.3565,272,2018-09-05 04:00:00
1,4.37,4.3,25795,4.56,4.3,4.3398,193,2018-09-06 04:00:00
2,4.26,4.42,43215,4.52,4.26,4.4464,205,2018-09-07 04:00:00
3,4.48,4.6,40930,4.6,4.405,4.5264,315,2018-09-10 04:00:00
4,4.62,4.66,62884,4.74,4.5601,4.6772,419,2018-09-11 04:00:00
5,4.68,4.65,38384,4.7,4.59,4.64,246,2018-09-12 04:00:00
6,4.65,4.63,107193,4.65,4.57,4.6472,306,2018-09-13 04:00:00
7,4.6,4.57,23353,4.63,4.57,4.6058,256,2018-09-14 04:00:00
8,4.48,4.37,37755,4.55,4.31,4.4,288,2018-09-17 04:00:00
9,4.4872,4.28,29371,4.4872,4.28,4.335,228,2018-09-18 04:00:00
10,4.28,4.23,53238,4.3,4.18,4.2524,271,2018-09-19 04:00:00
11,4.3,4.35,57608,4.45,4.27,4.346,302,2018-09-20 04:00:00
12,4.33,4.16,204041,4.42,3.98,4.1804,834,2018-09-21 04:00:00
13,4.24,4.08,67720,4.24,4.04,4.1214,332,2018-09-24 04:00:00
14,4.07,4.08,42362,4.135,4.07,4.0853,406,2018-09-25 04:00:00
15,4.11,4.13,12967,4.17,4.1,4.1267,117,2018-09-26 04:00:00
16,4.11,4.23,39814,4.25,4.0802,4.1839,238,2018-09-27 04:00:00
17,4.16,4.03,59440,4.25,3.99,4.1156,452,2018-09-28 04:00:00
18,4.03,3.92,106372,4.18,3.8895,3.961,723,2018-10-01 04:00:00
19,3.9,3.98,104653,4.08,3.8,3.9388,616,2018-10-02 04:00:00
20,3.99,3.96,50713,4.01,3.83,3.9422,506,2018-10-03 04:00:00
21,3.95,3.88,90051,3.95,3.76,3.8306,623,2018-10-04 04:00:00
22,3.89,3.86,32134,3.91,3.79,3.8549,280,2018-10-05 04:00:00
23,3.87,3.74,63056,3.8709,3.71,3.7649,454,2018-10-08 04:00:00
24,3.71,3.69,51803,3.84,3.62,3.6855,567,2018-10-09 04:00:00
25,3.7,3.46,119889,3.93,3.46,3.5243,552,2018-10-10 04:00:00
26,3.15,3.5,113783,3.62,3.14,3.4244,638,2018-10-11 04:00:00
27,3.76,3.51,78170,3.76,3.29,3.5196,614,2018-10-12 04:00:00
28,3.52,3.68,33579,3.74,3.5,3.6442,216,2018-10-15 04:00:00
29,3.69,3.75,226437,3.86,3.65,3.8052,838,2018-10-16 04:00:00
30,4.2,4.05,80561,4.2,3.8246,4.0399,359,2018-10-17 04:00:00
31,4.06,4.06,47444,4.1395,3.921,4.06,299,2018-10-18 04:00:00
32,4,3.98,37516,4.16,3.97,4.0213,186,2018-10-19 04:00:00
33,4.07,3.95,30934,4.07,3.93,3.9573,263,2018-10-22 04:00:00
34,3.93,4.02,34113,4.07,3.84,3.9722,147,2018-10-23 04:00:00
35,4.02,3.82,42466,4.04,3.82,3.9396,210,2018-10-24 04:00:00
36,3.82,3.89,22484,4.1,3.81,3.8786,202,2018-10-25 04:00:00
37,3.87,3.94,17221,3.99,3.83,3.9226,129,2018-10-26 04:00:00
38,3.96,3.95,15828,4,3.9,3.9623,123,2018-10-29 04:00:00
39,3.95,4,37663,4,3.7487,3.9676,214,2018-10-30 04:00:00
40,4,3.99,48696,4,3.92,3.9792,254,2018-10-31 04:00:00
41,3.98,3.98,29291,4,3.9585,3.9803,179,2018-11-01 04:00:00
42,3.98,3.99,59345,4,3.97,3.9882,346,2018-11-02 04:00:00
43,3.98,3.96,45825,3.99,3.94,3.9656,437,2018-11-05 05:00:00
44,3.97,3.99,99540,4,3.96,3.9942,354,2018-11-06 05:00:00
45,4,4,50709,4,3.9,3.9853,323,2018-11-07 05:00:00
46,4.01,4,141077,4.01,3.9671,4.0009,403,2018-11-08 05:00:00
47,4.03,3.92,76560,4.03,3.89,3.9803,389,2018-11-09 05:00:00
48,3.94,4.07,97404,4.08,3.91,4.0111,506,2018-11-12 05:00:00
49,4.08,3.99,73025,4.08,3.95,4.0031,424,2018-11-13 05:00:00
50,3.95,3.86,35097,3.98,3.85,3.9241,212,2018-11-14 05:00:00
51,3.87,3.8,39492,3.93,3.7234,3.7973,294,2018-11-15 05:00:00
52,3.77,3.81,27652,3.9,3.77,3.8028,147,2018-11-16 05:00:00
53,3.75,3.76,50345,3.94,3.75,3.8345,239,2018-11-19 05:00:00
54,3.76,3.75,23257,3.81,3.75,3.7647,132,2018-11-20 05:00:00
55,3.7887,3.74,13975,3.79,3.72,3.7552,196,2018-11-21 05:00:00
56,3.74,3.81,17117,3.83,3.72,3.7611,171,2018-11-23 05:00:00
57,3.81,3.81,18438,3.91,3.78,3.8055,143,2018-11-26 05:00:00
58,3.83,3.8,22521,3.83,3.79,3.8032,128,2018-11-27 05:00:00
59,3.82,3.86,30558,3.9,3.82,3.8652,222,2018-11-28 05:00:00
60,3.85,3.94,22147,3.96,3.85,3.9131,291,2018-11-29 05:00:00
61,3.95,3.92,52252,3.96,3.92,3.9444,236,2018-11-30 05:00:00
62,3.8,3.99,70182,4,3.8,3.882,261,2018-12-03 05:00:00
63,4,3.87,35738,4,3.83,3.8972,281,2018-12-04 05:00:00
64,3.87,3.97,64386,4,3.87,3.9274,297,2018-12-06 05:00:00
65,3.97,3.95,30517,3.97,3.92,3.9442,286,2018-12-07 05:00:00
66,3.95,3.7,58534,3.95,3.68,3.7792,291,2018-12-10 05:00:00
67,3.72,3.68,38798,3.75,3.67,3.6979,214,2018-12-11 05:00:00
68,3.68,3.58,44581,3.82,3.55,3.6111,269,2018-12-12 05:00:00
69,3.59,3.47,93163,3.7,3.44,3.4774,410,2018-12-13 05:00:00
70,3.47,3.46,71121,3.53,3.37,3.4478,291,2018-12-14 05:00:00
71,3.5,3.44,43979,3.645,3.42,3.5076,362,2018-12-17 05:00:00
72,3.5,3.47,70801,3.51,3.33,3.4389,584,2018-12-18 05:00:00
73,3.5,3.55,46788,3.71,3.46,3.5495,293,2018-12-19 05:00:00
74,3.58,3.37,54750,3.79,3.37,3.4437,513,2018-12-20 05:00:00
75,3.31,3.12,124978,3.35,3.09,3.2275,462,2018-12-21 05:00:00
76,3.09,3.12,26612,3.18,3.09,3.1423,161,2018-12-24 05:00:00
77,3.18,3.35,52853,3.39,3.13,3.2854,340,2018-12-26 05:00:00
78,3.33,3.42,59375,3.44,3.14,3.2592,311,2018-12-27 05:00:00
79,3.41,3.45,31455,3.5,3.2845,3.4619,207,2018-12-28 05:00:00
80,3.5,3.47,38639,3.5,3.41,3.4609,177,2018-12-31 05:00:00
81,3.39,3.45,27782,3.49,3.362,3.431,304,2019-01-02 05:00:00
82,3.2368,3.4,8470,3.48,3.16,3.3802,126,2019-01-03 05:00:00
83,3.4,3.38,37206,3.5,3.33,3.3846,264,2019-01-04 05:00:00
84,3.35,3.65,13675,3.65,3.35,3.5221,180,2019-01-07 05:00:00
85,3.61,3.78,70459,3.8,3.58,3.7131,391,2019-01-08 05:00:00
86,3.76,3.75,32066,3.8,3.71,3.7805,192,2019-01-09 05:00:00
87,3.71,3.97,124805,4.16,3.71,4.0469,537,2019-01-10 05:00:00
88,3.98,3.88,111722,4,3.84,3.9164,471,2019-01-11 05:00:00
