CSCO,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
0,47.56,47.27,20818114,47.65,46.755,47.2377,111611,2018-09-05 04:00:00
1,47.44,47.28,16537925,47.9,47.07,47.3432,93552,2018-09-06 04:00:00
2,47.01,47.05,17229656,47.49,46.88,47.1499,89234,2018-09-07 04:00:00
3,47.3,47.07,16597212,47.46,46.775,47.0495,94546,2018-09-10 04:00:00
4,46.91,47.03,17291537,47.17,46.435,46.9206,91968,2018-09-11 04:00:00
5,46.86,46.89,16649396,47.01,46.44,46.7719,94674,2018-09-12 04:00:00
6,46.84,47.24,17972112,47.4,46.8,47.1978,81660,2018-09-13 04:00:00
7,47.27,47.4,13936996,47.49,47.1,47.3242,67416,2018-09-14 04:00:00
8,47.23,47.11,14430160,47.58,47.07,47.2364,81621,2018-09-17 04:00:00
9,47.07,47.46,16469562,47.65,47.07,47.4532,90968,2018-09-18 04:00:00
10,47.42,47.28,12721944,47.62,47.12,47.2982,73149,2018-09-19 04:00:00
11,47.41,47.73,17007833,47.81,47.16,47.6553,86425,2018-09-20 04:00:00
12,47.93,48.56,59664599,48.639,47.82,48.4118,112627,2018-09-21 04:00:00
13,48.21,48.44,21819266,48.62,48.19,48.4479,88039,2018-09-24 04:00:00
14,48.57,48.47,15810798,48.88,48.43,48.5816,78291,2018-09-25 04:00:00
15,48.74,48.41,20080051,49.06,48.27,48.645,85163,2018-09-26 04:00:00
16,48.33,48.33,15910073,48.76,48.21,48.4734,82473,2018-09-27 04:00:00
17,48.27,48.65,15474402,48.8,48.06,48.5834,79203,2018-09-28 04:00:00
18,49,48.87,13669841,49.14,48.665,48.9162,71558,2018-10-01 04:00:00
19,48.75,49.01,15671575,49.14,48.67,48.9375,74308,2018-10-02 04:00:00
20,49.26,49.14,16737511,49.47,49.07,49.2371,81933,2018-10-03 04:00:00
21,48.63,48.38,22110874,48.77,48.04,48.3414,123930,2018-10-04 04:00:00
22,48.4,48.13,19103325,48.85,47.61,48.2053,120463,2018-10-05 04:00:00
23,47.92,47.52,23791356,48.5,47.1504,47.5928,117096,2018-10-08 04:00:00
24,47.53,47.49,17008723,48.03,47.28,47.5814,105888,2018-10-09 04:00:00
25,47.44,45.63,33055756,47.51,45.54,46.2641,162222,2018-10-10 04:00:00
26,45.46,44.12,36496338,45.6,43.92,44.7894,225258,2018-10-11 04:00:00
27,44.93,45.71,35423951,45.85,44.46,45.2633,192631,2018-10-12 04:00:00
28,45.52,44.67,26160473,45.72,44.67,44.9874,139226,2018-10-15 04:00:00
29,45.29,45.82,22669396,45.94,44.85,45.5423,115675,2018-10-16 04:00:00
30,45.89,45.94,17803413,46.23,45.22,45.7711,104590,2018-10-17 04:00:00
31,46.3,45.46,19044600,46.49,45.15,45.5906,115072,2018-10-18 04:00:00
32,45.4,45.34,21356337,46.2,45.13,45.5854,108225,2018-10-19 04:00:00
33,45.77,45.76,19195386,46.28,45.405,45.7989,110777,2018-10-22 04:00:00
34,45.15,45.42,21836153,45.77,44.44,45.0927,144817,2018-10-23 04:00:00
35,45.49,44.07,29588840,45.68,43.96,44.7263,154347,2018-10-24 04:00:00
36,44.62,45.47,27054452,45.81,44.205,45.2923,148173,2018-10-25 04:00:00
37,44.57,44.25,31806568,45.11,43.78,44.3325,188415,2018-10-26 04:00:00
38,44.89,43.84,28214192,45.05,42.94,44.1021,168043,2018-10-29 04:00:00
39,43.92,44.58,25924569,44.7,43.75,44.2953,161136,2018-10-30 04:00:00
40,45.05,45.75,26023684,46.3,44.89,45.7466,137628,2018-10-31 04:00:00
41,45.67,45.65,24662127,45.88,45.1,45.5604,142200,2018-11-01 04:00:00
42,45.72,45.48,25581290,46.09,44.98,45.4827,148763,2018-11-02 04:00:00
43,45.74,46.14,17524422,46.435,45.35,45.9996,101983,2018-11-05 05:00:00
44,46.04,46.5,15446674,46.62,46,46.356,87451,2018-11-06 05:00:00
45,46.98,47.9,19990404,47.93,46.745,47.4807,111207,2018-11-07 05:00:00
46,47.87,48.44,21002043,48.44,47.87,48.2532,111563,2018-11-08 05:00:00
47,48.08,47.11,22015395,48.25,46.7,47.2914,125076,2018-11-09 05:00:00
48,47.14,45.62,25913467,47.25,45.54,46.0463,135524,2018-11-12 05:00:00
49,45.7,45.12,26196749,46.055,45.0268,45.4145,144516,2018-11-13 05:00:00
50,45.46,44.33,36613496,45.64,44.08,44.8212,195141,2018-11-14 05:00:00
51,46.8,46.77,45983318,47.1,45.1515,46.2418,266577,2018-11-15 05:00:00
52,46.46,46.35,31327415,47.04,46.13,46.5546,153430,2018-11-16 05:00:00
53,46.35,45.75,28370385,46.58,45.25,45.7853,143735,2018-11-19 05:00:00
