DELL,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
0,46,45.43,4501395,46.5,44.77,45.3391,16041,2018-12-28 05:00:00
1,45.5,48.87,5818907,48.87,45.5,47.2419,31006,2018-12-31 05:00:00
2,48.23,47.12,6108945,49.1,46.06,47.424,36529,2019-01-02 05:00:00
3,46.56,45.13,6902609,47,44.78,45.3281,28137,2019-01-03 05:00:00
4,45.66,46.02,8906974,46.96,44.86,46.067,34434,2019-01-04 05:00:00
5,45.93,46.32,4926033,47.38,45.53,46.3429,29281,2019-01-07 05:00:00
6,47.14,46.87,7286665,47.82,46.39,46.9971,27922,2019-01-08 05:00:00
7,47.07,46.94,3299687,47.39,46.78,47.0407,12722,2019-01-09 05:00:00
8,46.94,45.19,3563843,47.39,44.9,45.4263,17860,2019-01-10 05:00:00
9,44.95,44.47,2700039,45.72,44.4,44.7644,15270,2019-01-11 05:00:00
10,44.07,42.8,3665991,44.25,42.76,43.0521,16837,2019-01-14 05:00:00
11,43.05,43.01,2829522,43.7,42.48,43.045,17687,2019-01-15 05:00:00
12,42.8,42.62,2458185,43.2129,42.02,42.6928,13099,2019-01-16 05:00:00
13,42.71,43.71,3542598,43.72,42.57,43.5046,13780,2019-01-17 05:00:00
14,43.78,43.35,3256653,43.79,43.11,43.5039,17926,2019-01-18 05:00:00
15,43.88,44.06,3171028,44.65,43.31,43.9405,10625,2019-01-22 05:00:00
16,45.18,44.62,3151867,45.89,44.42,44.8962,16671,2019-01-23 05:00:00
17,44.91,44.96,3552257,45.14,44.21,44.7264,12703,2019-01-24 05:00:00
18,45.23,45.91,2618399,46,45.22,45.6772,15602,2019-01-25 05:00:00
19,45.9,46.9,5951274,47.385,45.62,46.7088,27454,2019-01-28 05:00:00
20,47.1,46.85,3558867,47.33,46.5,46.9016,20460,2019-01-29 05:00:00
21,47.35,48,3981857,48,47.16,47.7333,16382,2019-01-30 05:00:00
22,47.83,48.59,3741482,49.5,47.71,48.7634,17847,2019-01-31 05:00:00
23,48.98,49.65,1816313,49.75,48.5,49.1851,12421,2019-02-01 05:00:00
24,50.01,50.83,3190559,51.81,50.01,50.9825,18634,2019-02-04 05:00:00
25,51.27,51.07,2754887,51.6,50.64,51.1713,18110,2019-02-05 05:00:00
26,51.15,50.94,2836425,51.91,50.84,51.2131,13284,2019-02-06 05:00:00
27,50.6,50.44,1782570,50.81,49.78,50.2633,11099,2019-02-07 05:00:00
28,50.05,51.49,1794035,51.59,49.65,51.2287,10366,2019-02-08 05:00:00
29,51.87,52.02,2720154,52.07,51.05,51.7831,10897,2019-02-11 05:00:00
30,52.42,53.6,3379097,53.79,52.21,53.3463,17112,2019-02-12 05:00:00
31,53.9,53.95,1776189,54.62,53.38,54.0117,12904,2019-02-13 05:00:00
32,53.68,54.38,2599183,54.59,53.52,54.3601,10175,2019-02-14 05:00:00
33,54.79,55,2295872,55.89,54,54.8026,14610,2019-02-15 05:00:00
34,55.09,55.04,1257625,55.4793,54.55,55.0555,9859,2019-02-19 05:00:00
35,55.27,55.54,1382203,55.8,54.63,55.2651,12598,2019-02-20 05:00:00
36,55.56,55.54,1943374,56.08,55.28,55.5943,11923,2019-02-21 05:00:00
37,55.83,56.18,1847380,56.18,55.55,55.8771,14818,2019-02-22 05:00:00
38,56.46,56.64,2337733,56.91,56.31,56.6202,12210,2019-02-25 05:00:00
39,56.3,56.73,2341827,57.11,55.62,56.6715,13265,2019-02-26 05:00:00
40,56.54,56.25,1690979,56.8,56.19,56.4378,12326,2019-02-27 05:00:00
41,56.2,55.82,4132245,56.4975,55.17,55.9449,22003,2019-02-28 05:00:00
42,57.68,56.65,3515270,58.99,56.19,57.283,24380,2019-03-01 05:00:00
43,57.07,55.34,2978650,57.14,54.5,55.4136,18833,2019-03-04 05:00:00
44,55.25,55.12,2789168,55.84,54.46,55.2462,15600,2019-03-05 05:00:00
45,54.82,53.73,2515484,54.82,52.85,53.5721,16414,2019-03-06 05:00:00
46,53.62,53.13,1851253,54.41,52.82,53.4856,11883,2019-03-07 05:00:00
47,52.58,52.35,1914256,52.79,51.5812,52.3594,13563,2019-03-08 05:00:00
48,52.4,54.15,1782884,54.23,52.26,53.7603,12760,2019-03-11 04:00:00
49,54.24,54.7,2481487,55.45,54.1811,54.8841,14720,2019-03-12 04:00:00
50,55.15,54.95,2070056,55.56,54.76,55.0999,12416,2019-03-13 04:00:00
51,56,57.18,3869151,58,55.69,57.2319,24921,2019-03-14 04:00:00
52,57.93,60.23,5696494,60.27,57.9,59.621,26506,2019-03-15 04:00:00
53,60.35,60.49,2664398,61.16,59.74,60.4757,16450,2019-03-18 04:00:00
54,61,60.44,2018291,61.18,60.32,60.4898,13188,2019-03-19 04:00:00
55,60.38,59.63,2600738,60.76,59.25,59.7722,14406,2019-03-20 04:00:00
56,59.49,60.71,1650959,60.935,59.4001,60.6088,11497,2019-03-21 04:00:00
57,59.9,59.55,1505651,61.17,59.51,59.9685,11437,2019-03-22 04:00:00
58,59.5,57.29,1880336,59.5,57.12,57.6631,14926,2019-03-25 04:00:00
59,57.92,58.89,1793285,58.98,57.3775,58.3228,16561,2019-03-26 04:00:00
60,59.01,57.54,1839382,59.89,57.4292,57.7805,12789,2019-03-27 04:00:00
61,57.46,56.92,1725109,57.89,56.6612,57.1385,11621,2019-03-28 04:00:00
62,57.22,58.69,1899353,58.79,57.15,58.2399,12274,2019-03-29 04:00:00
63,59.78,60.43,1786087,60.44,59.52,60.1,12432,2019-04-01 04:00:00
64,60.21,61.27,2355711,61.31,59.74,60.6888,13171,2019-04-02 04:00:00
65,61.26,61.59,2100369,61.65,60.65,61.2193,13618,2019-04-03 04:00:00
66,61.52,60.34,2160299,61.59,59.22,60.1973,16546,2019-04-04 04:00:00
67,60.44,62.2,2204658,62.39,60.44,61.8583,13113,2019-04-05 04:00:00
68,62.16,62.49,1336868,62.66,61.46,62.2964,9286,2019-04-08 04:00:00
69,62.29,61.73,1282798,62.4,61.31,61.8212,8978,2019-04-09 04:00:00
70,61.78,63.29,1678455,63.63,61.74,63.0312,12604,2019-04-10 04:00:00
71,63.47,63.86,1947868,63.87,62.76,63.6433,10954,2019-04-11 04:00:00
72,64.04,63.51,1205638,64.58,63.1729,63.7105,10690,2019-04-12 04:00:00
73,63.6,63.88,1161259,63.965,63.07,63.7209,9954,2019-04-15 04:00:00
74,64.36,62.79,1126005,64.45,62.68,63.2755,9753,2019-04-16 04:00:00
75,63.11,62.75,1033775,63.4975,62.51,62.8224,8734,2019-04-17 04:00:00
76,62.74,62.85,1047774,62.99,61.92,62.6634,8496,2019-04-18 04:00:00
77,62.78,63.25,1080958,63.25,62.5235,63.0291,6520,2019-04-22 04:00:00
78,63.22,65,1540511,65.24,63.09,64.5915,10733,2019-04-23 04:00:00
79,64.98,66.25,1549978,66.45,64.76,65.8726,11828,2019-04-24 04:00:00
80,66.2,67,1617207,67.21,65.62,66.6568,13075,2019-04-25 04:00:00
81,66.06,65.36,1529729,66.65,64.78,65.7291,15171,2019-04-26 04:00:00
82,65.4,65.55,1241419,65.78,65.02,65.4877,9026,2019-04-29 04:00:00
83,65.65,67.41,1209322,67.5,65.65,66.9586,10152,2019-04-30 04:00:00
84,67.9,68.58,2090577,69.2,67.41,68.6007,16862,2019-05-01 04:00:00
85,68.44,68.14,1964671,68.95,66.44,67.8686,14026,2019-05-02 04:00:00
86,68.73,68.7,942915,69.2975,68.25,68.6333,7173,2019-05-03 04:00:00
87,67.24,68.19,674788,68.51,67.09,68.02,5639,2019-05-06 04:00:00
88,67.55,67.49,1419403,68.28,66.22,67.2969,11591,2019-05-07 04:00:00
89,67.04,67.1,1025197,67.3005,66.51,67.0688,7368,2019-05-08 04:00:00
90,66.05,67.09,1387373,67.29,65.65,66.4708,9767,2019-05-09 04:00:00
91,66.77,67.16,715781,67.39,65.55,66.7521,6469,2019-05-10 04:00:00
92,65.09,64.04,2626277,65.9,63.7,64.3163,13935,2019-05-13 04:00:00
93,64.26,66.15,992606,66.7293,64.1,66.0062,9873,2019-05-14 04:00:00
94,65.66,67.9,1040190,68.27,65.5,67.6086,9912,2019-05-15 04:00:00
95,68.05,69.8,1034982,70.23,67.905,69.5003,10117,2019-05-16 04:00:00
96,68.99,69.43,1489472,70.553,68.51,69.6318,12330,2019-05-17 04:00:00
97,68.59,68,1343612,68.96,67.08,68.091,10780,2019-05-20 04:00:00
98,68.92,69.65,1177014,70.15,68.42,69.5234,9691,2019-05-21 04:00:00
99,70.26,69,1567511,70.39,68.665,69.3915,12350,2019-05-22 04:00:00
100,67.6422,65.7,3143834,67.6422,64.55,65.5615,20065,2019-05-23 04:00:00
101,66.02,66.12,1893446,67.19,65.3,66.0964,11177,2019-05-24 04:00:00
102,66.18,66.41,1789783,67.87,66,66.5851,13983,2019-05-28 04:00:00
103,65.78,66.2,2412482,66.2213,64.7,65.8511,16680,2019-05-29 04:00:00
104,66.52,66.41,2084817,67.31,65.52,66.5288,19500,2019-05-30 04:00:00
105,60.66,59.55,7917174,62.16,57.11,59.385,56278,2019-05-31 04:00:00
106,59.4,55.86,3226384,59.53,55.4523,56.7121,29034,2019-06-03 04:00:00
107,56.99,57.68,2573673,57.76,55.93,57.0738,25677,2019-06-04 04:00:00
108,57.79,54.5,3744760,58.05,53.755,54.6297,32332,2019-06-05 04:00:00
109,54.95,53.23,3874636,55.03,52.12,53.2076,31850,2019-06-06 04:00:00
110,53.4,54.3,2291236,55.15,53.01,54.365,22358,2019-06-07 04:00:00
111,54.81,54.2,1854850,55.53,54.03,54.6483,16979,2019-06-10 04:00:00
112,54.47,54.34,1777048,54.89,53.59,54.3628,16776,2019-06-11 04:00:00
113,54.21,53.03,1281045,54.915,52.95,53.5042,12736,2019-06-12 04:00:00
114,52.99,53.83,2067060,54.02,52.52,53.6637,15970,2019-06-13 04:00:00
115,52.95,51.32,1842268,53.51,50.76,51.5285,17980,2019-06-14 04:00:00
116,51.49,50.63,1672132,51.67,50.57,51.0413,16025,2019-06-17 04:00:00
117,51.2,51.51,2276238,52.65,50.91,51.7729,17538,2019-06-18 04:00:00
118,52.01,53.42,2112616,53.55,51.55,52.9556,15175,2019-06-19 04:00:00
119,55,54.41,2503584,57.26,53.3201,54.3846,19601,2019-06-20 04:00:00
120,54.07,53.99,2521156,54.61,53.5,54.066,13619,2019-06-21 04:00:00
121,53.99,53.3,1817255,54.2961,53.0601,53.4526,14293,2019-06-24 04:00:00
122,53.3,52.31,2297783,53.87,52.2,52.5557,12258,2019-06-25 04:00:00
123,52.96,53.23,965963,53.75,52.78,53.2854,10496,2019-06-26 04:00:00
124,52.45,52.21,4850042,52.86,50.57,52.1942,36957,2019-06-27 04:00:00
125,52.66,50.8,7042043,52.76,50.65,51.0448,32574,2019-06-28 04:00:00
126,52.21,51.56,3539683,52.24,51.24,51.5355,24883,2019-07-01 04:00:00
127,51.22,52.18,2521359,52.19,50.6001,51.4552,21802,2019-07-02 04:00:00
128,51.87,52.92,2605552,52.96,51.23,52.5927,14536,2019-07-03 04:00:00
129,52.13,52.37,2093768,52.65,51.785,52.2711,16412,2019-07-05 04:00:00
130,51.8,51.29,3000277,52.08,50.98,51.3395,19542,2019-07-08 04:00:00
131,50.96,51.1,2685758,51.33,50.63,51.0007,19969,2019-07-09 04:00:00
132,51.53,52.29,4608407,53,51.14,52.1064,34761,2019-07-10 04:00:00
133,52.26,53.48,2988441,53.48,52.165,53.0641,19778,2019-07-11 04:00:00
134,53.85,53.78,3658288,54.33,53.23,53.8127,20348,2019-07-12 04:00:00
135,54,55.22,4030528,55.28,53.95,54.8912,18187,2019-07-15 04:00:00
136,55.52,56.01,3608174,56.99,55.13,56.1809,30306,2019-07-16 04:00:00
137,56,56.5,1801652,56.52,55.365,56.0931,15726,2019-07-17 04:00:00
138,56.24,57.39,2211609,57.785,55.76,57.0953,18741,2019-07-18 04:00:00
139,57.95,56.8,2994972,59.167,56.6,57.9218,26152,2019-07-19 04:00:00
140,57.06,56.42,1657272,57.38,56.39,56.7979,11969,2019-07-22 04:00:00
141,56.7,55.46,2300765,56.7,54.635,55.1993,17803,2019-07-23 04:00:00
142,55.17,56.22,1450258,56.33,55.17,55.9541,11763,2019-07-24 04:00:00
143,56.32,55.07,1872424,56.66,54.77,55.3019,15237,2019-07-25 04:00:00
144,55.13,55.28,1656884,55.49,54.79,55.1085,13088,2019-07-26 04:00:00
145,55.82,55.97,1942906,56.24,54.45,55.5292,15026,2019-07-29 04:00:00
146,55.73,57.23,2043820,57.39,55.48,56.8328,16089,2019-07-30 04:00:00
147,57.28,57.74,2731827,57.99,56.57,57.5428,20174,2019-07-31 04:00:00
148,57.94,57.69,2519446,59.15,57.2987,58.1524,22178,2019-08-01 04:00:00
149,54.85,52.41,10528891,55.5,51.45,52.9681,56578,2019-08-02 04:00:00
150,51.01,50.42,5673485,51.0894,48.28,49.9632,41100,2019-08-05 04:00:00
151,50.91,50.77,3671968,51.52,49.45,50.4207,24759,2019-08-06 04:00:00
152,49.89,50.38,1851976,50.58,49.27,50.0315,16553,2019-08-07 04:00:00
153,50.62,51.33,2424524,52.04,50.62,51.3918,15086,2019-08-08 04:00:00
154,51.29,50.43,1278359,51.29,49.8,50.3566,12487,2019-08-09 04:00:00
155,50.05,49.51,1396035,50.24,49.18,49.571,17132,2019-08-12 04:00:00
156,49.25,49.52,3584777,50.91,48.72,49.7286,21166,2019-08-13 04:00:00
157,48.69,48.6,3955005,48.99,46.96,48.0874,19798,2019-08-14 04:00:00
158,48.14,46.9,2928807,48.3663,46.24,46.8066,25282,2019-08-15 04:00:00
159,47.39,48.43,2514617,49.19,47.25,48.47,20830,2019-08-16 04:00:00
160,49.31,49.05,2018971,49.63,48.78,49.2005,15421,2019-08-19 04:00:00
161,48.72,48.47,1801292,49.3,48.19,48.6714,11862,2019-08-20 04:00:00
162,48.67,48.98,1405056,49.74,48.55,49.0793,12845,2019-08-21 04:00:00
163,49.43,49.04,1633366,49.56,48.4175,49.0504,14796,2019-08-22 04:00:00
164,47.75,45.81,3693578,47.94,45.73,46.4971,31386,2019-08-23 04:00:00
165,46,46.41,2065060,47.075,45.95,46.3805,14530,2019-08-26 04:00:00
166,46.95,45.6,1971463,47.17,45.27,45.8366,20369,2019-08-27 04:00:00
167,45.52,45.3,2121190,45.62,44.35,45.1411,17178,2019-08-28 04:00:00
168,45.75,46.77,3778917,46.93,45.65,47.4135,26117,2019-08-29 04:00:00
169,50.85,51.53,16163986,53.2,49.65,51.3326,99336,2019-08-30 04:00:00
170,51.03,51.07,4229051,51.88,50.6021,51.1621,32953,2019-09-03 04:00:00
171,51.5,51.2,2842987,51.8773,50.27,51.1699,21154,2019-09-04 04:00:00
172,51.56,52.92,4625411,53.5,51.11,52.4903,36467,2019-09-05 04:00:00
173,53,53.36,3475626,53.79,52.26,53.3671,26147,2019-09-06 04:00:00
174,54,54.29,3647373,54.45,53.14,53.7958,29140,2019-09-09 04:00:00
175,53.88,55.48,3203873,55.85,53.25,55.2296,25767,2019-09-10 04:00:00
176,55.12,55.3,3021207,55.5,54.7,55.2085,16741,2019-09-11 04:00:00
177,55.55,54.15,2880029,55.93,54.05,54.6436,23218,2019-09-12 04:00:00
178,54.05,53.51,1426606,54.65,53.44,53.8708,14818,2019-09-13 04:00:00
179,53,54.1,1544476,54.55,52.88,54.1417,13165,2019-09-16 04:00:00
180,54,53.85,1450109,54.1,53.11,53.5831,13104,2019-09-17 04:00:00
181,53.93,52.8,1935283,53.93,52.01,52.8013,17641,2019-09-18 04:00:00
182,52.76,53.04,2901856,53.65,52.56,53.2056,20199,2019-09-19 04:00:00
183,53.19,51.85,3071516,53.34,51.705,52.1324,21656,2019-09-20 04:00:00
184,51.81,52.94,2498570,53,51.015,52.2172,19703,2019-09-23 04:00:00
185,53.06,52.2,3365469,53.65,51.655,52.516,24353,2019-09-24 04:00:00
186,52.19,53.74,3085185,54.02,52.05,53.4834,26869,2019-09-25 04:00:00
187,53,52.15,3116228,53,51.32,52.037,26299,2019-09-26 04:00:00
188,52.42,50.95,2237802,52.88,50.39,51.6408,17552,2019-09-27 04:00:00
189,50.95,51.86,1346825,52.03,50.87,51.7249,12716,2019-09-30 04:00:00
190,52.13,51.64,1956012,52.89,51.395,51.9855,18080,2019-10-01 04:00:00
191,51.5,50.78,1605225,51.51,50.16,50.7861,16950,2019-10-02 04:00:00
192,50.81,51.06,1353507,51.37,49.39,50.678,14194,2019-10-03 04:00:00
193,51.23,50.27,1949174,51.5,50.2,50.3914,15088,2019-10-04 04:00:00
194,50.1,50.52,1606060,51.07,49.99,50.6111,14528,2019-10-07 04:00:00
195,50.19,48.81,1539035,50.37,48.79,49.146,20471,2019-10-08 04:00:00
196,49.14,49.46,1331587,49.73,48.75,49.3971,13837,2019-10-09 04:00:00
197,49.41,49,2297941,49.59,48.89,49.1196,13126,2019-10-10 04:00:00
198,49.87,50.3,1539636,51.375,49.7652,50.5839,15803,2019-10-11 04:00:00
199,50.25,50.68,796749,50.75,50.11,50.5245,8003,2019-10-14 04:00:00
200,50.5,51.13,1059877,51.74,50.35,51.1094,11477,2019-10-15 04:00:00
201,50.92,50.54,1015629,50.93,50.17,50.535,10167,2019-10-16 04:00:00
202,50.84,50.37,1016288,51.25,50.3098,50.5884,11269,2019-10-17 04:00:00
203,50.36,49.87,1779523,50.44,49.5046,49.9203,19098,2019-10-18 04:00:00
204,49.9,49.99,1222706,50.51,49.5944,50.0795,10865,2019-10-21 04:00:00
205,50.31,49.98,1056614,50.63,49.78,50.125,10705,2019-10-22 04:00:00
206,49.89,50.3,1260077,50.4125,49.26,50.0867,10709,2019-10-23 04:00:00
207,50.66,51.01,1535870,51.25,49.93,50.6135,12845,2019-10-24 04:00:00
208,51.11,51.68,1626348,52.32,50.95,51.8326,12955,2019-10-25 04:00:00
209,51.93,51.59,1588266,52.45,51.47,51.8821,14852,2019-10-28 04:00:00
210,51.65,53.25,2658241,53.27,51.56,52.4698,15898,2019-10-29 04:00:00
211,53.21,53.75,1710819,54.15,52.73,53.3799,16070,2019-10-30 04:00:00
212,53.65,52.89,1547424,53.8,52.11,52.7124,14034,2019-10-31 04:00:00
213,53.18,53.24,1228377,53.39,52.79,53.115,11293,2019-11-01 04:00:00
214,53.85,53.84,1046529,54.1349,53.48,53.7987,9622,2019-11-04 05:00:00
215,53.91,54.43,2075008,54.85,53.54,54.4091,16776,2019-11-05 05:00:00
216,55,54.33,1458477,55,53.7,54.4951,11006,2019-11-06 05:00:00
217,54.77,54.31,1484352,54.95,54.13,54.5363,13370,2019-11-07 05:00:00
218,54.36,54.31,1013547,54.59,53.55,54.2615,9705,2019-11-08 05:00:00
219,53.82,54.52,933717,54.87,53.65,54.4976,9576,2019-11-11 05:00:00
220,54.79,55.43,2785144,55.78,54.65,55.124,16987,2019-11-12 05:00:00
221,55,54.78,1175312,55.4,54.54,54.8979,11423,2019-11-13 05:00:00
222,54.4,55.05,1723874,56.19,54.17,55.3816,15822,2019-11-14 05:00:00
223,55.65,55.64,1442570,55.85,55.16,55.5709,11063,2019-11-15 05:00:00
224,55.65,55.57,989917,55.89,55.07,55.4607,9862,2019-11-18 05:00:00
225,55.66,56.21,1439710,56.68,55.28,56.1834,11662,2019-11-19 05:00:00
226,55.82,55.27,1449551,56.28,54.9396,55.4384,12835,2019-11-20 05:00:00
227,55.24,53.71,1623417,55.6,53.69,54.244,14115,2019-11-21 05:00:00
228,53.7,53.61,1467872,53.995,53,53.5532,15438,2019-11-22 05:00:00
229,54,55.06,1932021,55.6119,54,55.0871,15216,2019-11-25 05:00:00
230,55.67,53.19,4733037,55.9361,53.15,53.6642,26403,2019-11-26 05:00:00
231,51.05,50.32,13244612,52.16,49.75,50.713,90605,2019-11-27 05:00:00
232,50.3,48.49,3260284,50.455,48.44,48.8751,22875,2019-11-29 05:00:00
233,48.35,47.72,3793811,48.67,47.33,47.8687,31797,2019-12-02 05:00:00
234,46.8,47.4,3975172,47.49,46.43,46.963,30329,2019-12-03 05:00:00
235,47.9,47.68,2130311,48.1,47.54,47.8116,18326,2019-12-04 05:00:00
236,47.61,47.34,2083017,47.7252,46.62,47.2389,16790,2019-12-05 05:00:00
