FIZZ,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
0,59.42,59.63,249886,59.68,58.595,59.3385,2206,2018-09-05 04:00:00
1,59.84,62.3,965432,63.66,57.985,61.4594,5445,2018-09-06 04:00:00
2,62.375,58.09,746058,62.375,58,59.2437,4445,2018-09-07 04:00:00
3,58.235,59.77,629504,60.0338,58.2055,59.3857,3583,2018-09-10 04:00:00
4,59.78,60,612910,60.7,59.13,59.8536,3184,2018-09-11 04:00:00
5,60,62.075,628146,62.465,60,61.6492,3121,2018-09-12 04:00:00
6,62.07,61.75,323124,62.47,61.07,61.7343,1924,2018-09-13 04:00:00
7,60.78,58.46,589488,61.7,58.435,59.191,3873,2018-09-14 04:00:00
8,58.34,58.25,509188,58.865,57.63,58.2496,3083,2018-09-17 04:00:00
9,58.18,57.235,396070,58.425,56.5401,57.2462,2716,2018-09-18 04:00:00
10,57.175,57.055,249662,57.795,56.6487,57.1688,1641,2018-09-19 04:00:00
11,57.26,57.46,264534,57.745,56.74,57.384,1938,2018-09-20 04:00:00
12,57.245,56.72,437970,57.8925,56.7,56.9628,2374,2018-09-21 04:00:00
13,56.745,56.15,336020,57.2681,55.935,56.2936,2535,2018-09-24 04:00:00
14,56.17,55.4,467308,56.3436,54.86,55.4395,2981,2018-09-25 04:00:00
15,55.39,55.665,346350,55.935,54.8522,55.6177,2242,2018-09-26 04:00:00
16,55.665,57.13,351862,57.28,55.665,56.9369,2879,2018-09-27 04:00:00
17,57.145,58.31,527580,58.595,57.05,58.1733,2928,2018-09-28 04:00:00
18,58.42,56.61,1231376,58.42,56.01,56.8798,6836,2018-10-01 04:00:00
19,56.775,55.11,472964,56.8675,54.7,55.6265,3391,2018-10-02 04:00:00
20,55.125,54.41,351630,55.51,54.41,54.7233,2192,2018-10-03 04:00:00
21,54.295,54.425,432754,54.48,53.4159,53.96,3020,2018-10-04 04:00:00
22,54.495,53.13,498612,54.835,52.845,53.361,2928,2018-10-05 04:00:00
23,52.785,52.625,825226,53.1,51.67,52.3542,4523,2018-10-08 04:00:00
24,52.355,50.155,748818,52.6925,49.915,50.7364,5489,2018-10-09 04:00:00
25,50.04,50.365,739924,50.985,49.04,50.246,4269,2018-10-10 04:00:00
26,50.245,49.4,602808,50.3355,48.955,49.5299,3679,2018-10-11 04:00:00
27,49.79,49.955,574454,50.87,49.61,50.2699,2488,2018-10-12 04:00:00
28,49.95,49.02,337934,50.425,48.93,49.2234,2218,2018-10-15 04:00:00
29,49.2,49.905,264396,50.33,49.2,49.7942,2206,2018-10-16 04:00:00
30,49.955,51.165,260694,51.67,49.49,51.0118,1855,2018-10-17 04:00:00
31,51.365,50.21,258204,51.705,49.755,50.3847,1698,2018-10-18 04:00:00
32,50.295,49.08,341586,50.855,49,49.6706,2615,2018-10-19 04:00:00
33,49.27,49.12,369574,49.81,48.675,49.279,2762,2018-10-22 04:00:00
34,48.875,49.24,302840,49.625,48.24,48.9423,1934,2018-10-23 04:00:00
35,49.295,49.71,414906,50.345,48.7,49.9262,2956,2018-10-24 04:00:00
36,49.835,49.56,323030,50.15,48.745,49.6026,2557,2018-10-25 04:00:00
37,49.195,49.435,231004,49.81,48.62,49.3855,1799,2018-10-26 04:00:00
38,50.005,50.3,259488,51,49.59,50.3894,2255,2018-10-29 04:00:00
39,49,47.945,842956,49.5203,46.195,48.2319,5106,2018-10-30 04:00:00
40,48.005,46.225,736120,48.505,45.125,46.3299,4378,2018-10-31 04:00:00
41,46.22,47.215,436470,47.515,46.22,47.1142,3251,2018-11-01 04:00:00
42,47.405,47.5,235042,47.655,46.845,47.3536,1877,2018-11-02 04:00:00
43,47.575,49.235,326210,49.51,47.525,48.9502,2577,2018-11-05 05:00:00
44,49.375,50.155,333028,50.605,49.375,50.1675,2122,2018-11-06 05:00:00
45,50.42,51.095,394958,51.5763,49.575,50.8927,2364,2018-11-07 05:00:00
46,51.515,51.185,161408,51.515,50.505,51.0975,1528,2018-11-08 05:00:00
47,51.32,50.71,242450,51.805,50.155,50.7807,1698,2018-11-09 05:00:00
48,50.59,50.725,208912,51.715,50.495,50.9472,1769,2018-11-12 05:00:00
49,50.225,45.315,1132212,50.225,45.07,46.486,6186,2018-11-13 05:00:00
50,46.005,45.235,485886,47.26,45.1975,46.1768,3724,2018-11-14 05:00:00
51,44.95,44.805,493844,45.755,44.525,45.0211,3287,2018-11-15 05:00:00
52,44.57,45.34,555540,45.73,44.26,45.1362,3412,2018-11-16 05:00:00
53,45.5,46.79,583118,47.045,45.5,46.5004,3404,2018-11-19 05:00:00
54,46.75,45.28,368990,46.75,45.11,45.6057,2436,2018-11-20 05:00:00
55,45.65,46.49,305006,46.8524,45.65,46.4715,1947,2018-11-21 05:00:00
56,46.485,46.515,94296,47.06,46.36,46.7314,756,2018-11-23 05:00:00
57,46.915,46.265,282996,47.41,46.21,46.4965,1647,2018-11-26 05:00:00
58,46.27,45.38,383118,46.3991,45.195,45.599,2632,2018-11-27 05:00:00
59,45.6,45.575,418458,46.2627,45.1975,45.5631,2707,2018-11-28 05:00:00
60,43.705,42.8,894712,44.035,41.755,42.3434,5185,2018-11-29 05:00:00
61,42.91,43.635,461056,44.5,42.8,43.7762,3158,2018-11-30 05:00:00
62,43.87,43.66,508194,43.985,41.8,42.7439,4126,2018-12-03 05:00:00
63,43.815,42.26,401306,44.35,42.155,43.0191,2900,2018-12-04 05:00:00
64,42.275,42.15,534168,42.75,40.7699,41.5646,3931,2018-12-06 05:00:00
65,41.74,41.84,676154,44.14,41.56,42.6912,4410,2018-12-07 05:00:00
66,42.1,43.09,461280,43.325,41.675,42.8244,4226,2018-12-10 05:00:00
67,43.185,41.925,416254,43.785,41.615,42.4519,3285,2018-12-11 05:00:00
68,42.27,42.08,306490,42.955,41.8,42.2988,2509,2018-12-12 05:00:00
69,40.77,39.985,856366,41.0625,39.325,40.0476,5127,2018-12-13 05:00:00
70,39.745,39.445,497084,40.4,39.075,39.5541,3958,2018-12-14 05:00:00
71,39.25,38.94,447176,39.91,38.64,39.1541,3776,2018-12-17 05:00:00
72,39.09,38.07,634994,39.46,37.715,38.4525,3804,2018-12-18 05:00:00
73,38.11,37.445,757904,38.892,37.23,37.6449,5211,2018-12-19 05:00:00
74,37.54,37.335,455900,37.89,37.09,37.5026,3629,2018-12-20 05:00:00
75,37.13,37.73,924068,38.995,37.13,37.9759,4002,2018-12-21 05:00:00
76,37.575,36.105,335788,37.605,36.015,36.4631,2000,2018-12-24 05:00:00
77,36.125,36.28,636608,36.92,35.33,36.0469,3773,2018-12-26 05:00:00
78,35.955,37.22,638500,37.4,35.5,36.6238,3938,2018-12-27 05:00:00
79,37.33,35.77,649456,37.33,35.555,36.1757,4670,2018-12-28 05:00:00
80,35.78,35.885,1066018,36.5,35.305,35.8013,4467,2018-12-31 05:00:00
81,35.505,36.39,683866,36.82,35.285,36.2376,4392,2019-01-02 05:00:00
82,36.285,36.66,366394,37.215,36.05,36.6663,2755,2019-01-03 05:00:00
83,36.795,36.345,682874,37.585,35.94,36.5881,4349,2019-01-04 05:00:00
84,36.305,37.105,505194,37.435,35.745,36.9436,3519,2019-01-07 05:00:00
85,37.315,39.615,969736,39.8775,37.2213,39.2036,5849,2019-01-08 05:00:00
86,39.62,38.47,706204,39.625,37.5686,38.8633,4183,2019-01-09 05:00:00
87,38.445,38.86,487952,39.3875,38.1,38.8774,3085,2019-01-10 05:00:00
88,38.995,39.575,360010,39.595,38.385,39.1647,2628,2019-01-11 05:00:00
89,39.305,39.04,539356,39.605,38.135,39.0017,3968,2019-01-14 05:00:00
90,39.13,40.445,580686,40.5325,37.09,40.1372,4004,2019-01-15 05:00:00
91,40.465,40.3,639716,40.725,39.555,40.3076,3730,2019-01-16 05:00:00
92,40.295,39.355,550450,40.835,39.035,39.5359,3382,2019-01-17 05:00:00
93,39.34,40.955,584748,41.065,39.11,40.4811,3334,2019-01-18 05:00:00
94,40.98,40.39,524660,41.3575,39.835,40.4191,3117,2019-01-22 05:00:00
95,40.385,41.55,406966,41.715,40.33,41.3467,2863,2019-01-23 05:00:00
96,41.485,41.83,508406,42.1,40.2704,41.717,3514,2019-01-24 05:00:00
97,41.905,40.935,395962,42.4383,40.84,41.1558,2841,2019-01-25 05:00:00
98,40.93,41.475,432500,41.845,40.89,41.3792,2743,2019-01-28 05:00:00
99,41.48,41.03,401058,41.7461,40.555,40.9809,2590,2019-01-29 05:00:00
100,41.21,41.9,362770,42.12,40.0825,41.7791,3022,2019-01-30 05:00:00
