GOOG,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
0,59.69,59.324,41226180,59.9505,58.1,59.0484,57523,2018-09-05 04:00:00
1,59.315,58.572,37769340,59.315,57.6,58.2742,55181,2018-09-06 04:00:00
2,57.9335,58.2415,28028080,58.763,57.8608,58.3286,39540,2018-09-07 04:00:00
3,58.6095,58.232,22315920,58.727,58.0055,58.3037,29181,2018-09-10 04:00:00
4,58.0815,58.868,24191300,58.934,57.812,58.6889,30897,2018-09-11 04:00:00
5,58.636,58.141,25909440,58.9305,57.918,58.2098,39849,2018-09-12 04:00:00
6,58.537,58.7665,28624280,58.9305,58.1425,58.597,38405,2018-09-13 04:00:00
7,58.955,58.6265,18879560,59.0213,58.4165,58.6771,25903,2018-09-14 04:00:00
8,58.507,57.8025,26130440,58.862,57.7015,58.0304,33448,2018-09-17 04:00:00
9,57.8545,58.061,24073720,58.804,57.8545,58.2779,32847,2018-09-18 04:00:00
10,58.249,58.5545,23827720,58.6605,57.729,58.217,34240,2018-09-19 04:00:00
11,58.9995,59.3435,24507740,59.4945,58.668,59.2333,35760,2018-09-20 04:00:00
12,59.6,58.3045,88111680,59.6105,58.302,58.6261,49019,2018-09-21 04:00:00
13,57.8585,58.6685,25420340,58.9,57.3455,58.3544,38818,2018-09-24 04:00:00
14,58.8075,59.2325,19554620,59.344,58.4,59.0499,31327,2018-09-25 04:00:00
15,59.2575,59.0245,29245060,59.7115,58.7383,59.1749,38263,2018-09-26 04:00:00
16,59.3365,59.732,25215080,60.105,59.1815,59.817,33572,2018-09-27 04:00:00
17,59.5935,59.6735,27612580,59.7705,59.225,59.5758,33384,2018-09-28 04:00:00
18,59.9945,59.7655,27152080,60.495,59.515,59.9341,36985,2018-10-01 04:00:00
19,59.548,60.0055,33758280,60.498,59.3315,60.0467,46439,2018-10-02 04:00:00
20,60.25,60.1475,25124280,60.3205,59.6915,60.0358,31565,2018-10-03 04:00:00
21,59.7665,58.4095,44189800,59.8755,57.7788,58.545,52425,2018-10-04 04:00:00
22,58.375,57.8675,23689040,58.675,57.256,57.851,34833,2018-10-05 04:00:00
23,57.5055,57.4485,38647100,58.4,56.3682,57.2973,51883,2018-10-08 04:00:00
24,57.3075,56.941,26175280,57.7175,56.8786,57.2214,39409,2018-10-09 04:00:00
25,56.554,54.061,53514840,56.6085,54.0565,55.1588,76587,2018-10-10 04:00:00
26,53.647,53.966,59002400,55.32,53.4135,54.3089,90857,2018-10-11 04:00:00
27,55.4,55.504,42026060,55.75,54.3201,55.2428,63873,2018-10-12 04:00:00
28,55.4455,54.6125,27447860,55.6723,54.45,54.9442,37840,2018-10-15 04:00:00
29,55.2295,56.064,38570800,56.211,55.125,55.8494,59909,2018-10-16 04:00:00
30,56.323,55.7845,29344520,56.4495,55.1095,55.6571,44777,2018-10-17 04:00:00
31,56.092,54.3985,41890480,56.092,53.8545,54.5934,55386,2018-10-18 04:00:00
32,54.6685,54.823,25352980,55.518,54.3875,54.8834,34232,2018-10-19 04:00:00
33,55.153,55.058,30284400,55.6115,54.55,55.1521,37177,2018-10-22 04:00:00
34,54.0445,55.1845,36973080,55.3945,53.5,54.5353,60342,2018-10-23 04:00:00
35,55.2125,52.5355,39648600,55.306,52.437,53.5362,58004,2018-10-24 04:00:00
36,53.5895,54.7785,50916780,55.549,53.4775,54.4865,69645,2018-10-25 04:00:00
37,51.8515,53.5735,83751720,55.3265,51.7045,53.1948,101945,2018-10-26 04:00:00
38,54.1235,51.004,77614460,54.852,49.7915,52.0547,88692,2018-10-29 04:00:00
39,50.423,51.8105,64253140,51.8745,50.0375,51.2195,72594,2018-10-30 04:00:00
40,52.9905,53.8385,50595360,54.597,52.85,53.8239,62992,2018-10-31 04:00:00
41,53.79,53.5,29639580,54.1988,53.123,53.6202,38199,2018-11-01 04:00:00
42,53.6865,52.8895,36380860,54.1488,52.7305,53.1418,42871,2018-11-02 04:00:00
43,52.75,52.0045,48828600,52.9235,51.062,51.7432,51029,2018-11-05 05:00:00
44,51.974,52.7905,24666120,53.2173,51.9035,52.6404,30177,2018-11-06 05:00:00
45,53.45,54.6695,41167120,54.773,53.295,54.2338,45312,2018-11-07 05:00:00
46,54.569,54.12,29763640,54.6635,53.6102,54.0086,36720,2018-11-08 05:00:00
47,53.6995,53.3075,26866260,53.778,52.6555,53.1987,34974,2018-11-09 05:00:00
48,53.0695,51.9315,29435160,53.106,51.55,52.2103,34632,2018-11-12 05:00:00
49,52.1645,51.8025,30274040,52.8303,51.5575,52.0664,34709,2018-11-13 05:00:00
50,52.5,52.183,31318900,52.7282,51.55,52.1315,37627,2018-11-14 05:00:00
51,52.2355,53.2355,36721680,53.5925,51.589,52.6622,45272,2018-11-15 05:00:00
52,52.9705,53.0745,33162320,53.35,52.449,52.9502,38392,2018-11-16 05:00:00
53,52.86,51,37172280,53.0395,50.813,51.6181,42190,2018-11-19 05:00:00
54,50,51.288,48982600,51.587,49.801,50.8327,59615,2018-11-20 05:00:00
55,51.838,51.8805,30685480,52.428,51.6735,52.0721,35367,2018-11-21 05:00:00
56,51.5,51.194,13829240,51.8795,51.12,51.4449,15859,2018-11-23 05:00:00
57,51.9175,52.431,38856440,52.4655,51.6955,52.2104,35443,2018-11-26 05:00:00
