INTC,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
0,47.75,47.72,20857150,48.12,47.47,47.7706,109981,2018-09-05 04:00:00
1,47.76,47.26,19318129,47.96,47.21,47.4473,107041,2018-09-06 04:00:00
2,46.91,46.45,25958345,47.48,46.36,46.7226,125105,2018-09-07 04:00:00
3,46.56,46.3,21522362,46.76,46.23,46.3524,112139,2018-09-10 04:00:00
4,46,44.93,32455320,46.03,44.89,45.3874,171109,2018-09-11 04:00:00
5,44.56,44.93,29778722,44.98,44.06,44.5858,163288,2018-09-12 04:00:00
6,45.68,45.57,18657116,45.85,45.11,45.5014,100607,2018-09-13 04:00:00
7,45.78,45.54,22998666,45.965,45.35,45.5876,99363,2018-09-14 04:00:00
8,45.29,45.42,17603171,45.9,45.19,45.5653,94953,2018-09-17 04:00:00
9,45.58,46.1,20528084,46.53,45.41,46.1506,113148,2018-09-18 04:00:00
10,46.09,46.15,15918914,46.44,45.89,46.1166,90493,2018-09-19 04:00:00
11,46.78,47.2,21999267,47.36,46.52,47.0965,116273,2018-09-20 04:00:00
12,47.12,46.66,52650601,47.419,46.37,46.7799,128448,2018-09-21 04:00:00
13,46.31,46.91,17846994,47,46.15,46.8057,85326,2018-09-24 04:00:00
14,46.22,45.91,23389874,46.39,45.8,46.0275,113462,2018-09-25 04:00:00
15,46.04,45.7,23957663,46.3,45.58,45.9037,106804,2018-09-26 04:00:00
16,45.91,45.88,15415535,46.165,45.73,45.9417,78166,2018-09-27 04:00:00
17,45.62,47.29,46223464,47.75,45.46,47.0711,235857,2018-09-28 04:00:00
18,46.79,46.45,23797630,47.22,46.2,46.6723,134396,2018-10-01 04:00:00
19,47.51,48.1,42121090,48.88,47.32,48.2463,194049,2018-10-02 04:00:00
20,48.62,48.76,39191946,49.72,48.56,48.9248,187854,2018-10-03 04:00:00
21,48.84,48.13,30108253,48.86,47.62,48.0417,140975,2018-10-04 04:00:00
22,48.23,47.03,28901448,48.34,46.66,47.1734,151963,2018-10-05 04:00:00
23,46.96,47.03,19376820,47.35,46.52,46.9641,108784,2018-10-08 04:00:00
24,47.18,46.55,23285714,47.62,46.54,46.8154,118101,2018-10-09 04:00:00
25,46.06,44.8,43109488,46.12,44.8,45.3804,219022,2018-10-10 04:00:00
26,45.15,44.23,43648820,45.61,43.73,44.6533,290331,2018-10-11 04:00:00
27,45.27,44.88,32087385,45.3429,44.23,44.7038,175467,2018-10-12 04:00:00
28,44.63,44.53,21632953,45.14,44.44,44.7295,111059,2018-10-15 04:00:00
29,44.9,45.94,21471984,46.01,44.825,45.6709,112930,2018-10-16 04:00:00
30,46,45.89,23124370,46.33,45.54,45.9123,109073,2018-10-17 04:00:00
31,45.65,44.97,26638830,45.75,44.83,45.1353,135705,2018-10-18 04:00:00
32,45.02,44,28368505,45.18,43.86,44.3582,149623,2018-10-19 04:00:00
33,44.5,45.01,34508833,45.34,44.1,44.7535,178235,2018-10-22 04:00:00
34,44.18,44.5,38590347,45.09,43.91,44.4881,219458,2018-10-23 04:00:00
35,44.16,42.42,33561303,44.36,42.36,43.2686,196806,2018-10-24 04:00:00
36,43.54,44.31,48255281,44.94,43.28,44.3976,255064,2018-10-25 04:00:00
37,45.59,45.69,67280359,46.44,44.7,45.697,362563,2018-10-26 04:00:00
38,46.5,45.4,35732223,46.75,44.44,45.6877,228209,2018-10-29 04:00:00
39,45.53,47.76,43975214,47.88,45.46,47.1753,267371,2018-10-30 04:00:00
40,48.29,46.88,33369091,48.56,46.83,47.4257,183689,2018-10-31 04:00:00
41,46.95,48.22,28335329,48.47,46.86,47.9863,155696,2018-11-01 04:00:00
42,48.13,47.11,30759786,48.25,46.75,47.3347,187609,2018-11-02 04:00:00
43,47.34,47.97,23751221,48.25,46.92,47.7132,120387,2018-11-05 05:00:00
44,47.8,47.25,23839582,47.92,47.03,47.3996,125217,2018-11-06 05:00:00
45,47.63,48.72,29913193,48.75,47.59,48.454,118703,2018-11-07 05:00:00
46,48.49,48.99,26581744,49.29,48.46,49.0124,129014,2018-11-08 05:00:00
47,48.79,48.11,21761447,49.025,47.87,48.28,128290,2018-11-09 05:00:00
48,47.71,46.65,24412843,47.8,46.6,46.9544,137837,2018-11-12 05:00:00
