KO,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
0,44.66,45.38,10555138,45.42,44.66,45.2651,52337,2018-09-05 04:00:00
1,45.4,45.77,11439603,46,45.3,45.6074,52083,2018-09-06 04:00:00
2,45.6,45.72,10208308,45.82,45.28,45.6323,48511,2018-09-07 04:00:00
3,45.91,46.06,8570653,46.31,45.795,46.0932,42465,2018-09-10 04:00:00
4,46.1,46.02,9278768,46.15,45.88,46.0316,41015,2018-09-11 04:00:00
5,46.16,46.24,13216394,46.3,46.02,46.1695,54764,2018-09-12 04:00:00
6,46.01,45.83,8295013,46.12,45.71,45.8436,36992,2018-09-13 04:00:00
7,45.92,45.99,7613084,46.0264,45.61,45.901,36054,2018-09-14 04:00:00
8,46,46.32,8527443,46.33,45.91,46.16,47933,2018-09-17 04:00:00
9,46.39,45.93,9848317,46.53,45.93,46.1022,47605,2018-09-18 04:00:00
10,46,45.96,7104424,46.105,45.865,45.978,36188,2018-09-19 04:00:00
11,46.22,46.64,9736914,46.68,46.15,46.532,46608,2018-09-20 04:00:00
12,46.64,46.58,19240887,46.69,46.375,46.5782,41768,2018-09-21 04:00:00
13,46.49,46.07,10779001,46.53,45.84,46.0589,45709,2018-09-24 04:00:00
14,46.06,45.68,7919344,46.1754,45.61,45.7568,38904,2018-09-25 04:00:00
15,45.77,45.85,10162676,46.07,45.565,45.8862,41102,2018-09-26 04:00:00
16,45.73,46.01,10826988,46.18,45.68,46.0211,50190,2018-09-27 04:00:00
17,46,46.19,9072014,46.19,45.97,46.1392,38113,2018-09-28 04:00:00
18,46.17,46.23,9364995,46.35,46.05,46.2344,41357,2018-10-01 04:00:00
19,46.28,46.51,7462729,46.555,46.06,46.3996,40268,2018-10-02 04:00:00
20,46.46,45.87,10542792,46.55,45.8,46.0279,50309,2018-10-03 04:00:00
21,45.66,45.85,9583088,45.895,45.425,45.6769,56978,2018-10-04 04:00:00
22,45.94,45.88,8734102,46.16,45.69,45.889,50218,2018-10-05 04:00:00
23,45.99,46.48,9808624,46.58,45.97,46.4182,46146,2018-10-08 04:00:00
24,46.38,46.39,10824653,46.55,46.22,46.4087,57823,2018-10-09 04:00:00
25,46.3,45.68,13917218,46.7,45.67,46.1201,79472,2018-10-10 04:00:00
26,45.8,44.64,17678545,45.97,44.5,45.0516,109677,2018-10-11 04:00:00
27,44.48,44.68,12420775,44.8799,44.25,44.621,65513,2018-10-12 04:00:00
28,44.64,44.91,11608729,45.265,44.59,44.9918,58141,2018-10-15 04:00:00
