META,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
0,15.08,15.12,334935,15.19,15.042,15.1107,2101,2021-06-30 04:00:00
1,15.13,14.89,241629,15.13,14.84,15.0126,2092,2021-07-01 04:00:00
2,15.02,15,388152,15.1,14.93,15.0224,4733,2021-07-02 04:00:00
3,15.08,15.01,685094,15.09,14.87,15.1119,11269,2021-07-06 04:00:00
4,15.0601,14.89,362538,15.15,14.84,14.983,5538,2021-07-07 04:00:00
5,14.58,14.74,228021,14.8,14.49,14.5999,3705,2021-07-08 04:00:00
6,14.83,14.9,180707,14.94,14.74,14.8654,2775,2021-07-09 04:00:00
7,15,14.94,249746,15.03,14.86,14.9777,5120,2021-07-12 04:00:00
8,14.97,14.9,256051,15.04,14.86,14.9658,4539,2021-07-13 04:00:00
9,15.08,14.76,196264,15.09,14.72,14.9028,4419,2021-07-14 04:00:00
10,14.78,14.54,174233,14.81,14.41,14.641,5035,2021-07-15 04:00:00
11,14.58,14.38,103993,14.63,14.33,14.471,3253,2021-07-16 04:00:00
12,14.13,14.31,111852,14.34,14.031,14.1668,3173,2021-07-19 04:00:00
13,14.41,14.46,88232,14.5,14.24,14.3787,1984,2021-07-20 04:00:00
14,14.49,14.67,78115,14.68,14.485,14.5744,1869,2021-07-21 04:00:00
15,14.75,14.7088,90804,14.78,14.64,14.7098,2209,2021-07-22 04:00:00
16,14.85,14.8,167551,14.86,14.71,14.747,2086,2021-07-23 04:00:00
17,14.73,14.63,128353,14.73,14.6,14.6857,2225,2021-07-26 04:00:00
18,14.56,14.36,140729,14.58,14.14,14.3664,3136,2021-07-27 04:00:00
19,14.5,14.6226,72875,14.67,14.38,14.5413,1235,2021-07-28 04:00:00
20,14.75,14.7173,92769,14.79,14.68,14.7342,1871,2021-07-29 04:00:00
21,14.56,14.62,67276,14.68,14.52,14.5925,1428,2021-07-30 04:00:00
22,14.72,14.64,87711,14.7225,14.55,14.6546,1811,2021-08-02 04:00:00
23,14.6,14.57,119306,14.62,14.4,14.544,2495,2021-08-03 04:00:00
24,14.61,14.72,98578,14.72,14.59,14.6439,1965,2021-08-04 04:00:00
25,14.65,14.73,220194,14.7499,14.56,14.6602,2613,2021-08-05 04:00:00
26,14.7,14.65,143659,14.73,14.579,14.6763,2226,2021-08-06 04:00:00
27,14.71,14.8107,115247,14.83,14.63,14.7691,2222,2021-08-09 04:00:00
28,14.89,14.67,131568,14.97,14.617,14.7677,2587,2021-08-10 04:00:00
29,14.8,14.7,260877,14.81,14.59,14.6965,1971,2021-08-11 04:00:00
30,14.71,14.75,153521,14.75,14.601,14.6875,1482,2021-08-12 04:00:00
31,14.77,14.74,93899,14.82,14.661,14.7275,1810,2021-08-13 04:00:00
32,14.75,14.55,194217,14.76,14.42,14.5644,2497,2021-08-16 04:00:00
33,14.4,14.31,199607,14.4019,14.205,14.3154,2819,2021-08-17 04:00:00
34,14.38,14.27,222496,14.44,14.26,14.3711,2512,2021-08-18 04:00:00
