MNST,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
0,30.34,30.725,4392658,30.805,30.31,30.683,16077,2018-09-05 04:00:00
1,30.695,30.67,3657966,30.735,30.435,30.5948,14533,2018-09-06 04:00:00
2,30.485,30.17,4505500,30.485,29.9,30.1783,17509,2018-09-07 04:00:00
3,30.29,29.88,4038992,30.355,29.855,29.979,17184,2018-09-10 04:00:00
4,29.835,29.045,11009724,29.835,29.0225,29.2718,34633,2018-09-11 04:00:00
5,29.075,29.145,9722936,29.29,28.88,29.0974,32759,2018-09-12 04:00:00
6,29.315,29.47,13658886,29.665,29.075,29.3592,33919,2018-09-13 04:00:00
7,29.605,29.765,6767076,29.86,29.38,29.7485,18309,2018-09-14 04:00:00
8,29.845,29.86,3885298,29.96,29.545,29.8312,16823,2018-09-17 04:00:00
9,29.87,29.695,5943070,29.94,29.21,29.6921,19299,2018-09-18 04:00:00
10,29.69,29.66,3839916,29.815,29.545,29.6652,14696,2018-09-19 04:00:00
11,29.75,30.19,6098368,30.335,29.65,30.1427,18004,2018-09-20 04:00:00
12,30.075,29.925,12427054,30.435,29.91,30.0223,19926,2018-09-21 04:00:00
13,29.74,29.15,6257538,29.775,28.795,29.1033,22318,2018-09-24 04:00:00
14,29.235,28.965,3561052,29.235,28.8575,28.9939,12585,2018-09-25 04:00:00
15,29.085,29.155,4985936,29.4425,28.925,29.2245,14811,2018-09-26 04:00:00
16,29.145,29.16,5120386,29.565,29.055,29.272,14715,2018-09-27 04:00:00
17,29.15,29.14,5014502,29.385,29.0525,29.1378,15234,2018-09-28 04:00:00
18,29.34,28.68,4589640,29.385,28.585,28.848,17051,2018-10-01 04:00:00
19,28.62,28.595,9270002,28.705,28.09,28.4771,30581,2018-10-02 04:00:00
20,28.695,28.335,5472450,28.895,28.195,28.4337,17245,2018-10-03 04:00:00
21,28.23,27.985,6177724,28.405,27.79,27.9749,19870,2018-10-04 04:00:00
22,28.22,28.095,5796794,28.42,27.94,28.1223,20185,2018-10-05 04:00:00
23,28.05,28.245,4753220,28.395,28.025,28.1875,14330,2018-10-08 04:00:00
24,28.335,28.275,4941248,28.495,28.2075,28.306,14883,2018-10-09 04:00:00
25,28.14,26.95,6759136,28.14,26.89,27.3338,21318,2018-10-10 04:00:00
26,27.025,26.415,5856080,27.195,26.375,26.7979,25177,2018-10-11 04:00:00
27,26.445,26.645,5351618,26.98,26.25,26.6675,23884,2018-10-12 04:00:00
28,26.12,26.1,5374148,26.425,25.84,26.2111,22577,2018-10-15 04:00:00
29,26.22,26.55,5285372,26.625,26.05,26.4671,19132,2018-10-16 04:00:00
30,26.495,26.315,5894678,26.55,26.12,26.3221,19904,2018-10-17 04:00:00
31,26.23,25.915,7075886,26.455,25.75,26.0278,26134,2018-10-18 04:00:00
32,26.065,26.055,5640494,26.4575,26.03,26.161,19154,2018-10-19 04:00:00
33,26.085,26.045,4525872,26.315,26.005,26.11,17109,2018-10-22 04:00:00
34,25.81,26.32,8171874,26.5275,25.555,26.1113,32475,2018-10-23 04:00:00
35,26.21,26.01,8838750,26.63,25.95,26.2216,27110,2018-10-24 04:00:00
36,25.99,26.255,7487368,26.5218,25.5325,26.2937,24895,2018-10-25 04:00:00
37,25.825,25.525,7605978,26.0148,25.35,25.6278,28503,2018-10-26 04:00:00
38,25.845,25.66,6622890,26.015,25.235,25.6701,27158,2018-10-29 04:00:00
39,25.88,26.485,6863178,26.52,25.81,26.2846,30488,2018-10-30 04:00:00
40,26.605,26.425,6312384,26.765,26.315,26.518,23850,2018-10-31 04:00:00
41,26.5,27.225,6150680,27.295,26.43,27.089,24527,2018-11-01 04:00:00
42,27.295,27.05,6746696,27.53,26.76,27.0243,25524,2018-11-02 04:00:00
43,27.175,27.355,5085588,27.385,26.99,27.2612,17046,2018-11-05 05:00:00
44,27.31,27.395,4035224,27.5565,27.115,27.3266,15112,2018-11-06 05:00:00
45,27.63,27.955,9977436,27.96,27.355,27.7783,29371,2018-11-07 05:00:00
46,24.83,27.07,28273794,27.375,24.71,26.3507,75786,2018-11-08 05:00:00
47,27.48,28.42,10681980,28.565,27.15,28.1561,36848,2018-11-09 05:00:00
48,28.28,27.375,10022198,28.35,27.34,27.6293,32128,2018-11-12 05:00:00
49,27.39,27.89,5515844,27.98,27.26,27.7456,23151,2018-11-13 05:00:00
50,28.055,27.245,7698754,28.105,27.105,27.3513,22364,2018-11-14 05:00:00
51,27.2,27.65,5675900,27.65,27.0875,27.5041,25236,2018-11-15 05:00:00
52,27.67,27.885,4404610,28.065,27.615,27.8421,17457,2018-11-16 05:00:00
53,27.945,28.52,8159822,28.615,27.92,28.2984,30505,2018-11-19 05:00:00
54,28.84,27.89,9260560,29.245,27.85,28.2245,39317,2018-11-20 05:00:00
55,27.975,28.015,7026384,28.285,27.77,28.0551,19361,2018-11-21 05:00:00
56,27.945,28.66,3565866,28.75,27.845,28.5215,13531,2018-11-23 05:00:00
57,28.75,28.41,8782862,28.945,28.375,28.5733,26640,2018-11-26 05:00:00
58,28.455,28.88,6655870,29.065,28.455,28.8068,24641,2018-11-27 05:00:00
59,28.835,29.55,6278052,29.56,28.715,29.3345,21956,2018-11-28 05:00:00
60,29.35,29.4,5355134,29.7896,29.315,29.4971,20427,2018-11-29 05:00:00
61,29.5,29.84,5712060,29.98,29.45,29.8056,19504,2018-11-30 05:00:00
62,29.615,30,6946344,30.165,29.615,29.9658,25444,2018-12-03 05:00:00
63,29.5,28.915,11044606,30.047,28.83,29.3016,36438,2018-12-04 05:00:00
64,28.77,29.135,9234316,29.1651,28.395,28.9038,33137,2018-12-06 05:00:00
65,28.945,28.705,7376126,29.5226,28.705,29.0095,31816,2018-12-07 05:00:00
66,28.51,28.475,7608660,28.86,28.205,28.539,32028,2018-12-10 05:00:00
67,28.78,28.79,7694556,29.175,28.625,28.9046,31596,2018-12-11 05:00:00
68,29.135,28.72,6113450,29.21,28.56,28.7903,25462,2018-12-12 05:00:00
69,27.815,26.715,8497758,28.0875,26.535,26.9693,32993,2018-12-13 05:00:00
70,26.515,26.345,7229272,26.755,26.255,26.4501,29719,2018-12-14 05:00:00
71,26.32,25.625,6471390,26.37,25.4425,25.8438,27450,2018-12-17 05:00:00
72,25.89,25.615,6459446,26.05,25.315,25.6178,28714,2018-12-18 05:00:00
73,25.64,24.72,6320872,25.855,24.59,25.0893,28589,2018-12-19 05:00:00
74,24.725,24.605,6608370,24.875,24.3,24.6277,29344,2018-12-20 05:00:00
75,24.67,24.115,11739844,25.09,24.08,24.418,31562,2018-12-21 05:00:00
76,24.125,23.975,3997858,24.39,23.88,24.1108,18101,2018-12-24 05:00:00
77,24.055,24.55,7476948,24.555,23.87,24.254,28321,2018-12-26 05:00:00
78,24.27,24.72,4936520,24.725,23.905,24.3057,19978,2018-12-27 05:00:00
79,24.76,24.52,5603016,24.89,24.2203,24.5234,22889,2018-12-28 05:00:00
80,24.565,24.61,4522920,24.69,24.395,24.5517,16624,2018-12-31 05:00:00
81,24.28,24.38,7501524,24.43,24.085,24.3318,20783,2019-01-02 05:00:00
82,24.2,24,11526590,24.555,23.92,24.1216,31752,2019-01-03 05:00:00
83,24.255,24.895,8070692,24.9175,24.22,24.8012,21750,2019-01-04 05:00:00
84,24.7,24.865,6652286,25.035,24.585,24.8196,26315,2019-01-07 05:00:00
85,25.87,26.415,12059428,26.525,25.7,26.2898,42379,2019-01-08 05:00:00
86,26.535,26.665,12476818,27.01,26.4,26.7592,38102,2019-01-09 05:00:00
87,26.625,26.63,12827848,26.65,25.94,26.3681,39259,2019-01-10 05:00:00
88,26.635,27.185,7941034,27.2101,26.425,27.0224,26956,2019-01-11 05:00:00
