NFLX,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
0,360,341.18,13092847,363.39,335.83,348.0608,150231,2018-09-05 04:00:00
1,347.44,346.46,13050156,356,341.99,347.4663,129726,2018-09-06 04:00:00
2,342.2,348.68,9105817,355.75,341.25,350.0823,95186,2018-09-07 04:00:00
3,352.27,348.41,5752184,352.5,343.08,347.047,73267,2018-09-10 04:00:00
4,344.67,355.93,6198063,356.15,343.9001,353.1424,76620,2018-09-11 04:00:00
5,359.08,369.95,10480769,370.43,356.24,363.7922,125558,2018-09-12 04:00:00
6,371.91,368.15,8366122,374.09,366.84,370.4477,108955,2018-09-13 04:00:00
7,368.55,364.56,4756426,371.09,363.46,366.9688,68982,2018-09-14 04:00:00
8,364.22,350.35,7064545,367.33,349.57,355.8913,97482,2018-09-17 04:00:00
9,353.67,367.65,10413981,368.15,351.56,361.8682,128745,2018-09-18 04:00:00
10,373.95,366.96,11876741,377.61,359.17,367.3911,143146,2018-09-19 04:00:00
11,370.26,365.36,6768086,370.26,363.17,366.194,89660,2018-09-20 04:00:00
12,366.59,361.19,11930568,372.22,360.74,364.7489,102059,2018-09-21 04:00:00
13,359,369.61,9322522,373.64,354.33,368.5987,121270,2018-09-24 04:00:00
14,370.23,369.43,6799816,371.34,364.492,368.2518,77100,2018-09-25 04:00:00
15,373.59,377.88,13646728,382,370.88,377.6628,158540,2018-09-26 04:00:00
16,379.87,380.71,7326246,383.2,376,380.0658,92017,2018-09-27 04:00:00
17,379.24,374.13,7114878,380.8,373.73,376.6626,93200,2018-09-28 04:00:00
18,375.85,381.43,8376560,386.11,375.59,382.4927,101876,2018-10-01 04:00:00
19,384.38,377.14,8638717,386.7999,373.83,380.2749,104531,2018-10-02 04:00:00
20,378.53,377.05,5798605,380.93,374.881,378.255,67786,2018-10-03 04:00:00
21,375.88,363.65,9074350,375.92,360.4,365.5705,120934,2018-10-04 04:00:00
22,359.77,351.35,13522957,363.5,343,351.2496,173653,2018-10-05 04:00:00
23,345.18,349.1,12375496,352.945,338.11,345.8871,140775,2018-10-08 04:00:00
24,348.48,355.71,8754990,358.72,347.09,354.3525,98575,2018-10-09 04:00:00
25,353.52,325.89,17181840,355.15,325.39,336.4209,205260,2018-10-10 04:00:00
26,324.94,321.1,16078156,334.2,315.81,324.7101,201919,2018-10-11 04:00:00
27,339.57,339.56,14870830,341.3,328.9,337.1136,172007,2018-10-12 04:00:00
28,337.63,333.13,11214956,339.2057,326.93,333.4326,124265,2018-10-15 04:00:00
29,337.24,346.4,20155578,347.95,330.555,353.0991,235713,2018-10-16 04:00:00
30,378.33,364.7,32610947,380,356.5,365.7819,341499,2018-10-17 04:00:00
31,360.673,346.71,18456420,362.2,346.05,351.5963,184549,2018-10-18 04:00:00
32,351,332.67,16717233,355.8,332.2,343.0493,162313,2018-10-19 04:00:00
33,333.1,329.54,17097175,335.8,320.34,329.0698,160601,2018-10-22 04:00:00
34,318,333.16,14907326,336.58,316.77,326.6478,178816,2018-10-23 04:00:00
