NVDA,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
0,70.7475,69.605,39315676,71.105,68.7875,69.6746,107545,2018-09-05 04:00:00
1,69.44,68.18,32279556,69.465,67.8478,68.3891,85287,2018-09-06 04:00:00
2,67.25,67.965,29541872,69.2325,66.7975,68.2857,83297,2018-09-07 04:00:00
3,68.1925,68.6825,22013828,68.9825,67.75,68.5434,60563,2018-09-10 04:00:00
4,68.215,68.2,24311272,69.1,68.005,68.4018,60134,2018-09-11 04:00:00
5,67.7975,67.05,41909036,67.995,65.48,66.6108,114568,2018-09-12 04:00:00
6,67.715,67.835,30553548,68.75,67.5403,68.1227,85178,2018-09-13 04:00:00
7,68.7475,69.1075,38693520,69.775,68.375,69.189,90813,2018-09-14 04:00:00
8,68.8505,68.4825,20552756,69.345,68.2875,68.8175,58982,2018-09-17 04:00:00
9,68.5225,67.755,29952092,69.56,67.6875,68.497,75206,2018-09-18 04:00:00
10,67.5681,67.995,22485860,68.1748,67.0625,67.7089,60571,2018-09-19 04:00:00
11,66.7625,66.57,43058276,67.19,66.025,66.586,109740,2018-09-20 04:00:00
12,66.69,65.8625,43512628,67.15,65.5275,66.1868,83297,2018-09-21 04:00:00
13,65.55,66.425,29391304,66.46,64.67,66.0263,66667,2018-09-24 04:00:00
14,67.0925,67.1025,28038984,67.355,66.2275,66.9487,70516,2018-09-25 04:00:00
15,67.1525,66.73,26854752,67.56,66.57,66.9344,62823,2018-09-26 04:00:00
16,67.085,66.85,21442868,67.3,66.5324,66.8708,55427,2018-09-27 04:00:00
17,68.1825,70.255,70939656,70.4788,67.9,69.644,183230,2018-09-28 04:00:00
18,71.04,72.34,62205812,73.015,70.65,72.1924,170439,2018-10-01 04:00:00
19,72.0625,71.62,38396472,73.19,71.395,72.3069,109898,2018-10-02 04:00:00
20,72.33,71.6825,32055076,72.405,70.6325,71.6064,85700,2018-10-03 04:00:00
21,71.3175,69.8225,39078756,71.5625,69.045,69.9794,118686,2018-10-04 04:00:00
22,69.5725,67.465,42663444,70.2,66.885,67.9638,129837,2018-10-05 04:00:00
23,66.625,66.4425,40861060,67.79,65.02,66.31,126963,2018-10-08 04:00:00
24,66.235,66.385,27349972,67.19,65.7,66.3702,80072,2018-10-09 04:00:00
25,65.315,61.4225,68493816,65.7775,61.4,63.126,214620,2018-10-10 04:00:00
26,60.5425,58.7825,72543716,61.89,58.5653,60.0453,234749,2018-10-11 04:00:00
27,61.3767,61.635,60823668,62.3853,59.9125,61.3168,173261,2018-10-12 04:00:00
28,61.5,58.845,44942528,61.5,58.835,59.7595,120986,2018-10-15 04:00:00
29,59.9825,61.4575,40871180,61.57,59.485,60.5811,112102,2018-10-16 04:00:00
30,62.085,60.765,32966804,62.47,60.27,61.0031,86320,2018-10-17 04:00:00
31,61.465,59.8825,52402192,61.8525,59.2725,60.2952,163056,2018-10-18 04:00:00
32,60.44,57.2925,61360996,60.6375,56.925,58.1552,167831,2018-10-19 04:00:00
33,57.82,57.805,36884364,58.83,56.7675,57.7196,103675,2018-10-22 04:00:00
34,55.1075,55.265,62643780,56.0475,54.1775,55.1427,183427,2018-10-23 04:00:00
35,54.8775,49.8525,88428796,55.3475,49.7125,52.2321,235184,2018-10-24 04:00:00
36,48.8675,51.96,95172160,52.4375,48.4204,50.3271,216097,2018-10-25 04:00:00
37,49.5775,49.5725,66478512,51.2105,48.28,49.6868,189433,2018-10-26 04:00:00
38,50.9975,46.405,75801764,51.0325,44.0025,47.8122,189889,2018-10-29 04:00:00
39,46.6375,50.75,80719072,50.85,46.405,48.6688,187364,2018-10-30 04:00:00
40,52.4125,52.7075,74524544,53.1475,51.0025,52.3472,167253,2018-10-31 04:00:00
41,53.075,54.5275,56652832,54.6225,51.7975,53.5886,133071,2018-11-01 04:00:00
42,54.4325,53.73,45233608,55.5,52.5527,53.8288,112030,2018-11-02 04:00:00
43,53.5975,52.9425,37894640,53.8325,51.32,52.3265,91901,2018-11-05 05:00:00
44,52.8625,52.765,29901036,53.7125,52.3912,53.1069,70205,2018-11-06 05:00:00
45,53.4375,53.4475,48364964,54.3525,52.795,53.5815,114596,2018-11-07 05:00:00
46,52.85,51.4975,51135292,52.8575,50.9575,51.7529,115009,2018-11-08 05:00:00
47,50.6,51.4175,41324196,52.33,50.26,51.3393,100395,2018-11-09 05:00:00
48,50.495,47.385,61711788,50.7175,47.165,48.0311,166729,2018-11-12 05:00:00
49,48.3725,49.8275,64471100,51.0525,48.3092,49.7504,151764,2018-11-13 05:00:00
50,51.575,49.2975,52657884,51.72,48.2076,49.8395,127084,2018-11-14 05:00:00
51,49.2375,50.5975,84070864,51.325,48.875,47.7804,193726,2018-11-15 05:00:00
52,40.83,41.1075,196351608,42.665,40.4025,41.3943,419740,2018-11-16 05:00:00
53,40.4475,36.175,169740020,40.455,36.1575,38.0215,345496,2018-11-19 05:00:00
54,33.515,37.27,169203312,38.565,33.3275,36.5732,343344,2018-11-20 05:00:00
55,38.655,36.1775,102549400,38.825,35.9025,36.8208,216033,2018-11-21 05:00:00
56,35.8275,36.25,41145244,37.3975,35.6973,36.7217,84775,2018-11-23 05:00:00
57,37.4725,38.2625,81483224,38.3675,36.64,37.4559,163595,2018-11-26 05:00:00
58,38,38.4325,73806024,39.2525,37.6375,38.4228,136628,2018-11-27 05:00:00
59,39.62,40.0175,80452548,40.07,38.2813,39.2803,163792,2018-11-28 05:00:00
60,40,39.34,54917360,40.375,39.035,39.5732,110208,2018-11-29 05:00:00
61,39.4375,40.8575,72956456,40.965,38.93,40.4176,138734,2018-11-30 05:00:00
62,43.15,42.51,89080436,43.67,41.835,42.6268,180173,2018-12-03 05:00:00
63,42.06,39.2775,81211148,42.11,39.125,40.3758,179823,2018-12-04 05:00:00
64,37.86,39.5725,69134964,39.623,37.7025,38.7027,163854,2018-12-06 05:00:00
65,39.615,36.9025,68167796,39.7175,36.404,37.5408,167553,2018-12-07 05:00:00
66,36.45,37.965,62947340,38.215,36.4125,37.7063,156335,2018-12-10 05:00:00
67,38.89,37.0475,67191328,38.9725,36.25,37.4429,162731,2018-12-11 05:00:00
68,37.105,37.225,65413592,38.195,36.205,37.4025,148115,2018-12-12 05:00:00
69,37.6975,37.2225,47138496,38.345,36.86,37.4434,106697,2018-12-13 05:00:00
70,36.8025,36.6125,47182124,37.6475,36.375,36.969,109598,2018-12-14 05:00:00
71,36.31,35.895,66286732,37.0375,35.31,36.1705,145372,2018-12-17 05:00:00
72,36.3375,36.735,56437004,37.5825,36.0625,37.0151,142790,2018-12-18 05:00:00
73,36.395,34.6275,74536588,36.9361,34.1075,35.4931,183962,2018-12-19 05:00:00
74,34.5425,33.775,74958788,35.45,33.172,34.1241,208710,2018-12-20 05:00:00
75,34.0425,32.3925,86374100,34.375,32.115,32.9018,191169,2018-12-21 05:00:00
76,31.6225,31.77,46383912,32.495,31.125,31.9215,113763,2018-12-24 05:00:00
77,32.235,33.275,69509936,33.285,31.115,32.1835,168724,2018-12-26 05:00:00
78,32.7475,32.7925,63704320,33.095,31.295,32.2118,155841,2018-12-27 05:00:00
79,33,33.4125,62849276,34.3475,32.5775,33.5038,146003,2018-12-28 05:00:00
80,33.85,33.375,46046012,34.1775,33.065,33.4398,99153,2018-12-31 05:00:00
81,32.66,34.055,50875360,34.62,32.5125,33.8933,114058,2019-01-02 05:00:00
82,33.4475,31.9975,70555144,33.79,31.9233,32.378,151601,2019-01-03 05:00:00
83,32.735,34.0475,58561932,34.4325,32.425,33.6403,141753,2019-01-04 05:00:00
84,34.625,35.85,70915920,36.2225,34.1075,35.4697,172630,2019-01-07 05:00:00
85,36.6725,34.9575,78601716,36.695,34.225,34.9708,186453,2019-01-08 05:00:00
86,35.475,35.645,61724136,36.1225,34.965,35.5589,138098,2019-01-09 05:00:00
87,35.45,36.3075,52315624,36.395,34.84,35.9022,111376,2019-01-10 05:00:00
88,36.0825,37.2075,87476264,37.4375,35.8025,36.9232,158071,2019-01-11 05:00:00
89,36.68,37.61,73016996,37.865,36.4425,37.4118,150119,2019-01-14 05:00:00
90,37.94,37.4675,61701004,38.3375,37.2825,37.7916,125673,2019-01-15 05:00:00
91,37.7425,37.21,47010368,38.075,37.1538,37.523,102245,2019-01-16 05:00:00
92,36.8775,37.93,49343620,38.3325,36.6025,37.524,106365,2019-01-17 05:00:00
93,38.4325,39.2325,65133692,39.495,37.9125,38.9499,132371,2019-01-18 05:00:00
94,38.9275,37.1925,66155104,39.045,36.8877,37.6013,148034,2019-01-22 05:00:00
95,37.75,37.3225,59034980,38.645,37.0075,37.6583,116813,2019-01-23 05:00:00
96,38.175,39.46,70846644,39.6375,38.1275,39.1572,140979,2019-01-24 05:00:00
97,38.86,40.0375,115522188,40.22,37.825,39.0516,187150,2019-01-25 05:00:00
98,34.1375,34.5025,251152676,35.41,32.75,34.2518,475656,2019-01-28 05:00:00
99,34.0375,32.9,115393388,34.525,32.7525,33.4119,242365,2019-01-29 05:00:00
100,33.6675,34.3475,97422956,34.4925,32.865,33.768,192215,2019-01-30 05:00:00
101,34.315,35.9375,84285352,36.2975,34.0958,35.6167,178301,2019-01-31 05:00:00
102,36.125,36.1825,62504700,36.6975,35.645,36.2904,127966,2019-02-01 05:00:00
103,36.3425,37.295,52860072,37.67,36.12,37.1807,106520,2019-02-04 05:00:00
104,37.415,37.4875,54242500,37.8575,37.075,37.4377,98981,2019-02-05 05:00:00
105,37.8225,38.25,70246588,38.9,37.7675,38.3687,138602,2019-02-06 05:00:00
106,37.782,36.855,63712000,37.805,36.4225,36.9482,130496,2019-02-07 05:00:00
107,36.1775,37.0425,46160548,37.15,36.0325,36.5828,93019,2019-02-08 05:00:00
108,36.5975,36.6125,49518060,37.145,36.125,36.6478,94557,2019-02-11 05:00:00
109,37,37.7925,59106052,37.95,36.855,37.5903,102023,2019-02-12 05:00:00
110,38.09,38.22,60537208,38.9575,37.9525,38.4061,105234,2019-02-13 05:00:00
111,38.21,38.6325,82726296,38.9163,37.775,39.1912,170299,2019-02-14 05:00:00
112,40.7375,39.335,151674936,40.9675,39.105,39.7686,267421,2019-02-15 05:00:00
113,39.2275,39.16,55189264,39.9725,39.035,39.5604,98327,2019-02-19 05:00:00
114,39.455,39.6375,54098948,40.315,39.3425,39.8955,106320,2019-02-20 05:00:00
115,39.765,38.9425,44854672,40.0125,38.795,39.2435,96101,2019-02-21 05:00:00
116,39.465,39.7975,40174124,39.9875,39.3275,39.7375,86803,2019-02-22 05:00:00
117,40.64,39.6725,65601924,41.32,39.585,40.3316,137443,2019-02-25 05:00:00
118,39.625,39.275,48846284,40.19,38.9375,39.4554,116735,2019-02-26 05:00:00
119,39.13,38.8525,50025524,39.3975,38.2775,38.8958,110710,2019-02-27 05:00:00
120,38.75,38.565,32494260,38.975,38.34,38.6336,73971,2019-02-28 05:00:00
121,39.0675,39.1125,35718712,39.5372,38.48,39.0797,80061,2019-03-01 05:00:00
122,39.5,39.195,40977000,39.73,38.625,39.1862,92726,2019-03-04 05:00:00
123,39.0375,39.13,36292476,39.5143,38.49,39.1118,74824,2019-03-05 05:00:00
124,39.04,38.0125,40352596,39.125,37.985,38.3716,78917,2019-03-06 05:00:00
125,37.775,37.315,45010492,37.8725,36.85,37.3525,86123,2019-03-07 05:00:00
126,36.415,37.66,42241484,37.7675,36.2,37.2613,75246,2019-03-08 05:00:00
127,37.8975,40.285,85972600,40.515,37.4225,39.7567,145516,2019-03-11 04:00:00
128,40.565,40.63,57957472,41.0975,39.7975,40.6117,111525,2019-03-12 04:00:00
129,41.0075,42.155,76890072,42.45,40.9325,42.0038,137719,2019-03-13 04:00:00
130,42.2475,41.39,51938520,42.3675,41.3125,41.7852,91842,2019-03-14 04:00:00
131,41.825,42.4525,66145928,42.8825,41.79,42.4917,103703,2019-03-15 04:00:00
132,42.77,42.2375,48699316,43.3125,41.9644,42.5543,91331,2019-03-18 04:00:00
133,43.19,43.9275,85497240,44.375,43.02,43.8812,155611,2019-03-19 04:00:00
134,44.22,43.6,71914860,44.7575,43.25,43.8213,125546,2019-03-20 04:00:00
135,43.8325,45.985,82431068,46.25,43.7825,45.3799,143238,2019-03-21 04:00:00
136,45.71,44.375,74764348,46.1999,44.235,44.9223,130300,2019-03-22 04:00:00
137,43.965,43.445,52521204,44.6125,42.7775,43.3885,101481,2019-03-25 04:00:00
138,44.8723,44.2175,70350712,45.4375,43.6492,44.5344,124457,2019-03-26 04:00:00
139,44.475,44.125,47437176,44.9425,43.425,44.033,84820,2019-03-27 04:00:00
140,44.3875,44.3125,48026408,44.975,43.7775,44.3708,76707,2019-03-28 04:00:00
141,44.985,44.89,45689516,45.135,44.4775,44.7896,74064,2019-03-29 04:00:00
142,45.815,45.57,48382448,45.875,45.0936,45.5259,83449,2019-04-01 04:00:00
143,45.8125,45.75,44091984,46.1972,45.38,45.7556,79800,2019-04-02 04:00:00
144,46.25,47.155,78877872,47.75,46.2,47.1858,179433,2019-04-03 04:00:00
145,47,47.065,45737676,47.4925,46.4325,46.9757,115324,2019-04-04 04:00:00
146,47.5,47.7375,47871996,47.9125,47.1325,47.6186,88364,2019-04-05 04:00:00
147,47.43,47.9475,42419368,48.2,47.1875,47.699,78951,2019-04-08 04:00:00
148,47.61,47.315,43833280,47.7225,46.89,47.2703,86535,2019-04-09 04:00:00
149,47.3075,48.025,44477228,48.285,47.2625,47.9265,100629,2019-04-10 04:00:00
150,48.05,47.885,37460148,48.3675,47.3875,47.8874,85484,2019-04-11 04:00:00
151,48.275,47.5025,47170656,48.315,47.415,47.7145,77459,2019-04-12 04:00:00
152,47.425,46.175,44009380,47.475,45.775,46.2789,105506,2019-04-15 04:00:00
153,46.57,47.0525,39496364,47.2425,46.241,46.8735,82793,2019-04-16 04:00:00
154,47.405,46.8225,35003072,47.615,46.5975,47.0118,81732,2019-04-17 04:00:00
155,46.89,46.575,37972816,47.2325,46.295,46.6639,71897,2019-04-18 04:00:00
156,46.3375,47.1175,27993552,47.275,46.02,46.851,60842,2019-04-22 04:00:00
157,47.25,47.6675,34685524,47.9825,47.1525,47.7322,80589,2019-04-23 04:00:00
158,47.7725,47.7925,31820480,48.2025,47.16,47.7632,71832,2019-04-24 04:00:00
159,47.3875,46.7275,49929748,47.6125,45.925,46.6346,118228,2019-04-25 04:00:00
160,45.1775,44.5225,86898916,45.2219,43.325,44.2125,203236,2019-04-26 04:00:00
161,44.6025,44.8325,39191932,45.1125,43.875,44.6576,80007,2019-04-29 04:00:00
162,44.5075,45.25,36292160,45.5075,44.315,45.1072,86534,2019-04-30 04:00:00
163,45.7775,45.1175,35428124,46.2025,45.115,45.6908,81488,2019-05-01 04:00:00
164,45.215,45.7975,39468540,46.2175,44.7788,45.6469,92486,2019-05-02 04:00:00
165,45.8825,45.7525,33682348,45.9825,45.1325,45.6293,81761,2019-05-03 04:00:00
166,43.875,44.9625,42217780,45.085,43.5,44.4929,104297,2019-05-06 04:00:00
167,44.475,43.2775,55291732,44.475,42.7925,43.5033,159322,2019-05-07 04:00:00
