PEP,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
0,110.76,113.12,4392105,113.17,110.7,112.5565,37245,2018-09-05 04:00:00
1,112,113.5,4808260,113.53,111.44,112.5589,41594,2018-09-06 04:00:00
2,112.85,112.74,3834064,113.5,111.51,112.6613,31964,2018-09-07 04:00:00
3,112.92,113.57,3289725,113.99,112.7,113.6143,28726,2018-09-10 04:00:00
4,111.85,113.33,2807253,113.745,111.85,113.4128,26354,2018-09-11 04:00:00
5,113.31,113.85,3651358,114.2311,113.04,113.7771,34652,2018-09-12 04:00:00
6,114.49,114.99,3808143,115.01,113.694,114.6961,28377,2018-09-13 04:00:00
7,114.89,114.57,2698325,114.89,113.722,114.349,23365,2018-09-14 04:00:00
8,114.6,115.4,3092582,115.45,114.22,115.1829,27456,2018-09-17 04:00:00
9,115.475,113.98,4081437,115.475,113.69,114.2295,34724,2018-09-18 04:00:00
10,113.95,113.77,2844869,114.24,113.46,113.8457,27468,2018-09-19 04:00:00
11,114.23,115.22,3375863,115.51,114.11,115.1039,28167,2018-09-20 04:00:00
12,115.26,114.91,6989548,115.52,114.835,115.0825,24787,2018-09-21 04:00:00
13,114.1,112.27,3387617,114.72,112.2,112.6162,28546,2018-09-24 04:00:00
14,112.64,111.97,3538656,112.75,111.76,112.1233,30250,2018-09-25 04:00:00
15,112.27,111.5,4053521,112.86,111.31,111.922,27750,2018-09-26 04:00:00
16,111.43,111.05,3841618,112.4,110.91,111.4384,31326,2018-09-27 04:00:00
17,111.54,111.8,5945256,112.05,110.91,111.504,41252,2018-09-28 04:00:00
18,112.15,110.71,5064669,112.48,110.67,111.1832,40519,2018-10-01 04:00:00
19,110.45,108.72,6702152,111.11,107.7,108.9928,59171,2018-10-02 04:00:00
20,109.21,107.52,6107483,109.71,107.17,108.2,45873,2018-10-03 04:00:00
21,106.85,106.61,4930274,107.4,105.8,106.4377,46011,2018-10-04 04:00:00
22,106.25,106.49,3438074,107.01,105.98,106.4187,32165,2018-10-05 04:00:00
23,106.36,108.19,3994129,108.34,106.31,107.9502,31786,2018-10-08 04:00:00
24,108.68,108.12,4105678,108.94,107.52,108.3115,33812,2018-10-09 04:00:00
25,107.59,107.34,5796166,109.35,107.2,108.0735,48223,2018-10-10 04:00:00
26,108.21,105.06,5755112,108.48,104.9,106.0392,54401,2018-10-11 04:00:00
27,105.3,105.28,4543011,105.76,104.53,105.152,38901,2018-10-12 04:00:00
28,105.2,105.63,3805689,106.65,105.17,105.8974,26326,2018-10-15 04:00:00
29,106.31,107.39,4061579,107.69,105.8401,107.1562,35181,2018-10-16 04:00:00
30,107.21,108.31,4495857,108.7785,107.19,108.1544,36700,2018-10-17 04:00:00
31,108.48,107.93,4094033,109.3457,107.55,108.1914,35209,2018-10-18 04:00:00
32,108.59,110.29,5109005,110.6,108.49,109.9726,44060,2018-10-19 04:00:00
33,110.09,109.4,5477714,110.89,109.2438,109.7318,38677,2018-10-22 04:00:00
34,108.93,110.13,4484123,110.53,108.32,109.4095,45446,2018-10-23 04:00:00
35,110.2,112.96,8222879,114.16,109.95,112.9497,73566,2018-10-24 04:00:00
36,112.96,112.85,6712939,113.27,111.4222,112.5707,57705,2018-10-25 04:00:00
37,111.62,110.45,5872775,112.06,109.69,110.6335,54460,2018-10-26 04:00:00
38,111.29,112.89,5705997,113.31,111.1432,112.6686,45400,2018-10-29 04:00:00
39,113.75,113.77,4900399,114.23,112.6,113.4332,45852,2018-10-30 04:00:00
40,113.49,112.38,6449473,113.49,111.19,112.465,45252,2018-10-31 04:00:00
41,112,111.51,5736715,113.14,110.98,111.7965,46772,2018-11-01 04:00:00
42,111.49,111.17,6705770,112.1,109.63,110.8332,54995,2018-11-02 04:00:00
43,111.69,114.39,5270360,114.44,111.28,113.9557,41170,2018-11-05 05:00:00
44,114.03,115.21,3913449,115.35,113.86,114.7072,34720,2018-11-06 05:00:00
45,115.45,115.61,4219594,115.77,114.44,115.4466,35199,2018-11-07 05:00:00
46,115.38,116.06,2925092,116.5,115.25,115.8505,27657,2018-11-08 05:00:00
47,116.08,117.48,5026306,117.71,116.08,117.0862,44173,2018-11-09 05:00:00
48,117,116.97,4781899,118.32,116.71,117.4699,43067,2018-11-12 05:00:00
49,117.75,117.14,3609927,117.75,116.21,117.0121,35503,2018-11-13 05:00:00
50,117.44,116.65,4423812,117.48,116.27,116.824,40135,2018-11-14 05:00:00
51,116.43,116.8,4045746,116.99,115.6,116.442,36158,2018-11-15 05:00:00
52,117.05,118.35,4484333,118.48,116.84,117.9775,33409,2018-11-16 05:00:00
53,118.08,119.01,4673935,119.52,117.965,118.9557,38345,2018-11-19 05:00:00
54,119.8,116,5088238,120.28,115.78,117.18,46616,2018-11-20 05:00:00
55,115.89,115.28,3245054,116.89,114.92,115.5919,30874,2018-11-21 05:00:00
56,114.78,115.41,1444727,116.57,114.78,115.6744,13425,2018-11-23 05:00:00
57,115.88,115.86,2972459,116.4303,114.99,115.7941,27640,2018-11-26 05:00:00
58,115.37,116.44,2884749,116.5269,114.9,115.9871,30446,2018-11-27 05:00:00
59,115.98,118.5,3989365,118.52,115.57,117.6763,34952,2018-11-28 05:00:00
60,118.4,118.27,2878675,118.87,117.44,118.3417,29507,2018-11-29 05:00:00
61,118.13,121.94,8051115,122,118.13,120.7726,48034,2018-11-30 05:00:00
62,120.48,118.98,6112959,120.91,117.51,118.6005,53378,2018-12-03 05:00:00
63,119.37,117.8,7018210,120.61,117.45,118.795,52856,2018-12-04 05:00:00
64,116.31,116.84,5191681,117.38,114.1,115.8302,50614,2018-12-06 05:00:00
65,116.37,115.82,4615881,116.98,115.38,115.9722,36819,2018-12-07 05:00:00
66,116.4,116.19,4150858,116.6197,114.46,115.9278,33237,2018-12-10 05:00:00
67,116.9,117.29,5545054,118.19,116.68,117.2847,38679,2018-12-11 05:00:00
68,118.34,117,4889715,118.59,116.41,117.1649,42306,2018-12-12 05:00:00
69,117.14,118.35,6181237,118.89,117.11,118.181,54402,2018-12-13 05:00:00
70,117.32,113.95,7404239,117.55,113.67,114.6975,59397,2018-12-14 05:00:00
71,114.37,112.87,6015296,115.07,112.2,113.3839,49161,2018-12-17 05:00:00
72,113.22,111.84,5846156,113.53,110.75,112.0309,48351,2018-12-18 05:00:00
73,112.63,110.04,6915432,113.19,109.63,110.9741,58437,2018-12-19 05:00:00
74,110.2,110.21,8468311,111.93,109.2,110.5338,68141,2018-12-20 05:00:00
75,110.96,109.42,13263615,114.16,108.81,110.5033,62653,2018-12-21 05:00:00
76,110.13,106.03,3354049,111.09,105.96,107.0877,30232,2018-12-24 05:00:00
77,106.22,108.33,4537048,108.44,105.03,107.0696,42457,2018-12-26 05:00:00
