PLTR,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
0,10,9.5,338549492,11.42,9.11,10.3208,811535,2020-09-30 04:00:00
1,9.69,9.46,129660350,10.1,9.23,9.5933,390409,2020-10-01 04:00:00
2,9.06,9.2,56343795,9.28,8.94,9.1253,175321,2020-10-02 04:00:00
3,9.43,9.03,36951976,9.49,8.92,9.1074,131670,2020-10-05 04:00:00
4,9.04,9.9,91313619,10.18,8.9,9.6767,243323,2020-10-06 04:00:00
5,10.04,10,55469945,10.49,9.99,10.2519,178587,2020-10-07 04:00:00
6,10.29,10,35995168,10.4,9.99,10.2022,113550,2020-10-08 04:00:00
7,10.13,9.95,20204367,10.19,9.89,10.0233,62992,2020-10-09 04:00:00
8,10.04,9.89,20975708,10.05,9.66,9.936,66988,2020-10-12 04:00:00
9,9.88,9.47,22160337,9.88,9.41,9.5647,83405,2020-10-13 04:00:00
10,9.6,9.34,14101180,9.66,9.29,9.4384,58335,2020-10-14 04:00:00
11,9.27,9.91,13148853,9.91,9.18,9.527,47367,2020-10-15 04:00:00
12,9.94,9.71,11535929,9.95,9.66,9.7695,46919,2020-10-16 04:00:00
13,9.79,9.57,9333008,9.82,9.53,9.6411,41497,2020-10-19 04:00:00
14,9.6,9.27,11291094,9.66,9.27,9.4237,41462,2020-10-20 04:00:00
15,9.3,9.2,9424019,9.48,9.2,9.2931,41283,2020-10-21 04:00:00
16,9.37,9.68,18124924,9.75,9.22,9.5533,68756,2020-10-22 04:00:00
17,9.71,9.49,12980138,9.83,9.47,9.6137,48110,2020-10-23 04:00:00
18,9.72,9.95,24188457,9.97,9.6,9.7971,79615,2020-10-26 04:00:00
19,10,10.95,54271624,11.04,9.92,10.5718,155485,2020-10-27 04:00:00
20,10.66,10.85,31926944,10.985,10.1,10.5964,95933,2020-10-28 04:00:00
21,10.9,10.75,20812272,11.1,10.56,10.8882,68593,2020-10-29 04:00:00
22,10.61,10.13,19928843,10.68,9.85,10.1999,66882,2020-10-30 04:00:00
23,10.23,10.54,12026142,10.57,10.23,10.4152,42321,2020-11-02 05:00:00
24,10.57,10.5,21994100,10.94,10.44,10.6852,79227,2020-11-03 05:00:00
25,10.82,10.72,16019267,10.92,10.55,10.7512,57143,2020-11-04 05:00:00
26,10.9,11.88,49022580,12.13,10.85,11.6889,156268,2020-11-05 05:00:00
27,12.22,13.83,91141147,14.96,12.05,13.8193,327540,2020-11-06 05:00:00
28,14.96,14.67,62551205,15.9,14.11,15.0501,222163,2020-11-09 05:00:00
29,14.99,14,38871537,15.01,13.18,13.9957,138077,2020-11-10 05:00:00
30,14.57,15.96,47328286,15.97,14.4,15.2479,161652,2020-11-11 05:00:00
31,16.66,14.58,100700648,17.06,14.41,15.1934,368320,2020-11-12 05:00:00
32,14.49,15.8,78142028,16,14.49,15.3436,284154,2020-11-13 05:00:00
33,15.96,15.93,68381528,16.1,15.01,15.7881,258398,2020-11-16 05:00:00
34,16.29,17.85,117539897,18.75,16.18,17.6855,435389,2020-11-17 05:00:00
35,18.28,17.9,91505191,19.25,17.54,18.3833,337920,2020-11-18 05:00:00
36,18.5,18.98,57201235,18.98,17.96,18.4978,222084,2020-11-19 05:00:00
37,19.03,18.15,73103035,19.66,18,18.7089,294659,2020-11-20 05:00:00
38,18.63,21.04,85694342,21.45,18.57,20.0225,337600,2020-11-23 05:00:00
39,22.35,23.82,117722583,24.27,20.63,22.8124,458901,2020-11-24 05:00:00
40,23.96,29.05,203256795,29.75,23.69,27.1862,837135,2020-11-25 05:00:00
41,31.19,27.66,207834002,33.5,26.12,29.9189,964006,2020-11-27 05:00:00
42,28.24,27.11,138974466,30.15,24.11,27.2057,622692,2020-11-30 05:00:00
43,28.09,25.67,85311632,28.14,24.45,25.7507,411401,2020-12-01 05:00:00
44,22.24,22.51,151542845,23.4,21.15,22.3548,607549,2020-12-02 05:00:00
45,23.55,24.03,86296964,25.62,23.5,24.3688,350050,2020-12-03 05:00:00
46,24.88,23.85,56616317,25.24,23.51,24.1658,239893,2020-12-04 05:00:00
47,24.44,28.94,118946429,29,24.44,27.0482,499701,2020-12-07 05:00:00
48,30.63,28.59,126423270,31.24,27.25,28.9174,551670,2020-12-08 05:00:00
49,28.68,26.63,80397711,28.85,25.33,27.0068,397784,2020-12-09 05:00:00
50,25.5412,27.04,58446446,28.04,25.15,27.0424,242070,2020-12-10 05:00:00
51,27.15,27.2,53124729,28.27,26.06,27.0085,216498,2020-12-11 05:00:00
52,28.26,27.24,45303921,28.26,26.7301,27.4475,211400,2020-12-14 05:00:00
53,26.82,26.43,49920382,27.1,25.52,26.1457,229448,2020-12-15 05:00:00
54,25.71,25.92,44707930,26.16,25.11,25.6795,200993,2020-12-16 05:00:00
55,26.52,27.23,54229934,27.45,26.05,26.9197,223571,2020-12-17 05:00:00
56,26.27,25.97,71886171,26.85,25.8,26.1766,255240,2020-12-18 05:00:00
57,26.19,28.51,77301105,28.7,25.4,27.1873,328028,2020-12-21 05:00:00
58,29.03,28.04,67036716,29.42,26.82,28.0659,303391,2020-12-22 05:00:00
59,28.95,28.69,59334011,29.39,28.05,28.7725,254007,2020-12-23 05:00:00
60,28.7976,27.75,26960847,29.16,27.52,28.1994,125059,2020-12-24 05:00:00
61,28.39,25.63,56479896,28.59,25.4,26.4369,316273,2020-12-28 05:00:00
62,25.75,24.66,47786784,26.1823,24.34,24.9966,255370,2020-12-29 05:00:00
63,24.97,25.1,34881879,25.91,24.63,25.2694,156095,2020-12-30 05:00:00
64,24.63,23.55,40200332,24.72,23.52,23.9382,263543,2020-12-31 05:00:00
65,23.91,23.37,45768204,24.5,22.5,23.5743,250779,2021-01-04 05:00:00
66,23.18,24.6,29468743,24.67,22.89,23.9445,148051,2021-01-05 05:00:00
67,24.12,23.54,33243997,24.46,23.25,23.8755,188973,2021-01-06 05:00:00
68,24.02,25,32580188,25.19,23.67,24.554,149353,2021-01-07 05:00:00
69,25.7,25.2,41859607,26.44,24.7,25.597,196183,2021-01-08 05:00:00
70,24.61,25.93,33009195,26.6,24.31,25.7829,170895,2021-01-11 05:00:00
71,26.34,26.18,27484811,26.42,25.51,26.0111,124943,2021-01-12 05:00:00
72,25.71,25.5,51904464,27.4298,25.13,26.1545,262814,2021-01-13 05:00:00
73,25.45,24.92,33345869,25.62,24.37,25.0532,190638,2021-01-14 05:00:00
74,26.26,25.64,93005895,28,25.46,26.7527,413854,2021-01-15 05:00:00
75,26.81,26.62,49366817,27.54,26,26.7524,231288,2021-01-19 05:00:00
76,27.29,26.34,37937904,27.3,25.7,26.4658,180545,2021-01-20 05:00:00
77,26.42,25.98,29926137,26.68,25.3,25.9404,154761,2021-01-21 05:00:00
78,25.85,32.58,157240221,32.65,25.82,29.7931,644911,2021-01-22 05:00:00
79,34.46,36.23,194616820,39.58,29.56,35.2372,942316,2021-01-25 05:00:00
