PYPL,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
0,92.98,89.05,10202178,93,88.7,89.8838,90353,2018-09-05 04:00:00
1,89.18,89,6840606,89.555,88.06,88.7748,61329,2018-09-06 04:00:00
2,88.13,88.82,5679468,89.68,87.39,88.8433,54272,2018-09-07 04:00:00
3,89.43,89.8,5465965,89.99,88.56,89.6135,47082,2018-09-10 04:00:00
4,89.83,91.43,7324353,91.71,89.035,91.0973,62015,2018-09-11 04:00:00
5,91.53,92.4,7213519,92.46,90.21,91.6482,64352,2018-09-12 04:00:00
6,92.6,92.19,8308315,93.7,92.06,92.9049,69449,2018-09-13 04:00:00
7,92.25,90.78,9342821,92.68,90.68,91.4318,75715,2018-09-14 04:00:00
8,90.66,88.68,9293798,91.3,88.51,89.2398,69961,2018-09-17 04:00:00
9,88.71,89.72,5820686,90.09,88.71,89.7676,50115,2018-09-18 04:00:00
10,90.1,89.31,5495100,90.7399,88.2382,89.0543,46477,2018-09-19 04:00:00
11,89.84,90.6,6562065,90.78,89.185,90.3358,53471,2018-09-20 04:00:00
12,91.05,90.62,25379398,92,90.42,90.7865,66330,2018-09-21 04:00:00
13,89.95,89.62,8303272,90.26,88.26,89.6006,55357,2018-09-24 04:00:00
14,89.62,90.04,5953397,90.38,89.2748,89.988,39796,2018-09-25 04:00:00
15,90.34,89.85,5936191,90.93,89.7,90.1639,39465,2018-09-26 04:00:00
16,90.61,88.99,6996564,90.7,88.86,89.4826,54161,2018-09-27 04:00:00
17,88.79,87.84,7920916,89.045,87.6,88.1665,63341,2018-09-28 04:00:00
18,88.13,87.55,9260577,88.8,87.4,87.9784,69412,2018-10-01 04:00:00
19,87.27,86.68,6488198,87.35,85.83,86.6991,57762,2018-10-02 04:00:00
20,87.4,87.15,6625013,87.95,86.37,87.2244,53302,2018-10-03 04:00:00
21,86.39,84.34,9078341,86.5,83.54,84.66,73077,2018-10-04 04:00:00
22,84.21,83.18,10735779,84.84,82.32,83.2001,84061,2018-10-05 04:00:00
