SAM,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
0,302.2,301.1,173396,306,296.5661,300.8636,2242,2018-09-05 04:00:00
1,302,310.45,102619,311.5,296.75,305.8208,1984,2018-09-06 04:00:00
2,308.7,311.65,134698,317.4,302.5,312.9931,1962,2018-09-07 04:00:00
3,312.4,313.7,91406,319.6,311.5,315.1633,1650,2018-09-10 04:00:00
4,314.25,319.45,132392,322.2,312.75,319.5823,1899,2018-09-11 04:00:00
5,319.35,323.1,83712,324.25,316.8,321.4537,2279,2018-09-12 04:00:00
6,322.45,313.55,115770,324,312.75,316.4636,2004,2018-09-13 04:00:00
7,315,319.2,120900,320.3,310,317.0536,2334,2018-09-14 04:00:00
8,320,317.45,73752,320.175,311.205,317.043,1566,2018-09-17 04:00:00
9,316.55,315.8,167836,317.75,311.1,315.393,2626,2018-09-18 04:00:00
10,314.45,291.7,219705,314.55,290.95,297.873,3199,2018-09-19 04:00:00
11,293.2,294.95,165511,297.15,285.5,292.4027,3168,2018-09-20 04:00:00
12,295.95,297.7,146072,300.9,295.4,298.0029,1928,2018-09-21 04:00:00
13,296.95,296.85,110402,298.35,288.65,294.8615,2105,2018-09-24 04:00:00
14,297.3,296.3,153641,301.9,293,297.2518,2316,2018-09-25 04:00:00
15,296.95,297.7,111412,300.65,295.25,298.1065,1521,2018-09-26 04:00:00
16,296.3,297.2,95606,303.25,293.6,299.8251,1676,2018-09-27 04:00:00
17,297.35,287.5,116868,297.6,286.4,289.3585,1976,2018-09-28 04:00:00
18,289.84,288.55,108977,291.54,287.61,289.127,1860,2018-10-01 04:00:00
19,286.3,277.13,131792,289.645,276.175,279.6305,2249,2018-10-02 04:00:00
20,278.96,278.35,96171,281.11,276.47,278.799,1833,2018-10-03 04:00:00
21,278.93,283.67,115675,283.78,276.45,281.7748,1911,2018-10-04 04:00:00
22,283.35,283.06,88554,288.25,280.4166,284.3157,1049,2018-10-05 04:00:00
23,284.13,289.22,56659,290,283.62,287.8101,1038,2018-10-08 04:00:00
24,288.28,280.59,99705,291.0925,279.71,282.5704,1513,2018-10-09 04:00:00
25,280.59,270.76,159342,281.49,269.62,272.8341,3566,2018-10-10 04:00:00
26,269.56,267,102353,274.21,266.4059,269.6164,1678,2018-10-11 04:00:00
27,270.35,265.79,148350,274.99,263.45,268.3828,2289,2018-10-12 04:00:00
28,265.75,264.69,143001,272.25,262.7,266.9563,2289,2018-10-15 04:00:00
29,263.18,271.35,180935,276.09,260.01,270.3745,2880,2018-10-16 04:00:00
30,270.63,270.11,133390,272.87,262.485,268.4641,1983,2018-10-17 04:00:00
31,269.95,261.7,151456,271.735,260.19,264.6653,2239,2018-10-18 04:00:00
32,261.32,265.94,132941,270.63,260.53,266.7003,2323,2018-10-19 04:00:00
33,266.67,280.23,234863,283.34,266,278.2145,3514,2018-10-22 04:00:00
34,277.19,280.42,230169,285.94,271.16,280.1649,4071,2018-10-23 04:00:00
35,280.32,279.3,190231,288.19,277.72,282.9461,3058,2018-10-24 04:00:00
36,280.42,270.13,247659,282.195,268,273.3064,3756,2018-10-25 04:00:00
37,282.1,278.41,289880,288,263.1081,276.2453,4400,2018-10-26 04:00:00
38,281.39,293.79,221137,294.95,281.39,290.7738,3861,2018-10-29 04:00:00
39,294.53,317.6,368297,318.25,292.97,311.0392,6074,2018-10-30 04:00:00
40,320.32,307.29,220589,324.925,306.45,312.2856,3793,2018-10-31 04:00:00
41,309.02,296.83,173478,311.405,292.9,299.4711,3037,2018-11-01 04:00:00
42,298.9,290.4,218035,306,285.35,292.3084,3306,2018-11-02 04:00:00
43,290.54,303.93,169798,305.595,290.45,301.6277,2831,2018-11-05 05:00:00
44,302.91,301.28,226338,309.655,297.83,302.1473,3160,2018-11-06 05:00:00
45,303.67,306.51,74309,307.32,296.07,303.7753,1777,2018-11-07 05:00:00
46,306.21,306.03,94849,310.3378,301,306.6078,2140,2018-11-08 05:00:00
47,308.25,315.37,162535,320,303.1,314.7094,3063,2018-11-09 05:00:00
48,314.6,308.28,105300,319.43,307.96,313.2294,2148,2018-11-12 05:00:00
49,308.86,308.75,128619,312,304.73,308.084,2468,2018-11-13 05:00:00
50,310.54,313.67,103115,316.37,307.65,313.2953,2025,2018-11-14 05:00:00
51,313.82,307.7,134160,315.11,302.84,306.7581,2468,2018-11-15 05:00:00
52,304.94,307.79,78241,309.9,303.68,307.6066,1363,2018-11-16 05:00:00
53,307.96,307.45,113569,311.03,303.12,307.2817,2095,2018-11-19 05:00:00
54,303.29,291.35,95531,307.39,291.04,298.1322,2426,2018-11-20 05:00:00
55,292.44,295.93,80928,298.41,290.75,295.2049,1831,2018-11-21 05:00:00
56,294.38,282.6,57975,295.91,280.25,284.6487,1141,2018-11-23 05:00:00
57,285.23,280.93,95336,285.23,276.6676,281.0194,2361,2018-11-26 05:00:00
58,281.3,286.4,86022,289.545,279.64,285.3017,1984,2018-11-27 05:00:00
59,285.17,288.71,72472,290.97,284.84,288.3462,1758,2018-11-28 05:00:00
60,289.42,282.29,103135,291.58,279.9963,283.4014,2234,2018-11-29 05:00:00
61,281,274.54,175964,283.72,271.65,275.2353,3558,2018-11-30 05:00:00
62,275,282.24,185229,282.27,267.51,276.636,2702,2018-12-03 05:00:00
63,279.96,273.36,125597,280,269.04,273.1262,2744,2018-12-04 05:00:00
64,270.21,273.19,143971,275,266.59,272.3107,2462,2018-12-06 05:00:00
65,273.02,265.9,100510,273.19,264.46,267.931,2206,2018-12-07 05:00:00
66,267.16,269.44,91960,270.88,262.32,268.1021,1361,2018-12-10 05:00:00
67,272,268.97,71062,275,266.01,269.301,1897,2018-12-11 05:00:00
68,271.4,273.92,110408,275.92,269,272.9621,2691,2018-12-12 05:00:00
69,268.16,269,192737,270.975,259.21,268.1138,2798,2018-12-13 05:00:00
70,267.18,269.03,110694,275.72,266.8,270.4994,2583,2018-12-14 05:00:00
71,267.88,264.72,109877,268.87,262.1,264.385,2573,2018-12-17 05:00:00
72,270.2,259.88,171371,270.2,257.47,263.6545,2641,2018-12-18 05:00:00
73,260.42,252.25,93242,261.2,249.3,254.6056,1751,2018-12-19 05:00:00
74,251.15,251.46,98143,254.22,247.19,251.0506,2492,2018-12-20 05:00:00
75,251.73,246.98,198122,259.99,246.72,248.9201,1669,2018-12-21 05:00:00
76,246,240.32,43791,246.095,240.2,242.9791,952,2018-12-24 05:00:00
77,242.17,249.26,110078,249.29,240.21,245.5939,1977,2018-12-26 05:00:00
78,246.33,246.54,121825,248.39,237.53,242.1253,2775,2018-12-27 05:00:00
79,247.87,238.82,99048,250.155,238.21,242.5278,2323,2018-12-28 05:00:00
80,240.1,240.84,172310,249.42,235.58,238.8543,3177,2018-12-31 05:00:00
81,237.56,235.03,198450,237.56,231.57,234.6224,3245,2019-01-02 05:00:00
82,232.94,234.74,117100,237.69,232.13,235.1413,3150,2019-01-03 05:00:00
83,232.02,245.88,175887,246.32,230.925,243.5767,2520,2019-01-04 05:00:00
84,245.02,244.51,180721,249.66,236.38,244.4906,3757,2019-01-07 05:00:00
85,245.68,239.14,163354,245.71,236.57,240.3601,4576,2019-01-08 05:00:00
