TAP,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
0,64.39,65.65,1329168,65.9,64.37,65.5402,13160,2018-09-05 04:00:00
1,65.86,66.41,1368930,66.63,65.38,66.0738,13248,2018-09-06 04:00:00
2,65.5,63.78,2551805,65.52,63.3,63.8727,20662,2018-09-07 04:00:00
3,63.88,64.73,1929190,65.16,63.68,64.7795,16562,2018-09-10 04:00:00
4,64.05,62.83,2263542,64.48,62.69,63.3214,14956,2018-09-11 04:00:00
5,62.73,63.08,1589027,63.42,62.6,63.0312,13763,2018-09-12 04:00:00
6,63.47,63.48,929949,63.75,62.9,63.3798,8652,2018-09-13 04:00:00
7,63.27,63.14,1520587,63.29,62.63,63.0763,11610,2018-09-14 04:00:00
8,63.3,64.04,1592412,64.26,63,63.9248,13938,2018-09-17 04:00:00
9,64.27,63.87,1292080,64.504,63.49,63.8689,9982,2018-09-18 04:00:00
10,63.55,64.28,1721998,65.24,63.55,64.6218,13128,2018-09-19 04:00:00
11,64.78,64.92,2184163,65.97,64.34,64.9518,14859,2018-09-20 04:00:00
12,65.02,64.78,2948357,65.23,64.35,64.8326,13345,2018-09-21 04:00:00
13,64.18,62.48,3092852,64.5,62.23,62.6821,15965,2018-09-24 04:00:00
14,62.78,61.84,2105679,62.78,61.32,61.8049,17206,2018-09-25 04:00:00
15,62.21,62.27,1513743,62.9,61.74,62.428,13221,2018-09-26 04:00:00
16,62.06,61.74,921305,62.48,61.43,61.9385,9797,2018-09-27 04:00:00
17,61.51,61.5,1593925,61.95,61.23,61.4956,11719,2018-09-28 04:00:00
18,61.58,61.21,1650417,61.75,61.1,61.302,12005,2018-10-01 04:00:00
19,61.11,62.06,1784459,62.13,61.11,61.7912,15594,2018-10-02 04:00:00
20,62.59,61.35,2281024,62.88,60.98,61.7688,14710,2018-10-03 04:00:00
21,61.11,61.37,2127225,61.76,60.79,61.3203,11380,2018-10-04 04:00:00
22,61.65,61.89,1779992,62.38,61.36,61.7999,13094,2018-10-05 04:00:00
23,62.08,62.75,1144677,63.09,61.9,62.7521,9723,2018-10-08 04:00:00
24,62.37,61.73,1225689,62.39,61.555,61.8006,8931,2018-10-09 04:00:00
25,61.54,61.31,1339566,62.55,61.29,61.7186,11389,2018-10-10 04:00:00
26,61.35,59.59,2400886,61.7198,59.52,60.1659,19700,2018-10-11 04:00:00
27,60,59.33,1195903,60.19,58.8,59.3484,12371,2018-10-12 04:00:00
28,59.43,59.67,1326098,60.19,59.4,59.7785,10215,2018-10-15 04:00:00
29,60,60.23,1226113,60.55,59.44,60.1953,9503,2018-10-16 04:00:00
30,59.62,59.57,1468886,60.32,58.81,59.5101,10926,2018-10-17 04:00:00
31,59.75,58.97,1086900,60.38,58.75,59.2418,9645,2018-10-18 04:00:00
32,59.2,59.9,800674,60.44,59.2,59.8652,6938,2018-10-19 04:00:00
33,60.08,58.89,1274371,60.34,58.86,59.0829,10482,2018-10-22 04:00:00
34,58.61,58.3,1836285,58.99,57.02,57.9724,17170,2018-10-23 04:00:00
35,58.56,59.34,2062440,60.29,58.56,59.6392,18190,2018-10-24 04:00:00
36,58.21,56.83,4105924,58.34,56.65,57.3018,27812,2018-10-25 04:00:00
37,56.68,55.7,3617262,56.88,55.52,56.0422,25232,2018-10-26 04:00:00
38,56.3,56.59,3302420,57.01,56.06,56.5897,24415,2018-10-29 04:00:00
39,56.81,58.21,4770936,58.44,56.5,57.9858,34985,2018-10-30 04:00:00
40,62.1,64,6224893,64.91,61.32,63.3778,44582,2018-10-31 04:00:00
41,64.75,65.99,3939680,67.62,64.25,66.2522,33472,2018-11-01 04:00:00
42,66.09,63.12,2622121,66.42,62.39,63.3064,22890,2018-11-02 04:00:00
43,63.26,63.09,2125509,63.98,62.515,63.0147,17206,2018-11-05 05:00:00
44,62.41,62.65,2270430,63.45,61.17,62.393,19565,2018-11-06 05:00:00
45,63.13,63.62,2008520,63.98,62.255,63.5457,16491,2018-11-07 05:00:00
46,63.48,63.97,1848112,64.705,63.31,64.0731,13136,2018-11-08 05:00:00
47,64.05,64.5,2148231,64.76,63.61,64.2887,15456,2018-11-09 05:00:00
48,64.05,65.5,2376984,66.06,63.66,65.3575,20118,2018-11-12 05:00:00
49,65.72,64.49,1528097,66.11,64.17,64.6861,14776,2018-11-13 05:00:00
50,64.89,64.75,1196559,64.98,63.96,64.5737,11152,2018-11-14 05:00:00
51,64.73,64.69,1287156,64.83,63.93,64.4717,12303,2018-11-15 05:00:00
52,64.55,64.74,1626997,64.93,64.07,64.6131,14542,2018-11-16 05:00:00
53,64.94,66.39,2167860,66.71,64.9,65.9151,16629,2018-11-19 05:00:00
54,65.7,64.88,1976000,66.98,64.57,65.2314,15753,2018-11-20 05:00:00
55,64.83,64.13,1487688,65.29,63.79,64.308,14523,2018-11-21 05:00:00
