TSLA,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
0,111.01,108.49,32872352,111.42,108.1,109.0066,234347,2018-09-05 04:00:00
1,108.25,108.74,23477624,108.99,107.51,108.3969,172963,2018-09-06 04:00:00
2,108.23,108.21,22498646,108.7248,107.23,108.2165,162158,2018-09-07 04:00:00
3,108.84,109.38,20727906,109.64,108.36,109.1765,127931,2018-09-10 04:00:00
4,108.9,111.24,24301774,111.59,108.89,110.8503,162661,2018-09-11 04:00:00
5,111.43,111.71,18888064,111.85,110.51,111.364,146109,2018-09-12 04:00:00
6,112.12,112.91,26055620,113.725,112.12,112.8916,161907,2018-09-13 04:00:00
7,113.36,113.37,19122349,113.73,112.44,113.2611,142651,2018-09-14 04:00:00
8,113.69,112.14,20736516,113.7,111.86,112.5498,142715,2018-09-17 04:00:00
9,112.19,113.21,22170934,113.695,111.72,113.2633,153296,2018-09-18 04:00:00
10,113.05,111.7,21728429,113.32,111.035,111.7803,162257,2018-09-19 04:00:00
11,112.28,113.57,23714512,113.8,111.93,113.4,170212,2018-09-20 04:00:00
12,114,114.26,71229698,115.29,113.51,114.1735,205028,2018-09-21 04:00:00
13,113.03,114.67,27334460,114.9,112.2175,114.1959,159757,2018-09-24 04:00:00
14,114.8,114.45,22668014,115.1,113.75,114.3534,125939,2018-09-25 04:00:00
15,114.47,113.98,19352025,115.055,113.74,114.3985,136534,2018-09-26 04:00:00
16,114.78,114.41,19091299,114.91,114.2,114.5605,115753,2018-09-27 04:00:00
17,114.19,114.37,21647811,114.57,113.68,114.2546,137439,2018-09-28 04:00:00
18,114.75,115.61,18883079,115.68,114.73,115.4232,134876,2018-10-01 04:00:00
19,115.3,115.15,20787239,115.84,114.44,115.2686,141359,2018-10-02 04:00:00
20,115.42,115.17,16648018,116.18,114.93,115.5153,130287,2018-10-03 04:00:00
21,114.61,112.79,34821717,114.7588,111.63,112.8634,266275,2018-10-04 04:00:00
22,112.63,112.13,29068859,113.17,110.64,112.0292,232117,2018-10-05 04:00:00
23,111.66,110.85,29640588,112.03,109.34,110.7949,232758,2018-10-08 04:00:00
24,111.14,112.26,26198594,113.08,110.8,112.2135,208549,2018-10-09 04:00:00
25,111.24,106.16,61376315,111.5,105.79,108.1315,449835,2018-10-10 04:00:00
26,105.35,105.91,63904282,108.93,104.2,106.8336,580831,2018-10-11 04:00:00
27,109.01,109.57,47742109,111.24,107.12,108.7379,386353,2018-10-12 04:00:00
28,108.91,107.6,32068103,109.48,106.9468,108.1725,240514,2018-10-15 04:00:00
29,109.54,111,31610164,111.41,108.95,110.4576,226292,2018-10-16 04:00:00
30,111.68,110.71,26548243,111.81,109.5482,110.5309,201337,2018-10-17 04:00:00
31,110.1,108.5,32506192,110.53,107.83,108.8337,246740,2018-10-18 04:00:00
32,108.93,108.66,32785475,110.86,108.21,109.2686,234723,2018-10-19 04:00:00
33,109.32,109.63,26545607,110.54,108.24,109.5877,198605,2018-10-22 04:00:00
34,107.77,108.1,43770429,108.97,105.11,107.0477,362185,2018-10-23 04:00:00
35,108.41,102.32,63897759,108.49,101.5901,104.8057,495734,2018-10-24 04:00:00
36,106.55,108.3,61646819,109.27,106.15,107.9947,438344,2018-10-25 04:00:00
37,105.69,106.96,55523104,108.75,104.76,106.6866,418273,2018-10-26 04:00:00
38,108.105,103.85,55162001,108.7,101.63,105.0361,406530,2018-10-29 04:00:00
39,103.66,103.73,65350878,104.38,100.11,102.5724,468916,2018-10-30 04:00:00
40,105.435,106.81,51062383,108.14,105.39,107.1448,344703,2018-10-31 04:00:00
41,107.05,105.92,33384201,107.32,105.53,106.1695,248401,2018-11-01 04:00:00
42,106.48,106.16,37680194,107.32,104.975,106.0177,279521,2018-11-02 04:00:00
43,106.37,107.51,27922144,107.74,105.9,106.8289,198115,2018-11-05 05:00:00
44,107.38,107.72,24340248,108.84,106.28,107.5818,174886,2018-11-06 05:00:00
45,109.44,111.96,37901704,112.24,109.4,111.4774,261304,2018-11-07 05:00:00
46,111.8,111.75,25644105,112.21,110.91,111.4801,187684,2018-11-08 05:00:00
47,110.85,109.57,32039223,111.45,108.76,109.6478,214769,2018-11-09 05:00:00
