WBEV,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
0,13,12.27,1312789,14.2,11.65,12.6493,8948,2021-11-11 05:00:00
1,12.09,10.45,437711,12.1,9.6443,10.4591,2795,2021-11-12 05:00:00
2,10.9,10.72,238805,10.9499,10.15,10.5579,1724,2021-11-15 05:00:00
3,10.93,10.8,73090,10.93,10.51,10.6743,562,2021-11-16 05:00:00
4,10.95,10.84,71752,10.95,10.3,10.5064,661,2021-11-17 05:00:00
5,10.88,10.73,95259,11.72,10.26,10.8306,581,2021-11-18 05:00:00
6,10.63,10.5,105963,10.63,9.825,10.1874,839,2021-11-19 05:00:00
7,10.51,10.9,66819,10.97,10.23,10.654,471,2021-11-22 05:00:00
8,10.76,10.64,63189,10.95,10.2,10.6446,712,2021-11-23 05:00:00
9,10.8,10.56,46729,10.8,10.09,10.4492,501,2021-11-24 05:00:00
10,10.45,10.27,31523,10.55,9.915,10.1908,244,2021-11-26 05:00:00
11,11.05,10.26,36023,11.05,10,10.3026,704,2021-11-29 05:00:00
12,10.49,9.66,82001,10.49,9.4,9.7611,961,2021-11-30 05:00:00
13,9,7.87,215383,9.69,7.76,8.3107,1589,2021-12-01 05:00:00
14,7.78,7.94,38194,8.1199,7.7701,7.9251,561,2021-12-02 05:00:00
15,7.98,8.51,103468,8.6499,7.16,7.7602,889,2021-12-03 05:00:00
16,8.52,8.74,43827,9.25,8.02,8.6093,849,2021-12-06 05:00:00
17,8.9988,8.47,44336,9.25,8.2599,8.6602,787,2021-12-07 05:00:00
18,9,8.1,38914,9,8.0307,8.3243,848,2021-12-08 05:00:00
19,8.1,7.65,59805,8.1,7.25,7.4873,562,2021-12-09 05:00:00
20,7.53,6.89,86105,7.69,6.03,6.8047,686,2021-12-10 05:00:00
21,7.04,6.2,54904,7.2346,6.2,6.456,360,2021-12-13 05:00:00
22,6.76,5.14,45248,6.76,5.14,5.9006,431,2021-12-14 05:00:00
23,5.65,5.92,31663,6.21,5.52,5.9205,434,2021-12-15 05:00:00
24,6.02,5.45,45963,6.0383,5.45,5.7429,334,2021-12-16 05:00:00
25,5.58,4.81,61994,5.72,4.81,5.1092,309,2021-12-17 05:00:00
26,4.76,4.52,86228,4.9926,4.1019,4.5422,682,2021-12-20 05:00:00
27,5.02,5.29,112806,5.52,5.02,5.3288,896,2021-12-21 05:00:00
28,5.38,5.5,49456,5.73,5.27,5.5108,393,2021-12-22 05:00:00
29,5.58,5.5,11765,5.9752,5.5,5.6145,92,2021-12-23 05:00:00
30,6.01,5.5,16553,6.39,5.5,5.7399,181,2021-12-27 05:00:00
31,5.4322,5.575,132238,5.65,5.2,5.4427,801,2021-12-28 05:00:00
32,5.63,5.5,84187,5.63,5.1032,5.3746,739,2021-12-29 05:00:00
