WTER,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
0,77.25,77.7,47348.4,82.5,72,78.0465,2669,2018-12-10 05:00:00
1,82.5,73.5,27600.1333,83.4375,72,77.1915,1736,2018-12-11 05:00:00
2,76.8,72.9,17227,77.25,70.2,72.3525,1193,2018-12-12 05:00:00
3,77.1,64.2,24631.5333,77.25,63.15,70.4655,1513,2018-12-13 05:00:00
4,61.5,67.95,12116.5333,68.775,58.65,63.5145,810,2018-12-14 05:00:00
5,68.85,67.05,8980.2667,71.043,63.9555,67.3365,566,2018-12-17 05:00:00
6,67.5,61.2,11952.4,69.615,60,63.5805,829,2018-12-18 05:00:00
7,63.45,59.55,11940.3333,64.65,58.65,60.408,781,2018-12-19 05:00:00
8,59.55,54.6,15646.3333,59.55,48.75,54.624,937,2018-12-20 05:00:00
9,55.65,47.1,25003.6,55.65,43.2,47.691,1225,2018-12-21 05:00:00
10,45,43.35,5784.3333,46.5,41.85,43.851,367,2018-12-24 05:00:00
11,46.35,47.4,12240.3333,52.5,44.1,48.657,620,2018-12-26 05:00:00
12,48,48.45,14418.7333,55.95,45.45,50.6625,683,2018-12-27 05:00:00
13,48.9,48.6,12013.1333,52.35,48,49.296,673,2018-12-28 05:00:00
14,50.7,46.35,8439.8,50.7,45,47.7045,444,2018-12-31 05:00:00
15,45.45,44.25,12954.5333,47.4,42,44.064,706,2019-01-02 05:00:00
16,44.7,40.2,23002.7333,44.7,39.75,41.265,898,2019-01-03 05:00:00
17,40.5,43.32,25370.4667,45.45,36.75,40.617,1115,2019-01-04 05:00:00
18,43.5,41.25,14936.6667,43.941,39.75,41.7855,810,2019-01-07 05:00:00
19,42.75,40.8,22267.3333,42.75,37.8,39.642,935,2019-01-08 05:00:00
20,42,39.6,21283.4667,42,37.2,38.391,930,2019-01-09 05:00:00
21,40.35,39.75,10522.8,40.35,37.8,39.105,570,2019-01-10 05:00:00
22,39.75,46.9425,56706.6,47.4,38.7,43.9485,2652,2019-01-11 05:00:00
23,55.2,56.25,157767.7333,57,51,54.7455,7892,2019-01-14 05:00:00
24,62.25,54.75,149126.8,64.5,49.5,57.8025,7172,2019-01-15 05:00:00
25,53.4,50.25,49641.5333,53.7,48,50.376,2160,2019-01-16 05:00:00
26,52.5,55.65,72197,57.7095,51.09,54.6225,3344,2019-01-17 05:00:00
27,56.7,54.9,53714.4667,56.94,52.65,54.774,2446,2019-01-18 05:00:00
28,54.9,56.1,55900.0667,56.25,51.15,54.5655,3012,2019-01-22 05:00:00
29,57.15,53.7,68679.5333,57.6,51.75,53.8995,2560,2019-01-23 05:00:00
30,54.15,54.6,25500.0667,54.6,50.4,52.2585,1333,2019-01-24 05:00:00
31,55.5,54,22176.9333,55.5,52.05,53.601,1029,2019-01-25 05:00:00
32,54,54.75,26040.2667,54.75,52.35,53.604,1118,2019-01-28 05:00:00
33,55.2,54,20960.0667,55.2,52.35,53.3955,873,2019-01-29 05:00:00
