AMPUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
0,0.05314,0.05444,1521541875.31468,1.0295,0.05073,0.0529,213491,2021-09-01
1,0.05443,0.05813,954460981.211354,1.0153,0.05376,0.0578,242150,2021-09-02
2,0.05813,0.05652,559473020.835327,1.0176,0.05521,0.0569,203125,2021-09-03
3,0.05652,0.05508,482260017.503536,0.99,0.055,0.056,155315,2021-09-04
4,0.05511,0.06167,547864370.592077,0.9916,0.055,0.0574,167338,2021-09-05
5,0.06164,0.05929,598013455.207832,0.94673,0.0585,0.0599,187429,2021-09-06
6,0.05924,0.05249,661930502.903026,0.9722,0.05,0.0545,189193,2021-09-07
7,0.05246,0.05594,612601189.145739,0.95592,0.0519,0.0548,172697,2021-09-08
8,0.056,0.05374,540692109.654395,0.99804,0.05225,0.0541,159948,2021-09-09
9,0.05375,0.0509,438954265.066599,0.935,0.05,0.0527,127793,2021-09-10
10,0.05094,0.05119,333207534.170621,0.95363,0.05057,0.0518,81142,2021-09-11
11,0.0512,0.05118,285935493.227909,0.96208,0.05039,0.0514,69295,2021-09-12
12,0.05118,0.05013,295402577.732661,0.97053,0.04959,0.0505,64787,2021-09-13
13,0.05016,0.05014,220156774.300186,1.0322,0.05,0.0504,53520,2021-09-14
14,0.05016,0.05155,348561914.337148,1.028,0.05,0.0519,70427,2021-09-15
15,0.05157,0.04942,411390485.646245,1.0072,0.0485,0.0509,92276,2021-09-16
16,0.04941,0.04787,411837039.856338,0.93098,0.04667,0.0486,91022,2021-09-17
17,0.04787,0.93028,244216453.449913,0.95309,0.0475,0.0493,56311,2021-09-18
18,0.0494,0.04792,175066882.805338,0.96056,0.04756,0.0494,41201,2021-09-19
19,0.04796,0.0422,481481463.904075,0.93311,0.04,0.0451,93159,2021-09-20
20,0.04227,0.89137,347791544.554193,0.91301,0.04025,0.0448,72500,2021-09-21
21,0.04137,0.04723,296736362.220241,0.95573,0.04082,0.0456,65195,2021-09-22
22,0.0472,0.04848,363939157.662695,0.958,0.04581,0.0492,74750,2021-09-23
23,0.95173,0.04576,241068227.047349,0.95613,0.04312,0.0467,61278,2021-09-24
24,0.04576,0.04628,172859648.834729,0.9444,0.0445,0.047,47005,2021-09-25
25,0.04627,0.04628,146160676.935295,0.95101,0.045,0.0467,41532,2021-09-26
26,0.04624,0.04426,193363188.649589,0.96387,0.04384,0.0459,44356,2021-09-27
27,0.04426,0.0429,264726448.012944,0.94665,0.04213,0.0439,49135,2021-09-28
28,0.04292,0.04339,119255594.189135,0.95636,0.04242,0.0442,36192,2021-09-29
29,0.0434,0.04858,390710490.308509,0.97068,0.0434,0.0475,75465,2021-09-30
30,0.04862,0.0503,350922345.392528,1.0781,0.0472,0.051,81615,2021-10-01
31,0.0503,0.0497,206609086.222072,1.21,0.049,0.0508,53131,2021-10-02
32,0.0497,0.04935,182962822.71163,1.2178,0.04816,0.0507,45382,2021-10-03
33,0.04941,0.05322,456287893.507174,1.2037,0.0492,0.0518,97937,2021-10-04
34,0.05328,0.0528,812466929.428878,1.0242,0.0508,0.0546,150394,2021-10-05
35,0.0528,0.04892,465305103.128732,1.048,0.04833,0.0506,122350,2021-10-06
36,0.04887,0.04771,478508382.05087,1.1255,0.04646,0.0485,122665,2021-10-07
37,0.04771,0.0474,285488148.363942,1.1142,0.04507,0.0473,75305,2021-10-08
38,0.04741,0.04915,427938219.5721,1.0991,0.04654,0.0492,86804,2021-10-09
39,0.04915,0.04719,259756014.914456,1.1719,0.04703,0.0488,62915,2021-10-10
40,0.04713,0.04818,261922157.913655,1.1388,0.04556,0.0474,70836,2021-10-11
41,0.04818,0.04556,297964027.611987,0.99412,0.04425,0.0459,74497,2021-10-12
42,0.04557,0.04585,237053483.090745,1.0747,0.04486,0.0458,60589,2021-10-13
43,0.04586,0.04582,236549453.271523,1.1159,0.04522,0.0463,67121,2021-10-14
44,0.04584,0.05176,508786898.786611,1.1488,0.04475,0.0473,103487,2021-10-15
45,0.05176,0.04976,830648867.581683,1.143,0.0487,0.0513,153860,2021-10-16
46,0.04975,0.04845,273531672.657972,1.1807,0.04738,0.0489,62624,2021-10-17
47,0.04845,0.0475,263929783.286539,1.1278,0.04727,0.0485,66828,2021-10-18
48,0.0473,0.04723,211621122.749856,1.23,0.04681,0.0478,57920,2021-10-19
49,0.04722,0.04911,232425294.092282,1.4413,0.04675,0.0482,70975,2021-10-20
50,0.04904,0.04813,258976571.160448,1.479,0.0477,0.0494,78853,2021-10-21
51,0.04813,0.04866,204194925.002178,1.6833,0.04751,0.0489,61639,2021-10-22
52,0.04866,0.04864,243065888.857177,1.8533,0.0467,0.0492,72353,2021-10-23
53,0.04864,0.0473,305606350.620527,1.9493,0.04664,0.0481,92881,2021-10-24
54,0.04734,0.04738,238140581.506754,2.0821,0.04667,0.0481,85093,2021-10-25
55,0.04738,0.0463,404280970.791106,1.9521,0.046,0.0471,115140,2021-10-26
56,0.04631,0.04161,619161404.83336,1.6282,0.041,0.0438,180067,2021-10-27
57,0.04158,0.04491,635638525.837442,1.422,0.04132,0.0441,186200,2021-10-28
58,0.04488,0.04605,358065262.418702,1.5654,0.04454,0.0462,122014,2021-10-29
59,0.04603,0.04518,391209061.74875,2.0366,0.044,0.0462,117377,2021-10-30
60,0.04517,0.04846,2407411991.6314,1.999,0.04468,0.0529,373766,2021-10-31
61,0.0485,0.04909,746651151.703638,1.9217,0.04731,0.05,171063,2021-11-01
62,0.04909,0.05395,639010323.546481,1.8776,0.0485,0.0515,156127,2021-11-02
63,0.05395,0.07279,3728399022.75469,1.8608,0.05118,0.0654,605412,2021-11-03
64,0.07285,0.06366,3664639664.66932,1.7652,0.058,0.0697,660963,2021-11-04
65,0.06366,0.05924,1365696276.31973,1.6055,0.0575,0.0636,323728,2021-11-05
