BTCUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
0,47110.33,48823,23487.8897399548,49139,46532.42,47800.9329,493265,2021-09-01
1,48834.27,49279.37,24777.1216519435,50392.19,48620.73,49694.1232,486855,2021-09-02
2,49279.38,50018.6,27767.0266458601,51142,48332,50032.5483,522387,2021-09-03
3,50025,49942.98,12437.8458245378,50570.94,49363.6,50008.7856,343861,2021-09-04
4,49944.89,51789.17,16077.2242940599,51907.08,49470,50746.6205,346040,2021-09-05
5,51768,52698.81,19451.6070388025,52810,51020.08,51843.12,409379,2021-09-06
6,52672,46849,61318.8900154257,52956.47,42000,48274.5949,951222,2021-09-07
7,46854,46060.36,33974.594591931,47386.72,44423.49,46129.8942,703422,2021-09-08
8,46059.94,46400,22370.8378134576,47419.95,45498.7,46471.6043,498888,2021-09-09
9,46394.38,44851.45,25782.3665597892,47044,44125,45677.2003,563336,2021-09-10
10,44851,45171.83,10899.0769271626,45993.32,44730.29,45365.424,337109,2021-09-11
11,45173.66,46024.23,12105.7160995847,46491.63,44752.96,45639.4187,338552,2021-09-12
12,46039,44947.72,29763.4360509177,46900,43374.9,44790.8384,581241,2021-09-13
13,44958,47127.22,19924.8085565018,47274.92,44679.92,46251.1081,443883,2021-09-14
14,47127.81,48148.12,19592.4278589743,48481,46702.26,47680.4736,444283,2021-09-15
15,48137.76809977,47753.16,19605.2269702878,48530,47020.82,47811.1226,459222,2021-09-16
16,47753.15,47296,15147.07814919,48185.9,46712.14,47479.1153,380736,2021-09-17
17,47296.15646179,48314.56,12267.4851989767,48834,47050,48219.2945,323515,2021-09-18
18,48309.04,47255.92,11582.8341793478,48389.52,46837,47614.753,299289,2021-09-19
19,47257.86,43012.97,50329.5764628496,47358.92,42453.97,44239.9778,827663,2021-09-20
20,43025,40719.6,55458.2350702723,43643.34,39573.21,41901.5994,889903,2021-09-21
21,40736.81,43589.53,34440.7929127803,44035.44,40570.42,42642.8596,570919,2021-09-22
22,43575.19,44897.59,25228.2081762838,45013.17,43096.73,44133.8705,428717,2021-09-23
23,44896.55,42848.44,42976.1415852284,45200,40683.29,42644.8686,695957,2021-09-24
24,42861,42705.51,12281.5482573571,43021.7,41675,42524.0494,350345,2021-09-25
25,42704.71,43177.91,19407.574704513,43963,40800,42653.5235,401981,2021-09-26
26,43172.16,42171.76,18273.7074810827,44377.7,42111,43428.4591,382041,2021-09-27
27,42166.31,41026.07,21133.783349505,42780,40875.6,41786.1855,417306,2021-09-28
28,41046,41522.16,18205.2194815085,42638.99,40750,41740.3212,367387,2021-09-29
29,41519.11,43824.43,23582.0478973092,44122,41409.67,43259.7437,439487,2021-09-30
30,43828.89,48165.76,38375.5045896336,48500,43287.44,46675.6575,599784,2021-10-01
31,48185.61,47657.69,12310.0001580053,48361.83,47438,47873.5081,347804,2021-10-02
32,47649,48233.99,14411.1010978462,49300,47119.87,48184.4544,345612,2021-10-03
33,48233.99,49245.54,25695.1959305063,49530.53,46895.8,48396.9758,522349,2021-10-04
34,49244.13,51493.99,30764.5023168669,51922,49057.18,50390.5153,574575,2021-10-05
35,51509.27,55339.48,48213.8596876244,55800,50366.4,53471.9416,766281,2021-10-06
36,55346.95,53797.82,26239.7101603901,55360.32,53289.57,54326.0633,590778,2021-10-07
37,53816.16,53963.82,22748.6054442788,56168,53623.02,54678.4522,531654,2021-10-08
38,53965.18,54962.29,11864.830303786,55515.1,53674.69,54790.9983,368360,2021-10-09
39,54963.29,54690.53,19238.3330695511,56561,51000,55253.5546,440598,2021-10-10
40,54679,57487.44,25689.3115849125,57855.79,54411.54,56771.4642,541480,2021-10-11
41,57470,56005.1,28320.8577966267,57701,53837.51997218,56277.2072,579022,2021-10-12
42,56005.1,57367.32,24127.0628578888,57777,54231,56004.3534,511723,2021-10-13
43,57367.32,57359.51,21266.2721973223,58580.4,56825,57639.286,528558,2021-10-14
44,57359.51,61695.4,48367.16933471,62944.94,56867.11,60261.7594,995011,2021-10-15
45,61690.32,60877.42,17671.332396547,62400,60100.27,61219.2536,559958,2021-10-16
46,60867.05,61527.11,17700.336611321,61744.17,58900.2,60607.2336,546432,2021-10-17
47,61530.07,62042.41,37519.3266447088,62682,59013,61676.1735,722286,2021-10-18
48,62042.4,64303.14,33346.1259476383,64500,61320,62997.7652,716591,2021-10-19
49,64263.93176072,66026.54,35080.369835135,67016.5,63525,65673.5891,778813,2021-10-20
50,66021.26,62204.02,47245.6912026634,66664.1,54100,64190.281,980553,2021-10-21
51,62204.01,60687.64,29702.84459524,63757.9,59953.74,61837.1206,744351,2021-10-22
52,60682.88,61296.9,11751.840374548,61764,59610.4,61002.0114,458471,2021-10-23
53,61300.02,60854.48,14098.831748677,61497.33,59510,60482.1211,548461,2021-10-24
54,60847.91,63083.54,18198.0236043544,63733.93,60632,62739.3174,574934,2021-10-25
55,63081.96,60337.62,21471.8162585159,63332.60744575,59766,61814.3968,649757,2021-10-26
56,60285,58455.47,33433.3748337588,61489,57950,59282.5754,1015476,2021-10-27
57,58471.06,60591.65,35711.7728743671,62524,56425,60288.4512,1001327,2021-10-28
58,60579,62276.72,26034.6267101615,62980,60154.53,61582.2237,742959,2021-10-29
59,62264,61892.41,11779.4528655954,62379.2,60660.02,61568.8954,533583,2021-10-30
60,61896.76,61343.69,13856.3019053205,62438.85,60000,61051.8647,528331,2021-10-31
61,61346.17,60949.54,21697.8653318365,62500,59449.1,61242.3616,667831,2021-11-01
62,60956.4,63266.51,24980.664943162,64327,60661,62852.9536,720387,2021-11-02
63,63249,62935.41,22440.5646285385,63568.36,60018.46,62565.4239,690678,2021-11-03
64,62893,61444.5,17366.6199804984,63136.82,60644.2,61687.4504,628136,2021-11-04
65,61410,61006.15,15856.0202511465,62666.52,60735,61411.3876,569014,2021-11-05
66,61006.14,61539.31,11905.1378893094,61609.5,60100,60862.7175,459666,2021-11-06
67,61542.43,63309.13,11500.4533018662,63327.96,61388,62230.7684,415150,2021-11-07
68,63300,67551.72,33221.9150125851,67803.55,63277,65749.7662,807217,2021-11-08
69,67554.13,66944.67,26727.2084018977,68568.85,66250,67477.5885,705116,2021-11-09
70,66928.42,64912.2,41038.7745150238,69000,62700.1,66475.7362,880210,2021-11-10
71,64919.18,64807.74,16314.3224424892,65625.44,64079,64900.3243,572218,2021-11-11
72,64807.73,64147.9,24450.4622014924,65497.53,62255,63847.5172,662828,2021-11-12
73,64144.42,64400.01,10058.0126185133,64990,63394.17,64152.1856,404463,2021-11-13
74,64403.43,65505.02,11003.5025244117,65525,63564,64514.6191,414705,2021-11-14
75,65509.87,63561,19883.1506327021,66387.4,63348.91,64842.3938,587685,2021-11-15
76,63621.05,60107.98,48151.0060462295,63628,58563,60810.3546,1121509,2021-11-16
77,60069,60351.51,34469.1107430013,60888.5,58368,59832.3597,780371,2021-11-17
78,60354.56777918,56898,49035.6757297199,60978.39,56514.13,58544.6318,1035063,2021-11-18
79,56898.46,58122.16,29252.4985190285,58412.12,55625,57210.6204,784408,2021-11-19
80,58122.15,59760.76,13634.829089579,59900,57423.35,58706.5376,533534,2021-11-20
81,59760.76,58691,11372.6727465028,60090.55,58509.69,59238.3717,469097,2021-11-21
82,58681.76,56280.81,31582.3907656074,59526.51,55628.57,57274.4258,812825,2021-11-22
83,56280.81,57566.34,29113.9137149617,57897.54,55128.6,56861.6276,779184,2021-11-23
84,57562.65,57162.66,21718.070125993,57762,55875.01,56705.064,602713,2021-11-24
85,57157.92,59015.78236183,18791.717772436,59445.99,57037.04,58332.4727,544374,2021-11-25
86,58994.72,53760.79,49773.8178972641,59238,53524.03,55084.2055,1016606,2021-11-26
87,53757.67,54759.05,15312.5160982359,55382,53642.58,54609.6121,525836,2021-11-27
88,54751.95,57317.17,16693.5857475651,57490,53300,55097.1383,533445,2021-11-28
89,57329,57838.06,23570.351505463,58931.07,56730,57715.2686,571493,2021-11-29
90,57843.33,56987.97,31957.5252074323,59250,55899,57482.564,775041,2021-11-30
91,56998.35,57226.5,28515.6475764909,59118.84,56465.75,57430.0028,786188,2021-12-01
92,57226.51,56521.46,23361.3593318827,57423.69,55839.85,56656.9163,638797,2021-12-02
93,56521.45,53638.04,37630.9885039066,57688.9,51333,54787.2353,783199,2021-12-03
94,53685.47,49249,80539.1102251746,53893.4,40150.1,48270.8085,1561843,2021-12-04
95,49240.81,49484.22,35410.5770959102,49783,47827,49073.956,826685,2021-12-05
96,49484.21,50529.56,39853.0185416859,51105,47111,48888.1183,849462,2021-12-06
97,50529.56,50650.1,22445.896288456,51995,50062.13,51056.8686,584342,2021-12-07
98,50624.46,50519.68,21770.4042931026,51275,48579.3,50145.7114,526786,2021-12-08
99,50520.94,47568.43,26330.6028418892,50844.86,47298.4,48777.5209,661906,2021-12-09
100,47568.41,47170.94,29888.6581422843,50212,46886,48199.5268,718129,2021-12-10
101,47170.94,49426,19726.7211518041,49539.4,46786.78,48418.8373,529317,2021-12-11
102,49420.51,50089.64,17538.2513893797,50828.13,48665.43,49793.1485,463745,2021-12-12
