DOGEUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
0,0.2784,0.29435,418755002.438689,0.295,0.273,0.2848,151812,2021-09-01
1,0.2944,0.2947,649614782.051931,0.31,0.29175,0.3016,228218,2021-09-02
2,0.29444,0.2963,485293531.80551,0.305,0.287,0.2962,181215,2021-09-03
3,0.2963,0.2994,415987004.333193,0.3117553,0.2911806,0.3005,168919,2021-09-04
4,0.2995,0.3147,433822306.783044,0.3159,0.29591,0.3066,158461,2021-09-05
5,0.3148,0.3091,405897809.689334,0.3199,0.3000973,0.3099,167976,2021-09-06
6,0.3092,0.25505,1360793659.68649,0.3115,0.21,0.2652,377515,2021-09-07
7,0.2551,0.2567,714474184.182018,0.266103,0.2334,0.2512,260913,2021-09-08
8,0.2566,0.2527,343140220.221842,0.2597,0.2486,0.2543,139567,2021-09-09
9,0.2527,0.23994,375083956.881339,0.26224,0.23542,0.2462,150585,2021-09-10
10,0.2398,0.2411,198171694.437638,0.24808,0.2377,0.243,88365,2021-09-11
11,0.2410464,0.2503427,240729142.188371,0.2554,0.2388,0.247,95030,2021-09-12
12,0.2502,0.236,403297680.123184,0.25223,0.2281,0.2372,153192,2021-09-13
13,0.2359,0.2407,168385344.115269,0.2418,0.23373,0.2379,70221,2021-09-14
14,0.2406,0.2477,137616518.872254,0.2484,0.23893,0.2435,65649,2021-09-15
15,0.2478,0.242,218626567.951729,0.248,0.2332,0.2415,95967,2021-09-16
16,0.2419,0.2401,494865506.323881,0.26,0.2375,0.2468,159396,2021-09-17
17,0.2398867,0.2414,205139027.828557,0.2476,0.23802,0.2427,67145,2021-09-18
18,0.2414,0.2329,149013750.200792,0.2427363,0.23068,0.2368,59092,2021-09-19
19,0.2329,0.20872,591180532.606761,0.2335,0.1989,0.214,184843,2021-09-20
20,0.2087,0.2009,467771542.007192,0.2185,0.19757,0.2067,148157,2021-09-21
21,0.201,0.2245,519326829.087259,0.2306,0.1999,0.2158,152638,2021-09-22
22,0.2245,0.2246,259400960.529903,0.2274,0.21759,0.2228,92555,2021-09-23
23,0.2247,0.2092,454329246.368818,0.2292,0.1967,0.2106,134339,2021-09-24
24,0.2094,0.2084,232267555.822579,0.21306,0.20444,0.209,75635,2021-09-25
25,0.2084,0.2051,251426611.739163,0.20911,0.19424,0.2037,78034,2021-09-26
26,0.20506,0.19983,174450685.520578,0.20955,0.19966,0.2045,58168,2021-09-27
27,0.19975,0.1968,195420241.184875,0.20279,0.1960852,0.1998,61866,2021-09-28
28,0.1965,0.1987,205587107.728834,0.20437,0.19461,0.1993,61299,2021-09-29
29,0.1987,0.20423,167799115.952663,0.20594,0.1976,0.202,55115,2021-09-30
30,0.2043,0.2228,308831728.625007,0.22573,0.20173,0.215,90155,2021-10-01
31,0.2228,0.2187,242035458.534318,0.2253,0.21507,0.2209,77000,2021-10-02
32,0.2187,0.2218,226972692.770097,0.22674,0.2156775,0.2209,69708,2021-10-03
33,0.22183,0.2415,959412718.745382,0.2491,0.21259,0.2317,208981,2021-10-04
34,0.2414,0.2519,979959488.867581,0.2687,0.23265,0.2504,263153,2021-10-05
35,0.2519,0.2542,941755438.359143,0.2718,0.24228,0.2541,279688,2021-10-06
36,0.25416,0.2428,698684020.781145,0.25697,0.2356729,0.2455,216314,2021-10-07
37,0.2429,0.2441,400106578.20204,0.25513,0.24138,0.2466,131472,2021-10-08
38,0.2441,0.24673,267993615.238341,0.25278,0.24058,0.2471,94494,2021-10-09
39,0.2466,0.2288,260821191.769268,0.24871,0.2262,0.239,93412,2021-10-10
40,0.2288,0.2312,290886711.22891,0.2394,0.2249,0.2324,108918,2021-10-11
41,0.2313,0.2262,284633153.965986,0.2318,0.216,0.2232,106228,2021-10-12
42,0.22621,0.2328,261265494.345898,0.2342,0.2206,0.2269,86337,2021-10-13
43,0.2327,0.2327,287086395.370406,0.2404,0.2312,0.2358,92816,2021-10-14
44,0.2326,0.2342,414179873.64133,0.24363,0.22401,0.2329,127932,2021-10-15
45,0.2342,0.2373,288380321.639327,0.24586,0.2337,0.2391,94454,2021-10-16
46,0.2373,0.2377,294698682.021485,0.242,0.22537,0.2359,83702,2021-10-17
47,0.2376,0.2473,872850804.941002,0.2728,0.2369,0.255,215904,2021-10-18
48,0.2473,0.2454,336930385.946172,0.25507,0.24,0.2461,96134,2021-10-19
49,0.2454,0.25476,439969649.698966,0.262,0.242,0.252,118480,2021-10-20
50,0.2546,0.2424,434033845.588933,0.2585,0.15,0.2481,118989,2021-10-21
51,0.2423,0.2445,443046716.609663,0.2534,0.2349,0.245,124209,2021-10-22
52,0.2444,0.2511,273416988.911896,0.25436,0.2405,0.2474,102247,2021-10-23
53,0.2510298,0.2756,1179685459.10964,0.2846,0.2458,0.2625,281157,2021-10-24
54,0.2757,0.265,707148919.839132,0.2806,0.2578,0.2677,189560,2021-10-25
55,0.2649,0.2559,578475293.822824,0.27435,0.2518,0.2652,165183,2021-10-26
56,0.256,0.238,1364099195.34958,0.2636,0.21832,0.243,342049,2021-10-27
57,0.2381,0.2997,4326745867.23194,0.34,0.23237,0.3012,999655,2021-10-28
58,0.2998,0.288,1311899115.96901,0.3079,0.277,0.2912,366226,2021-10-29
59,0.288,0.2691,810491406.251862,0.29491,0.2578,0.2772,239253,2021-10-30
60,0.2692,0.2802,1019164643.14526,0.2853,0.2523,0.2686,251549,2021-10-31
61,0.2803,0.2718,634279770.516686,0.2865,0.2636,0.2725,181465,2021-11-01
62,0.2718,0.2741055,526975513.175676,0.2810641,0.2645,0.2736,165592,2021-11-02
63,0.2741171,0.269,542529238.512099,0.27787,0.2624352,0.2701,159280,2021-11-03
64,0.26876,0.2629,444400543.133174,0.271,0.2542,0.2626,135135,2021-11-04
65,0.2631,0.261,309214867.869306,0.271,0.25688,0.2616,109348,2021-11-05
66,0.2611,0.2621,288453112.051398,0.2679,0.25002,0.2595,93595,2021-11-06
67,0.262,0.2667,233492892.02314,0.2699894,0.2587,0.2644,83209,2021-11-07
68,0.26669,0.282,893027222.536486,0.2975,0.2606,0.2804,227105,2021-11-08
69,0.2821,0.2737,544971264.35007,0.2906,0.2715,0.2797,156781,2021-11-09
70,0.2737,0.25544,638541867.27562,0.2774,0.23641,0.2621,185097,2021-11-10
71,0.25564,0.2606,355191337.942937,0.2717,0.2533,0.2614,127078,2021-11-11
72,0.26048,0.2595,398873833.413592,0.2686,0.24889,0.2578,133869,2021-11-12
73,0.2596,0.2612,182216912.264493,0.2624,0.2544,0.2587,84722,2021-11-13
74,0.2613,0.2629,266808879.029299,0.27208,0.2590662,0.2634,90469,2021-11-14
75,0.263,0.25676,217116474.048044,0.2653,0.25543,0.2608,81443,2021-11-15
76,0.2568,0.23696,539684930.134861,0.2568,0.2233741,0.2423,159023,2021-11-16
77,0.2371,0.2377,289126328.128742,0.2414,0.22984,0.2363,96649,2021-11-17
78,0.2378,0.2219,448500317.558221,0.2417,0.2158,0.2282,132515,2021-11-18
79,0.2218,0.2335,280839887.149136,0.2377,0.21652,0.2282,97566,2021-11-19
80,0.2336,0.2335,170451708.885468,0.2363,0.2257,0.2317,68530,2021-11-20
81,0.2335,0.22632,144915498.795232,0.2338,0.2258,0.2293,62108,2021-11-21
82,0.2263,0.2199,246190184.232051,0.22784,0.2169,0.222,82144,2021-11-22
83,0.22,0.2271,391760866.165178,0.2371,0.21389,0.2273,116935,2021-11-23
84,0.2271,0.2175,291780515.7879,0.23095,0.21137,0.2183,92360,2021-11-24
85,0.2175,0.22164,321481507.005109,0.2297,0.21435,0.2216,92940,2021-11-25
86,0.2216586,0.2027,641665194.999956,0.2226,0.18846,0.2045,148647,2021-11-26
87,0.2027,0.2054,214376380.825165,0.2097,0.20147,0.2062,65722,2021-11-27
88,0.2053,0.20773,324084734.418719,0.208,0.19169,0.2002,83877,2021-11-28
89,0.2078,0.21511,503765184.274303,0.22562,0.20279,0.2146,114611,2021-11-29
90,0.21516,0.2149,463497977.650056,0.2282,0.2127,0.2197,123429,2021-11-30
91,0.2149,0.2095,255921011.915902,0.2192,0.2059,0.2131,77410,2021-12-01
92,0.2095,0.2097,478807413.64542,0.2234,0.20144,0.2127,114744,2021-12-02
93,0.2096428,0.2,323229708.982227,0.21231,0.19056,0.2032,90485,2021-12-03
94,0.2,0.1786542,1185802695.82508,0.2014,0.12784,0.1693,301729,2021-12-04
95,0.1797,0.1719,481168137.418509,0.1827,0.16225,0.1727,113229,2021-12-05
96,0.172,0.17811,591049858.803107,0.1812108,0.1595,0.1701,128790,2021-12-06
97,0.1781157,0.1764,358271284.017726,0.185,0.1748,0.1796,88667,2021-12-07
98,0.1764807,0.1794,410396502.078894,0.18234,0.17239,0.1775,81227,2021-12-08
99,0.1793817,0.1692,368112563.60281,0.18346,0.1687,0.1758,90184,2021-12-09
100,0.16915,0.1642,264374604.164021,0.17499,0.16355,0.1688,86001,2021-12-10
101,0.1642,0.169,271455949.408876,0.1702,0.1613,0.1666,75300,2021-12-11
102,0.1691,0.1698,181883592.507122,0.17404,0.1656,0.1695,57873,2021-12-12
103,0.1698,0.1574,391152483.576351,0.1705,0.1514,0.1601,103662,2021-12-13
104,0.1574,0.1911,2167109058.07526,0.228,0.1549,0.1921,512116,2021-12-14
105,0.1912,0.1811,742973054.95555,0.1915,0.1704,0.1799,214064,2021-12-15
106,0.1809,0.17329,383198264.974933,0.1857,0.1723,0.179,104420,2021-12-16
107,0.1733,0.16846,356193908.478134,0.17677,0.1616,0.1698,97686,2021-12-17
108,0.1686,0.1724,168932894.45442,0.17602,0.16597,0.1714,65194,2021-12-18
109,0.1725,0.1694,149754064.85104,0.17501,0.1691,0.1718,54659,2021-12-19
110,0.1694,0.1673,247342075.9032,0.17089,0.1611,0.1659,76141,2021-12-20
111,0.1673,0.171,191554428.964359,0.17258,0.16574,0.1698,62438,2021-12-21
112,0.171,0.173,280455000.063129,0.1801,0.1697,0.1746,77408,2021-12-22
113,0.17319,0.1851,351775908.317075,0.1851,0.1712,0.1788,88991,2021-12-23
114,0.1852,0.1862,427083629.308209,0.19577,0.1793,0.1878,113016,2021-12-24
115,0.1864,0.1911,251903550.764621,0.19587,0.18484,0.1905,75722,2021-12-25
116,0.1909,0.1899,172772879.157553,0.19258,0.1851,0.189,57957,2021-12-26
117,0.19,0.1879,181444294.496084,0.19298,0.1864182,0.1904,62059,2021-12-27
118,0.1881,0.1739,314427314.48264,0.1881,0.1717,0.179,90746,2021-12-28
119,0.1738,0.168,236185305.09076,0.1775,0.1658894,0.1719,72354,2021-12-29
120,0.1679,0.1711,187850088.990435,0.1758,0.16501,0.1713,60986,2021-12-30
121,0.1711802,0.1703,263081375.556349,0.17601,0.1661,0.1712,67513,2021-12-31
122,0.1703,0.1733,124919686.357944,0.17382,0.1696,0.1718,44917,2022-01-01
123,0.1732,0.1744,112562799.507739,0.1764,0.1705,0.1734,45891,2022-01-02
124,0.1745,0.1703,206603474.42639,0.1745,0.16742,0.1707,54974,2022-01-03
125,0.1704,0.1684,188861458.890463,0.17269,0.1666,0.1699,51633,2022-01-04
126,0.1684,0.1591,390895310.712887,0.1711,0.14723,0.1618,99241,2022-01-05
127,0.1591,0.15997,266536999.36356,0.1621,0.1539,0.1579,86354,2022-01-06
128,0.15989,0.1551,408994189.033461,0.1603144,0.1485283,0.154,101455,2022-01-07
129,0.1552,0.151,279618628.319292,0.1579,0.1452,0.1516,80579,2022-01-08
130,0.151,0.1505,164527557.582362,0.1539,0.14859,0.1514,50815,2022-01-09
131,0.1506,0.1431,327338099.973327,0.15226,0.13658,0.1443,80253,2022-01-10
132,0.1432,0.1539,522898293.874782,0.1673,0.1417,0.1538,118281,2022-01-11
133,0.1539,0.163,351346541.537239,0.1638,0.15113,0.1575,81153,2022-01-12
134,0.1628,0.1717,902268702.096117,0.17719,0.1613,0.1687,176293,2022-01-13
135,0.1716,0.1834,2141330922.0378,0.21531,0.1704,0.191,432996,2022-01-14
136,0.1833,0.1846,640085392.254776,0.19486,0.18164,0.1885,147916,2022-01-15
137,0.1845615,0.1767,419959236.015199,0.1848,0.1734,0.1791,97954,2022-01-16
138,0.1767,0.171,466991050.629132,0.17845,0.1656152,0.1702,100765,2022-01-17
139,0.17089,0.165,436534352.806055,0.17457,0.1617,0.1666,98003,2022-01-18
140,0.1651139,0.1616,384935510.788224,0.16979,0.1591,0.1636,85753,2022-01-19
141,0.1616,0.1554,348895607.125733,0.1744274,0.15373,0.1624,83428,2022-01-20
142,0.1554,0.1422,699153250.096395,0.1578,0.1398169,0.1495,154112,2022-01-21
143,0.1422,0.1333,1016264226.75486,0.1454,0.12,0.1322,204084,2022-01-22
144,0.1333,0.1418,602268651.362935,0.14497,0.132,0.1385,119622,2022-01-23
145,0.1419,0.1374,827175437.024909,0.1419384,0.1258,0.1331,146813,2022-01-24
146,0.1374,0.143,641047549.763623,0.1543,0.1325,0.1407,129256,2022-01-25
147,0.1429,0.1430592,575735504.440581,0.1536,0.1409,0.1473,129190,2022-01-26
148,0.1434,0.14175,338498819.636129,0.14615,0.1347736,0.1408,78751,2022-01-27
149,0.1414509,0.1415,219294399.939815,0.1428,0.1378,0.1403,70836,2022-01-28
150,0.1416,0.143,203576908.729766,0.1444,0.1392558,0.1425,57624,2022-01-29
