LRCUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
0,0.5579,0.5361,20730725.0423464,0.566,0.512,0.5394,28636,2021-09-01
1,0.5362,0.5286,14636602.8278264,0.5499,0.5262,0.5351,16731,2021-09-02
2,0.5288,0.5143,13414727.8516436,0.53187,0.4962,0.5198,15779,2021-09-03
3,0.5144,0.5092,13252461.6216105,0.5237,0.5033,0.5125,14492,2021-09-04
4,0.509,0.523,14843480.8259681,0.5359,0.50249,0.5186,15521,2021-09-05
5,0.5232,0.5055,13154386.1719323,0.53403,0.4672,0.5071,15585,2021-09-06
6,0.5055,0.4065,40169943.1493061,0.50818,0.3745,0.4456,35078,2021-09-07
7,0.4068,0.436,42224399.825323,0.4915,0.3933,0.4387,32946,2021-09-08
8,0.4361,0.4482,16049650.6485686,0.4798,0.4291,0.4464,13969,2021-09-09
9,0.449,0.4164,14272191.4527563,0.4711,0.4038,0.4331,13631,2021-09-10
10,0.4165,0.4383,12085414.0892644,0.47,0.4128,0.4439,12200,2021-09-11
11,0.438,0.48474,42204096.598364,0.5292,0.421,0.4888,45615,2021-09-12
12,0.4837,0.4342,16655634.9293808,0.4895,0.4134,0.443,17689,2021-09-13
13,0.434,0.4681,14755348.9134705,0.4886,0.4259,0.4541,18363,2021-09-14
14,0.4692,0.4993,18478916.45332,0.5148,0.4602,0.4853,27252,2021-09-15
15,0.499,0.4716,14005197.8694331,0.5139,0.4571,0.4863,22205,2021-09-16
16,0.4719,0.4641,10251500.4426818,0.4758,0.4475,0.4606,16276,2021-09-17
17,0.4641,0.4601,4115862.10273524,0.4678,0.4488,0.4583,8071,2021-09-18
18,0.4608,0.4498,10768815.0688176,0.47214,0.4452,0.4592,14735,2021-09-19
19,0.4509,0.4014,17865507.5703012,0.4515,0.3888,0.418,18692,2021-09-20
20,0.4017,0.3763,10425014.7753593,0.4152,0.3672,0.3927,12609,2021-09-21
21,0.3767,0.4105,8469976.37901512,0.4113,0.3695,0.3921,13231,2021-09-22
22,0.4109,0.41116,4761919.07524433,0.4159,0.3969,0.4095,10055,2021-09-23
23,0.4108,0.38,10957031.5127228,0.4138,0.3686,0.3827,12271,2021-09-24
24,0.3801,0.3851,5985742.44770865,0.3928,0.37,0.3813,8842,2021-09-25
25,0.3853,0.3689,8362408.75463336,0.3863,0.3539,0.3674,10071,2021-09-26
26,0.3689,0.3661,5520212.99252565,0.38453,0.3652,0.3772,8149,2021-09-27
27,0.3661,0.3513,6426243.66749463,0.3731,0.3491,0.3608,7619,2021-09-28
28,0.3512,0.3549,3446830.71537843,0.36703,0.3498,0.3572,4746,2021-09-29
29,0.3548,0.3656,4585464.34921254,0.372,0.3536,0.3634,8850,2021-09-30
30,0.3656,0.3887,7585207.69057928,0.39124,0.3635,0.3807,11762,2021-10-01
31,0.3888,0.3977,8457993.72421996,0.4114,0.3842,0.3977,11564,2021-10-02
32,0.398,0.4121,13079343.653644,0.43,0.3891,0.4124,16212,2021-10-03
33,0.4118,0.3996,9517144.48404194,0.41197,0.383,0.3995,11262,2021-10-04
34,0.3996,0.4093,6520317.34644435,0.415,0.3961,0.406,11014,2021-10-05
35,0.4095,0.393,10739803.2592118,0.4128,0.3807,0.3943,13588,2021-10-06
36,0.3931,0.3952,7398264.30940816,0.4008,0.3835,0.3923,11513,2021-10-07
37,0.3955,0.4012,12906082.2723095,0.419,0.389,0.4045,14457,2021-10-08
38,0.4022,0.41,10479247.1016788,0.4301,0.3959,0.413,13234,2021-10-09
39,0.4104,0.3837,5535089.44800833,0.4169,0.3805,0.4025,9235,2021-10-10
40,0.38351,0.3695,10925164.3450423,0.38965,0.3608,0.3753,14900,2021-10-11
41,0.3695,0.3729,8717392.67621146,0.3775,0.349,0.364,11980,2021-10-12
42,0.3724,0.3821,6282015.11712846,0.3827,0.3637,0.3735,7405,2021-10-13
43,0.3821,0.3794,6722094.14256496,0.3958,0.3757,0.3842,7794,2021-10-14
44,0.3794,0.4143,42320050.6831459,0.495,0.3701,0.4325,43293,2021-10-15
45,0.4144,0.4212,28863158.1270186,0.467,0.4118,0.4327,27437,2021-10-16
46,0.421,0.4504,60357081.8830435,0.5183,0.4121,0.4656,53198,2021-10-17
47,0.451,0.432,20588363.701119,0.4634,0.42,0.4395,21842,2021-10-18
48,0.4316,0.4288,8065468.29522581,0.4377,0.42,0.4294,10709,2021-10-19
49,0.42925,0.43627,7066841.64952018,0.4421,0.4224,0.4332,11102,2021-10-20
50,0.4363,0.4142,11342803.3425412,0.444,0.4111,0.4289,14267,2021-10-21
51,0.4144,0.4259,14940098.583212,0.4341,0.4059,0.4186,14898,2021-10-22
52,0.4269,0.433,11760962.2616022,0.438,0.4208,0.4297,15636,2021-10-23
53,0.4335,0.4159,6861305.90269554,0.436,0.4063,0.4192,10738,2021-10-24
54,0.4161,0.4279,5154750.95234064,0.4293,0.4133,0.4222,8901,2021-10-25
55,0.4279,0.4297,12825834.2160155,0.441,0.4232,0.432,15719,2021-10-26
56,0.4298,0.3742,20620460.2412831,0.4468,0.3667,0.3982,26525,2021-10-27
57,0.3742,0.5402,146294396.040542,0.6074,0.3703,0.5078,179338,2021-10-28
58,0.5395,0.5503,82904464.3104061,0.5976,0.5,0.5356,177236,2021-10-29
59,0.5501,0.5492,79146917.7246792,0.6458,0.5329,0.5908,138207,2021-10-30
60,0.5495,0.6406,39342456.8879007,0.6461,0.5408,0.5735,73650,2021-10-31
61,0.6406,1.0222,352160561.039784,1.1762,0.6108,0.8805,458852,2021-11-01
62,1.0233,1.4339,425098807.25635,1.9343,0.9261,1.3411,637138,2021-11-02
63,1.4329,1.1702,173241412.945884,1.589,1.1368,1.3415,348270,2021-11-03
64,1.1702,1.12,91960070.7628619,1.37,1.0621,1.1777,208044,2021-11-04
65,1.1197,1.1825,131072839.283717,1.4916,1.0166,1.2983,255632,2021-11-05
66,1.1818,1.2852,88150194.9646541,1.39,1.167,1.2692,194562,2021-11-06
67,1.2858,1.4864,60842218.0351921,1.5195,1.2452,1.37,139080,2021-11-07
68,1.4838,2.0468,271346439.919231,2.5,1.408,1.9236,650814,2021-11-08
69,2.0468,2.9297,283425837.085221,3.05,2.0078,2.4991,764671,2021-11-09
70,2.9286,3.0416,289238872.81832,3.92,2.668,3.251,912128,2021-11-10
71,3.0393,3.2203,151775544.252944,3.7487,2.4248,3.3355,465955,2021-11-11
72,3.2205,3.0379,88193330.0144485,3.5437,2.8099,3.1091,305553,2021-11-12
73,3.0385,2.6797,48613841.7667008,3.0924,2.6104,2.7855,192598,2021-11-13
74,2.6791,3.061,76527637.4800156,3.372,2.6527,3.0857,272452,2021-11-14
75,3.0622,2.908,38810489.5036475,3.1169,2.8469,2.9549,154865,2021-11-15
76,2.9082,2.6343,53604256.4241956,2.91,2.34,2.638,200251,2021-11-16
77,2.6357,2.5263,47545924.9740587,2.8954,2.4715,2.6658,162085,2021-11-17
78,2.5254,2.2151,56747397.6350726,2.5963,2.1605,2.3556,178190,2021-11-18
79,2.2158,2.6628,67673079.0170279,2.9163,2.173,2.6179,217840,2021-11-19
80,2.6628,2.583,22999768.1814095,2.7515,2.5,2.621,91363,2021-11-20
81,2.5835,2.3799,23527804.45064,2.6365,2.3571,2.4898,83950,2021-11-21
82,2.381,2.6502,40054292.2864447,2.8638,2.3226,2.6031,146166,2021-11-22
83,2.6501,3.3353,91018639.3249328,3.51,2.537,3.0523,325291,2021-11-23
84,3.3368,3.4136,55433940.4826642,3.4848,2.8998,3.1049,185063,2021-11-24
85,3.4145,3.2044,56815531.8103101,3.78,3.1217,3.436,232643,2021-11-25
86,3.2055,2.8184,53508992.1130239,3.64,2.6516,3.0398,234717,2021-11-26
87,2.8176,2.8945,21505630.8515078,3.1227,2.7685,2.9338,95400,2021-11-27
88,2.8959,2.9324,20030467.7027106,2.98,2.6557,2.7955,96292,2021-11-28
89,2.9323,2.8653,23731146.3835522,3.1808,2.8539,2.995,93396,2021-11-29
90,2.8658,2.7725,22931879.4394255,2.9612,2.7108,2.8209,94092,2021-11-30
91,2.7727,2.7815,19975076.1154594,2.9677,2.703,2.8173,83492,2021-12-01
92,2.7819,2.633,14686605.0145046,2.7819,2.5669,2.6514,74147,2021-12-02
93,2.6321,2.3828,23233556.1561541,2.6466,2.2424,2.4747,105547,2021-12-03
94,2.3816,2.2685,54559449.1362708,2.3881,1.6534,2.0732,189762,2021-12-04
95,2.2687,2.0409,22291430.7356546,2.3483,1.9672,2.152,97694,2021-12-05
96,2.0388,2.4644,41801289.5989425,2.5406,1.8002,2.168,171058,2021-12-06
97,2.4632,2.4632,33511195.9010007,2.6609,2.362,2.5137,164761,2021-12-07
98,2.4643,2.5631,48709127.4072618,2.985,2.2708,2.5935,194362,2021-12-08
99,2.5631,2.4947,40787103.5061546,2.7307,2.3549,2.5314,166357,2021-12-09
100,2.4929,2.3026,28755850.2021376,2.6014,2.2905,2.453,132704,2021-12-10
101,2.3024,2.4234,14702116.1218011,2.4542,2.2608,2.3652,72894,2021-12-11
102,2.4241,2.4562,9139682.43281265,2.4947,2.3268,2.4044,54784,2021-12-12
103,2.4557,2.0976,18421141.6586029,2.4736,2.05,2.2311,100603,2021-12-13
104,2.0967,2.184,19465508.7832041,2.2857,2.0371,2.1524,101080,2021-12-14
105,2.184,2.2451,20178228.7899135,2.2895,2.0048,2.1495,95466,2021-12-15
106,2.2454,2.1066,13347666.3611957,2.3606,2.0938,2.2114,63589,2021-12-16
107,2.1059,2.0547,11825535.9892648,2.1589,1.9932,2.0813,66974,2021-12-17
108,2.0547,2.0738,10391468.9108408,2.12,1.9902,2.0514,52032,2021-12-18
109,2.0744,2.0452,7790613.42411762,2.122,2.02,2.0732,39996,2021-12-19
110,2.0444,2.0158,14624732.3478343,2.0833,1.8733,1.9716,72103,2021-12-20
111,2.016,2.4002,23413233.217062,2.475,1.9866,2.2666,111001,2021-12-21
112,2.4002,2.2024,14296308.5473586,2.4109,2.1899,2.2953,74983,2021-12-22
113,2.2018,2.319,12772788.3577453,2.37,2.1548,2.269,64592,2021-12-23
114,2.32,2.2167,8541037.24341792,2.3772,2.1751,2.2955,52541,2021-12-24
115,2.2168,2.2723,6043047.95085405,2.3241,2.1991,2.2698,35687,2021-12-25
116,2.2736,2.3511,10169263.7350279,2.4576,2.205,2.338,57314,2021-12-26
117,2.3528,2.2601,12398950.6814508,2.4442,2.2517,2.3616,64234,2021-12-27
118,2.2611,2.0582,19971068.9913273,2.2617,2.0431,2.1428,95273,2021-12-28
119,2.0597,1.976,11731443.890098,2.1205,1.9325,2.0323,68662,2021-12-29
120,1.9759,1.9953,11356511.049357,2.0546,1.9005,1.9853,60971,2021-12-30
121,1.9949,2.0852,17692414.0905668,2.1449,1.9462,2.05,74937,2021-12-31
122,2.0859,2.0892,6889605.88334944,2.12,2.0379,2.0708,32191,2022-01-01
123,2.0884,2.0953,6112769.53527973,2.1157,2.0473,2.077,32265,2022-01-02
124,2.0964,2.0452,6036376.83128699,2.098,2.0204,2.0644,36784,2022-01-03
125,2.0465,2.0557,8560136.07884178,2.1457,2.0027,2.0687,48201,2022-01-04
126,2.053,1.8015,22488363.63378,2.1074,1.6391,1.9056,100241,2022-01-05
127,1.8034,1.8397,45487641.4662598,2.0876,1.658,1.8354,170865,2022-01-06
128,1.8394,1.675,33406402.3989623,1.866,1.6492,1.7385,128600,2022-01-07
129,1.6745,1.521,24975412.4277467,1.7377,1.4333,1.5788,96493,2022-01-08
130,1.5202,1.5727,12174485.1877892,1.6337,1.5071,1.5686,60664,2022-01-09
131,1.5731,1.4686,16866502.3852465,1.6055,1.3801,1.4799,78310,2022-01-10
132,1.4689,1.496,15251045.3144903,1.5311,1.3872,1.4641,70358,2022-01-11
133,1.4957,1.6347,12311855.8499919,1.655,1.4659,1.5758,61066,2022-01-12
134,1.6353,1.5,11463783.8083478,1.6679,1.4904,1.5728,55261,2022-01-13
135,1.4986,1.4762,9995616.82458017,1.5471,1.4445,1.4901,56582,2022-01-14
136,1.4759,1.421,15153515.852325,1.487,1.3877,1.4223,64952,2022-01-15
137,1.4215,1.3633,17795852.1793463,1.4244,1.3083,1.3531,74066,2022-01-16
138,1.3641,1.2293,27595131.4602837,1.3757,1.1839,1.2374,92729,2022-01-17
139,1.2294,1.1598,31863966.6892666,1.2378,1.095,1.1479,94891,2022-01-18
140,1.16,1.1752,33321204.8695034,1.2478,1.1062,1.1893,101950,2022-01-19
141,1.1757,1.0623,24019314.7153597,1.2237,1.0524,1.1509,73105,2022-01-20
142,1.0621,0.8671,60719024.1191212,1.0837,0.84,0.9629,187272,2022-01-21
143,0.8671,0.7384,67666553.1882601,0.8892,0.6489,0.7528,234208,2022-01-22
144,0.7386,0.859,43202457.6667376,0.87258,0.73224,0.8025,147675,2022-01-23
145,0.8592,0.8618,57390514.9208819,0.9,0.708,0.7958,165306,2022-01-24
146,0.8618,1.032,80916436.4039858,1.0761,0.8368,0.9469,241779,2022-01-25
147,1.0317,1.0773,78713860.265051,1.1887,0.98,1.0824,247074,2022-01-26
148,1.0773,0.9636,40953796.1984782,1.1279,0.925,1.0076,152134,2022-01-27
149,0.9629,0.9902,24658650.8761317,1.0115,0.912,0.9628,110388,2022-01-28
150,0.9895,0.9752,14521169.1505678,1.016,0.96,0.986,68386,2022-01-29
151,0.9747,1.0027,20801794.0116246,1.0586,0.9544,1.0113,80494,2022-01-30
152,1.0028,0.999,21164082.4609628,1.0428,0.9235,0.9828,81255,2022-01-31
153,0.9993,0.9635,23469206.2462984,1.0248,0.955,0.9841,75603,2022-02-01
154,0.9637,0.8681,25940704.5231847,0.9673,0.85,0.9112,89456,2022-02-02
