LTCUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
0,171.56,180.86,453878.170698176,182.81,168.57,176.4566,93201,2021-09-01
1,180.83,183.51,458655.173075661,188,179.41,184.0271,98012,2021-09-02
2,183.46,213.27,1182605.08626371,218,179.76,202.1525,199706,2021-09-03
3,213.29,212.12,789118.944495813,225.25,208.44,215.6549,151548,2021-09-04
4,212.17,232.3,812767.109800656,232.71,210.41,222.2385,138960,2021-09-05
5,232.12,219.5,763714.231142582,232.48,215.19,223.3641,127669,2021-09-06
6,219.51,178.41,1276284.78769091,222.09,155.21,193.8436,206864,2021-09-07
7,178.38,179.76,1093854.75753699,189,169,180.2084,166251,2021-09-08
8,179.8,180.42,665607.884430313,188.85,176.55,182.8957,112386,2021-09-09
9,180.45,174.16,546678.925878027,187.45,170.64,178.4238,105263,2021-09-10
10,174.12,178.55,378119.418092983,186.09,173.25,180.5399,84397,2021-09-11
11,178.49,182.96,349858.565051435,186.18,175.17,181.4496,79632,2021-09-12
12,183.01,179.36,2256288.29383636,245.86,170.82,193.2589,341183,2021-09-13
13,179.32,183.1,587244.104939734,189.1,176.11,180.8326,117595,2021-09-14
14,183.13,189.13,451219.336373136,191.99,179.59,184.2758,106237,2021-09-15
15,189.26,185.33,623354.09496454,195.49,181.53,188.9047,128149,2021-09-16
16,185.39,180,483263.681260312,190.69,177.65,182.8434,109936,2021-09-17
17,180,181.38,323481.254297984,185.95,177.95,182.1685,72732,2021-09-18
18,181.34,175.64,306622.103613587,181.72,172.55,177.5235,75430,2021-09-19
19,175.67,157.23,897384.707552559,176.13,153.49,161.5803,157598,2021-09-20
20,157.25,148.41,677135.355801658,162.4,144.6,155.751,134651,2021-09-21
21,148.48,161.5,519240.550505219,161.9,145.28,155.4619,103693,2021-09-22
22,161.48,163.92,419508.086117361,165,157.2,161.4375,80488,2021-09-23
23,163.89,152.25,815968.255212494,166.66,141.74,151.6251,130404,2021-09-24
24,152.25,151.11,552573.17101795,156.25,148.8,152.4587,92225,2021-09-25
25,151.01,150.74,631733.340848016,153.53,142.03,148.9961,106499,2021-09-26
26,150.74,145.16,442039.297538479,155.06,144.85,150.7961,85460,2021-09-27
27,145.06,140.54,615393.536801491,149,140,145.1825,99667,2021-09-28
28,140.55,144.78,624172.508210582,150.43,139.75,145.7468,91747,2021-09-29
29,144.82,153.3,548690.259221895,154.76,143.9,151.0128,78112,2021-09-30
30,153.32,166.23,610362.057358842,168.17,151.09,161.5008,94897,2021-10-01
31,166.28,169.03,339020.162742959,173.6,164.58,169.2999,69104,2021-10-02
32,168.99,170.66,367386.561585267,175,165.9,170.0766,68684,2021-10-03
33,170.59,167.6,422509.499546553,170.88,161.35,166.6079,77885,2021-10-04
34,167.57,173.79,587843.383671996,175.55,166.66,171.1344,95224,2021-10-05
35,173.81,178.5,879494.601652306,183.23,163.87,175.863,134809,2021-10-06
36,178.5,178.61,770633.640259249,187.22,173.42,179.7426,122582,2021-10-07
37,178.64,175.91,708388.640258018,183.57,174.36,179.3865,106883,2021-10-08
38,175.91,180,354768.193813922,183.94,174.44,179.489,77869,2021-10-09
39,179.99,174.91,396202.100813332,184.02,174.11,179.3955,84378,2021-10-10
40,174.91,179.2,430800.973331949,185.34,172.38,179.8803,94871,2021-10-11
41,179.15,172.63,540960.528538899,179.22,166.37,171.9606,108076,2021-10-12
42,172.55,177.61,445889.956846278,179.68,167.61,173.7832,91747,2021-10-13
43,177.68,181.5,573263.422456188,187.01,176.95,181.2084,107653,2021-10-14
44,181.47,189.63,702607.500476909,192.99,176.61,185.0989,139041,2021-10-15
45,189.61,186.05,400665.213370866,192.67,185,188.7473,88599,2021-10-16
46,186,183.73,305602.470724125,188.07,176.31,183.905,74740,2021-10-17
47,183.78,185.63,403233.981574242,187.64,178.48,183.8071,86262,2021-10-18
48,185.59,188.73,370943.369435747,191.82,182.32,187.6582,87754,2021-10-19
49,188.72,207.32,628693.233752793,209.64,185.67,199.1868,133462,2021-10-20
50,207.33,196.81,690856.445512226,214.8,194.42,204.5834,147920,2021-10-21
51,196.88,190.98,535200.136648207,201.47,187.21,195.7963,118761,2021-10-22
52,190.99,196.42,295523.497078278,198.06,188.84,194.1323,82035,2021-10-23
53,196.35,190.47,355973.91032751,199.9,185.23,191.8571,94110,2021-10-24
54,190.39,195.4,299324.169051794,197.37,189.53,194.5886,78572,2021-10-25
55,195.47,197.51,334389.796204107,199.36,190.26,194.4699,92818,2021-10-26
56,197.52,179.24,1005401.48322188,205.03,171.25,188.0269,190806,2021-10-27
57,179.27,189.9,651041.694614896,194.62,177.49,186.2395,140350,2021-10-28
58,189.94,196.62,471025.673760303,198.73,188.22,193.2445,112228,2021-10-29
59,196.62,190.38,331480.306695851,197.38,186.68,191.8231,91125,2021-10-30
60,190.27,192,371608.32218665,195.25,186.66,190.9099,86223,2021-10-31
61,192.01,197.65,439636.761209172,201.31,187.93,193.9261,102153,2021-11-01
62,197.58,201.03,405138.775126034,205.04,194.93,200.1434,105262,2021-11-02
63,200.96,207.31,629326.683000797,209.69,197.38,203.9387,132988,2021-11-03
64,207.26,202.9,454258.338234734,207.33,196.29,202.1578,103011,2021-11-04
65,202.78,199.13,325333.604862779,203.48,196.8,200.0487,81565,2021-11-05
66,198.98,197.78,284248.514619739,201.38,191.22,196.3671,75623,2021-11-06
67,197.8,202.2,243001.96832326,202.28,197.07,199.5542,65824,2021-11-07
68,202.14,229.11,1063333.17654794,229.81,202.04,218.5243,170907,2021-11-08
69,229.12,262.16,2345083.65968462,275.66,226.44,256.1158,384425,2021-11-09
70,262.07,260.13,2800183.17623534,302.08,245.52,274.6488,434351,2021-11-10
71,260.24,262.3,1005137.21020261,274.27,250.61,262.8829,202519,2021-11-11
72,262.3,251.16,1370124.66561851,282.92,243.61,262.7995,252315,2021-11-12
73,251.23,257.74,685720.018498194,264.35,244.81,253.5175,159772,2021-11-13
74,257.74,279.16,796568.772228699,279.7,248.4,262.5866,182452,2021-11-14
75,279.18,262.91,664827.520814296,281.46,258.89,270.8672,155296,2021-11-15
76,262.97,230.33,1448746.39928086,263.2,221.95,239.3592,279240,2021-11-16
77,230.43,229.57,842698.898957086,235.63,218.23,227.7666,201975,2021-11-17
78,229.64,204.24,1164467.27739301,232.41,198.39,214.2872,229483,2021-11-18
79,204.15,218.12,799336.985198939,221.65,199.67,211.5685,161603,2021-11-19
80,218.12,227,550901.202262155,228.01,212.57,221.4128,126990,2021-11-20
81,227.01,221.48,413605.7651584,230.88,219.77,224.7702,110038,2021-11-21
82,221.53,209.22,618020.547832165,222.1,205.31,213.5876,134860,2021-11-22
83,209.13,216.32,399823.065530239,218.89,205.28,211.415,105505,2021-11-23
84,216.28,212.21,424540.588882319,217.69,206,210.5371,109251,2021-11-24
85,212.21,222.88,542308.057316767,230,210.77,221.7928,116575,2021-11-25
86,223.13,195.97,957495.743540025,225.12,189.17,199.9111,182617,2021-11-26
87,195.81,195.36,363823.317482819,201.19,190.84,196.7798,87286,2021-11-27
88,195.21,199.64,563197.984728399,200.34,181.48,190.9075,109220,2021-11-28
89,199.68,205.8,470760.065172986,209.72,195.47,202.5026,101148,2021-11-29
90,205.81,207.97,747822.763881711,220.18,197.65,208.5051,132784,2021-11-30
91,208.01,208.91,465285.504810338,217.97,205.01,211.7595,110623,2021-12-01
92,208.97,203.63,441305.546352065,210.29,200.12,204.8309,99846,2021-12-02
93,203.52,188.27,579263.88969165,208.74,180,195.2693,122781,2021-12-03
94,188.1,162.9,1629596.65628687,189.28,126.8,158.5432,246627,2021-12-04
95,162.91,156.62,1033703.10086614,165.28,148.17,156.6744,153810,2021-12-05
96,156.6,161.61,894684.627465515,164.76,141.48,150.7468,154688,2021-12-06
97,161.65,162.03,621421.934742472,166.02,158.33,161.4926,104682,2021-12-07
98,162.08,165.21,737739.536421804,170.48,156.1,163.3337,113015,2021-12-08
99,165.26,151.56,629286.627673738,167.26,151.32,158.3031,122427,2021-12-09
100,151.5,148.48,562267.09535338,160.05,147.66,152.9397,121532,2021-12-10
101,148.55,158.07,512309.440968418,159.61,145.75,154.4835,101214,2021-12-11
102,158.01,159,305536.58979033,162.98,153.34,157.7309,73373,2021-12-12
