MATICUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
0,1.3379,1.4699,105078026.546577,1.49981,1.312,1.4262,95287,2021-09-01
1,1.4695,1.4452,71461261.1781807,1.52467,1.4307,1.4724,76207,2021-09-02
2,1.4461,1.4573,57599152.4277659,1.49862,1.4036,1.4583,66226,2021-09-03
3,1.4573,1.7397,140427571.727652,1.7475,1.4459,1.6191,133231,2021-09-04
4,1.74,1.6806,112322543.877727,1.7991,1.6333,1.7103,113025,2021-09-05
5,1.6805,1.6443,75091284.0101509,1.73,1.55935,1.6497,80300,2021-09-06
6,1.6435,1.3654,193989453.42651,1.6981,1.1131,1.4357,195829,2021-09-07
7,1.368,1.3346,144417037.855657,1.41,1.18272,1.3068,133951,2021-09-08
8,1.3349,1.3686,137265553.701599,1.4555,1.2833,1.3733,103777,2021-09-09
9,1.3689,1.3037,122497820.860557,1.4666,1.267,1.3669,105110,2021-09-10
10,1.3034,1.3163,52886926.544516,1.3765,1.2771,1.3242,59764,2021-09-11
11,1.3163,1.3277,46120713.7719343,1.3731,1.2875,1.3299,54732,2021-09-12
12,1.3277,1.2478,73137954.4114985,1.35458,1.199,1.2555,89631,2021-09-13
13,1.248,1.3195,53953169.1334628,1.3477,1.21158,1.2971,60344,2021-09-14
14,1.3184,1.4168,58568582.4661452,1.42,1.3169,1.3634,72197,2021-09-15
15,1.417,1.3837,91776244.2876038,1.5,1.34752,1.4355,112611,2021-09-16
16,1.3831,1.4227,66707515.5457753,1.4416,1.302,1.3714,83301,2021-09-17
17,1.4231,1.3661,43513521.9217777,1.44,1.3358,1.3878,56988,2021-09-18
18,1.3661,1.3148,35325639.021353,1.372,1.3012,1.3393,42936,2021-09-19
19,1.3149,1.1345,121898356.272447,1.319,1.0953,1.1957,136483,2021-09-20
20,1.1333,1.0474,116871657.770953,1.1895,1.0148,1.1086,135363,2021-09-21
21,1.0475,1.231,90082981.9094129,1.2358,1.0291,1.1325,102105,2021-09-22
22,1.231,1.2254,44169777.8811974,1.246,1.177,1.2162,64203,2021-09-23
23,1.2254,1.1273,62992313.0826571,1.23139,1.0542,1.1354,94917,2021-09-24
24,1.1268,1.1218,36862233.1924951,1.145,1.0841,1.1225,57810,2021-09-25
25,1.122,1.1232,52681926.157873,1.1682,1.0326,1.1098,73634,2021-09-26
26,1.1232,1.0849,38281443.6411833,1.1696,1.0826,1.1243,60032,2021-09-27
27,1.0858,1.0502,37925556.8719926,1.112,1.0459,1.0748,69471,2021-09-28
28,1.0499,1.0988,50033647.5323423,1.1119,1.0444,1.0864,76286,2021-09-29
29,1.0991,1.127,43076559.3196652,1.15,1.0941,1.1243,66510,2021-09-30
30,1.1271,1.2663,62534248.0925518,1.2687,1.1262,1.21,86421,2021-10-01
31,1.2666,1.2926,47920663.7962369,1.3565,1.2236,1.2831,73121,2021-10-02
32,1.293,1.3281,50856481.6431624,1.3466,1.2752,1.3149,70109,2021-10-03
33,1.3278,1.2755,55005483.9185784,1.3281,1.2312,1.2752,68033,2021-10-04
34,1.2755,1.315,43268215.3536653,1.3403,1.2655,1.3046,65677,2021-10-05
35,1.3153,1.2569,61148054.4725656,1.3185,1.2029,1.2728,85495,2021-10-06
36,1.2571,1.2767,55797593.416955,1.3107,1.2284,1.2731,74244,2021-10-07
37,1.2765,1.3445,79009052.6062348,1.4389,1.2715,1.3619,111836,2021-10-08
38,1.3452,1.3524,61621312.6531327,1.3839,1.3272,1.3518,60698,2021-10-09
39,1.3521,1.2448,46145514.278794,1.3579,1.2354,1.3072,56828,2021-10-10
40,1.2438,1.2424,49605462.2293534,1.3084,1.2136,1.2593,62123,2021-10-11
41,1.2426,1.223,63652683.0089255,1.2426,1.1522,1.2016,81788,2021-10-12
42,1.2229,1.2416,41107133.955655,1.2619,1.1887,1.2243,58407,2021-10-13
43,1.2419,1.2651,37600482.5591541,1.2898,1.2286,1.2603,56810,2021-10-14
44,1.2652,1.6021,198457931.855997,1.6333,1.234,1.4868,320667,2021-10-15
45,1.6028,1.5073,52005766.4696357,1.6145,1.4972,1.5377,105329,2021-10-16
46,1.5073,1.4599,36863993.0306604,1.5494,1.4103,1.4776,72288,2021-10-17
47,1.46,1.4825,60008651.0758813,1.62154,1.4461,1.5158,128308,2021-10-18
48,1.4826,1.4784,34459980.4258125,1.53641,1.4373,1.4832,80374,2021-10-19
49,1.4785,1.5365,42413051.8007066,1.5507,1.4498,1.5075,102465,2021-10-20
50,1.5364,1.5063,65556998.2567942,1.6319,1.47,1.5449,133908,2021-10-21
51,1.5051,1.5171,45231258.1549235,1.5781,1.4902,1.5318,86730,2021-10-22
52,1.5163,1.6409,57372580.3763533,1.6753,1.4977,1.6091,113222,2021-10-23
53,1.6407,1.5717,43983226.2393638,1.6448,1.525,1.5771,90910,2021-10-24
54,1.5719,1.6742,47286538.7762993,1.6816,1.5626,1.6378,91615,2021-10-25
55,1.6746,1.7344,94051840.7169851,1.8575,1.65611,1.7758,174036,2021-10-26
56,1.7347,1.7565,138831321.549692,1.9375,1.6041,1.7873,248181,2021-10-27
57,1.7568,2.1349,153011465.180472,2.178,1.7566,1.9599,282549,2021-10-28
58,2.1348,2.0254,107643639.222011,2.22,1.9184,2.0418,211066,2021-10-29
59,2.0256,1.8749,51805625.2659543,2.0311,1.8278,1.913,136296,2021-10-30
60,1.8748,1.9405,71054475.1143831,2.0326,1.795,1.9024,163565,2021-10-31
61,1.941,1.903,44141451.8078499,1.9737,1.84,1.9035,98611,2021-11-01
62,1.903,1.9408,47538737.2874882,1.9723,1.865,1.9169,111952,2021-11-02
63,1.9412,2.0399,99179279.714655,2.194,1.9396,2.05,189108,2021-11-03
64,2.0399,1.9165,64179423.956727,2.0414,1.8597,1.9295,118806,2021-11-04
65,1.9161,1.8963,28105197.5506272,1.9507,1.868,1.9006,76362,2021-11-05
66,1.8965,1.8848,26341376.0198692,1.9283,1.81041,1.8706,67159,2021-11-06
67,1.8861,1.8864,18622444.3520838,1.9162,1.8529,1.8883,54357,2021-11-07
68,1.8875,1.8947,40467835.5105391,1.9438,1.865,1.8921,83756,2021-11-08
69,1.8947,1.779,46498799.5289741,1.8971,1.761,1.8364,112365,2021-11-09
70,1.7779,1.7029,76774246.1318592,1.9,1.5338,1.7439,149740,2021-11-10
71,1.7025,1.7552,39380303.1362062,1.7904,1.6649,1.7304,95859,2021-11-11
72,1.755,1.7163,36425676.1354986,1.777,1.6354,1.7087,79859,2021-11-12
