SHIBUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
0,0.00001,0.0000567,2011405038944,0.00009,0.000006,,161583,2021-09-09
1,0.0000567,0.00000702,3803666278890,0.00006,0.00000676,,175051,2021-09-10
2,0.00000728,0.00000677,1663194647440,0.00000735,0.00000673,,56937,2021-09-11
3,0.00000678,0.00000691,859389740690,0.00000719,0.00000664,,32182,2021-09-12
4,0.00000691,0.00000648,851872051559,0.0000071,0.00000617,,29960,2021-09-13
5,0.00000648,0.00000667,799842914475,0.0000069,0.00000644,,22461,2021-09-14
6,0.00000667,0.00000678,1354279397992,0.00000691,0.0000066,,14976,2021-09-15
7,0.00000678,0.00000881,33971466502853,0.0000134,0.00000652,,741806,2021-09-16
8,0.00000881,0.00000843,25611870030486,0.0000097,0.0000081,,736731,2021-09-17
9,0.00000844,0.00000786,8832750100865,0.00000862,0.00000761,,241146,2021-09-18
10,0.00000786,0.00000817,8445364127353,0.00000848,0.00000736,,196478,2021-09-19
11,0.00000819,0.00000702,7359714007413,0.00000824,0.00000679,,189157,2021-09-20
12,0.00000702,0.00000688,5539387125062,0.00000734,0.00000659,,153530,2021-09-21
13,0.00000688,0.00000726,4517368674647,0.00000733,0.00000684,,120999,2021-09-22
14,0.00000726,0.00000765,4500476217476,0.00000775,0.00000709,,118972,2021-09-23
15,0.00000764,0.00000739,6678475561916,0.00000788,0.00000675,,203898,2021-09-24
16,0.00000738,0.00000734,3528623592227,0.0000076,0.00000711,,139023,2021-09-25
17,0.00000734,0.00000711,2947651492617,0.00000734,0.00000682,,105039,2021-09-26
18,0.00000711,0.00000698,2944845921478,0.00000727,0.0000069,,106500,2021-09-27
19,0.00000699,0.00000698,3024049155494,0.00000718,0.00000682,,101358,2021-09-28
20,0.00000697,0.00000702,2504677982674,0.00000717,0.00000691,,91115,2021-09-29
21,0.00000702,0.00000721,3342927954876,0.00000744,0.000007,,96913,2021-09-30
22,0.00000722,0.00000772,4113210977188,0.00000782,0.00000716,,127028,2021-10-01
23,0.00000772,0.00000788,5020252027976,0.00000826,0.00000743,,140392,2021-10-02
24,0.00000787,0.00000856,8828728646898,0.00000904,0.00000765,,187379,2021-10-03
25,0.00000856,0.00001349,48519921914756,0.0000154,0.0000082,,795783,2021-10-04
26,0.00001348,0.00001734,70956971611954,0.000025,0.00001208,,1347239,2021-10-05
27,0.00001734,0.00002794,76256561739497,0.00002945,0.00001662,,1767501,2021-10-06
28,0.00002794,0.00002292,97115417041931,0.000037,0.00002029,,2348783,2021-10-07
29,0.00002292,0.00002727,53103264344107,0.0000295,0.00002057,,1154744,2021-10-08
30,0.00002729,0.00002671,27664393028438,0.00003,0.00002415,,695912,2021-10-09
31,0.00002671,0.00002616,16808821854373,0.00002782,0.0000251,,427828,2021-10-10
32,0.00002616,0.00003066,30099294306360,0.00003212,0.00002584,,758764,2021-10-11
33,0.00003066,0.00002906,21754529450821,0.00003156,0.0000273,,580314,2021-10-12
34,0.00002906,0.0000291,13679412443629,0.0000307,0.0000277,,407199,2021-10-13
35,0.0000291,0.00002742,13720215083487,0.00002984,0.0000259,,474646,2021-10-14
36,0.00002742,0.00002526,26002337404652,0.00002766,0.00002333,,694076,2021-10-15
37,0.00002526,0.00002572,10719570393974,0.00002659,0.0000247,,327998,2021-10-16
38,0.00002572,0.00002775,11829673573895,0.000029,0.00002376,,328369,2021-10-17
39,0.00002775,0.00002867,16249399760002,0.00002958,0.00002639,,468514,2021-10-18
40,0.00002868,0.00002803,7571952235394,0.00002918,0.00002751,,317717,2021-10-19
41,0.00002803,0.00002925,8198644533326,0.00002957,0.00002693,,404895,2021-10-20
42,0.00002922,0.00002747,7657666352124,0.00002925,0.00002703,,376712,2021-10-21
43,0.00002747,0.00002794,6142751018213,0.00002847,0.000027,,337525,2021-10-22
44,0.00002794,0.00003388,18655823025905,0.00003458,0.00002762,,599899,2021-10-23
45,0.00003389,0.00003607,55155530960840,0.00004559,0.00003201,,1654000,2021-10-24
46,0.00003607,0.0000423,24909275657356,0.00004364,0.00003505,,935136,2021-10-25
47,0.0000423,0.00004798,31634150643615,0.0000498,0.00004043,,1316178,2021-10-26
48,0.00004798,0.00008229,63932087951176.6,0.000088,0.00004689,0.0001,3486990,2021-10-27
49,0.00008111,0.0000689,54332343084429.9,0.00008894,0.0000552,0.0001,3375886,2021-10-28
50,0.0000688,0.0000748,25065193983165.5,0.0000779,0.0000603,0.0001,1460847,2021-10-29
51,0.0000748,0.0000654,19763966681510.8,0.000078,0.0000613,0.0001,1141588,2021-10-30
52,0.0000653,0.0000671,19514248494402.2,0.0000697,0.0000581,0.0001,927932,2021-10-31
53,0.0000671,0.0000716,16811774884603.3,0.000075,0.0000657,0.0001,873516,2021-11-01
54,0.0000716,0.0000692,13312586605321.4,0.0000731,0.0000662,0.0001,856787,2021-11-02
55,0.0000691,0.0000539,23076344801159,0.0000692,0.0000487,0.0001,1314290,2021-11-03
56,0.000054,0.0000493,34394440139786.6,0.000061,0.0000413,0.0001,1589658,2021-11-04
57,0.0000493,0.0000628,26371560231341.1,0.0000656,0.0000441,0.0001,1194342,2021-11-05
58,0.0000628,0.0000587,12592953412561.8,0.0000633,0.000055,0.0001,697113,2021-11-06
59,0.0000586,0.0000569,5954543044463.36,0.0000598,0.0000559,0.0001,396917,2021-11-07
60,0.000057,0.0000552,10131927907729.6,0.000059,0.0000525,0.0001,579094,2021-11-08
61,0.0000552,0.0000549,7871527020414.13,0.0000585,0.0000534,0.0001,518027,2021-11-09
62,0.0000549,0.0000504,12005338118142.7,0.0000552,0.00004559,0.0001,741031,2021-11-10
63,0.0000504,0.0000567,11184945680159.4,0.000058,0.0000483,0.0001,598722,2021-11-11
64,0.0000567,0.0000524,5675595596933.88,0.000057,0.0000513,0.0001,413133,2021-11-12
65,0.0000524,0.0000517,3605898052020.19,0.0000529,0.0000505,0.0001,301085,2021-11-13
66,0.0000517,0.0000532,5270914383293.93,0.0000565,0.0000515,0.0001,320101,2021-11-14
67,0.0000532,0.0000535,4525549074349.14,0.000056,0.0000523,0.0001,330839,2021-11-15
68,0.0000535,0.0000483,7926412825295.61,0.0000536,0.0000452,,529305,2021-11-16
69,0.0000484,0.0000481,6457244413071.99,0.0000499,0.0000466,,442164,2021-11-17
70,0.0000481,0.0000426,10253728328611.8,0.000049,0.0000405,,570675,2021-11-18
71,0.0000425,0.0000485,10267278333545.4,0.0000529,0.0000418,,489563,2021-11-19
72,0.0000485,0.0000477,5269540733983.36,0.0000501,0.0000456,,298636,2021-11-20
73,0.0000477,0.0000441,4251372455652.8,0.0000478,0.0000434,,290124,2021-11-21
74,0.0000441,0.0000432,4834487411892.7,0.0000463,0.0000427,,298318,2021-11-22
75,0.0000433,0.000042,4886511172945.51,0.0000446,0.0000411,,324095,2021-11-23
76,0.0000419,0.0000379,11162815429338.5,0.00004285,0.0000356,,561274,2021-11-24
77,0.0000379,0.0000428,15137969793677.4,0.0000484,0.0000376,,546535,2021-11-25
78,0.0000428,0.0000387,8369183413965.14,0.0000429,0.00003478,,404295,2021-11-26
79,0.0000387,0.0000392,5062274088228.05,0.0000418,0.0000382,,258277,2021-11-27
80,0.0000392,0.0000392,4285597630046.63,0.0000396,0.0000362,,234629,2021-11-28
81,0.0000392,0.0000454,7754689582163.48,0.000046,0.0000383,,349342,2021-11-29
82,0.0000454,0.0000475,18583434073392.9,0.000055,0.0000433,,779262,2021-11-30
83,0.0000475,0.0000442,7980095482212.98,0.0000488,0.0000435,,355084,2021-12-01
84,0.0000442,0.0000422,4931725567670.48,0.0000442,0.00004095,,256752,2021-12-02
85,0.0000423,0.0000405,6446830445299.26,0.000045,0.00003896,,294955,2021-12-03
86,0.0000405,0.0000367,8935592581975.63,0.0000405,0.00002943,,571743,2021-12-04
87,0.0000368,0.0000363,5142021363665.12,0.00003831,0.0000343,,308615,2021-12-05
88,0.0000363,0.0000369,5388054779664.12,0.0000377,0.0000328,,303328,2021-12-06
89,0.0000369,0.0000362,4384659481136.29,0.00003882,0.0000356,,252247,2021-12-07
90,0.0000363,0.000037,3617444457178.82,0.0000377,0.0000356,,197886,2021-12-08
91,0.0000369,0.0000347,3332698779167.19,0.0000373,0.0000342,,242940,2021-12-09
92,0.0000346,0.0000335,3230957058717.26,0.0000363,0.0000333,,250077,2021-12-10
93,0.0000335,0.0000345,3462628843375.22,0.0000351,0.0000331,,319744,2021-12-11
94,0.0000345,0.0000366,4034655941001.1,0.000038,0.0000338,,231066,2021-12-12
95,0.0000367,0.0000329,4333470315559.07,0.0000369,0.0000316,,263927,2021-12-13
96,0.000033,0.000034,3907555597200.45,0.00003561,0.0000324,,255608,2021-12-14
97,0.0000339,0.0000339,2983893868099.41,0.0000344,0.0000319,,257640,2021-12-15
98,0.0000339,0.0000328,2500537267563.4,0.0000347,0.0000326,,174305,2021-12-16
99,0.0000327,0.0000312,3176081836452.48,0.0000332,0.0000303,,224995,2021-12-17
100,0.0000312,0.0000314,1983963822204.34,0.0000322,0.0000308,,153175,2021-12-18
101,0.0000315,0.0000307,2030771530266.79,0.0000319,0.0000306,,133423,2021-12-19
102,0.0000308,0.0000313,5346925249882.65,0.0000339,0.0000282,,273081,2021-12-20
103,0.0000313,0.0000329,3997315184481.75,0.0000335,0.000031,,208466,2021-12-21
104,0.0000328,0.000035,7045365565261.85,0.0000379,0.0000325,,287351,2021-12-22
105,0.000035,0.0000387,4721138138559.77,0.000039,0.0000343,,248230,2021-12-23
106,0.0000387,0.0000362,4667825090924.86,0.00004,0.0000357,,246554,2021-12-24
107,0.0000362,0.0000378,2670465581997.54,0.0000384,0.0000359,,145271,2021-12-25
108,0.0000378,0.0000383,2854166416480.97,0.000039,0.0000366,,146136,2021-12-26
109,0.0000383,0.0000391,2568258157030.34,0.0000395,0.0000377,,166198,2021-12-27
110,0.000039,0.0000349,6105264522914.86,0.0000391,0.0000341,,216798,2021-12-28
111,0.0000349,0.0000337,3437761901482.42,0.0000363,0.000033,,163623,2021-12-29
112,0.0000336,0.0000338,2673309269516.59,0.0000344,0.0000329,,145767,2021-12-30
113,0.0000338,0.0000334,2701527395816.27,0.0000347,0.0000326,,139713,2021-12-31
114,0.0000334,0.0000341,1990856859210.58,0.0000342,0.0000333,,109884,2022-01-01
115,0.0000342,0.0000341,1487511767375.05,0.0000345,0.0000334,,109711,2022-01-02
116,0.0000341,0.0000331,2309677395382.04,0.0000341,0.0000319,,132064,2022-01-03
117,0.000033,0.0000325,2231469906308.85,0.0000336,0.00003229,,129900,2022-01-04
118,0.0000325,0.0000304,3362648421381.29,0.000033,0.0000286,,199330,2022-01-05
119,0.0000304,0.0000307,4679310815101.77,0.0000319,0.0000291,,212818,2022-01-06
120,0.0000308,0.0000291,3888867432001.87,0.0000309,0.0000285,,203219,2022-01-07
121,0.000029,0.0000277,3597066611411.55,0.00003,0.0000264,,196414,2022-01-08
122,0.0000278,0.0000283,2701756806768.02,0.0000291,0.0000275,,147202,2022-01-09
123,0.0000282,0.0000267,3337630587317.2,0.0000288,0.00002542,,169327,2022-01-10
124,0.0000267,0.0000277,2516359115028.12,0.0000283,0.0000263,,150155,2022-01-11
125,0.0000277,0.0000314,5461284168507.44,0.0000327,0.0000275,,222830,2022-01-12
126,0.0000314,0.0000296,4794860638814.17,0.0000329,0.0000292,,194820,2022-01-13
127,0.0000297,0.0000307,5497601717080.26,0.0000326,0.0000293,,177149,2022-01-14
128,0.0000307,0.0000309,2238238271329.41,0.0000316,0.0000305,,109965,2022-01-15
129,0.0000309,0.0000305,2172972579182.11,0.000031,0.0000301,,98642,2022-01-16
130,0.0000306,0.0000288,3214636086656.75,0.0000306,0.0000282,,126051,2022-01-17
131,0.0000289,0.0000281,3449579169469.6,0.0000296,0.0000274,,132391,2022-01-18
132,0.000028,0.0000272,3247239446358.71,0.0000283,0.0000271,,121170,2022-01-19
133,0.0000272,0.0000264,3194766825531,0.0000289,0.0000262,,132241,2022-01-20
134,0.0000264,0.0000223,7942678116339.86,0.0000269,0.0000216,,290909,2022-01-21
135,0.0000223,0.0000206,10137790267266.8,0.0000226,0.000017,,363312,2022-01-22
136,0.0000206,0.0000224,12581144912184.5,0.0000237,0.0000204,,243055,2022-01-23
137,0.0000224,0.0000212,10513257518362.3,0.0000232,0.0000186,,219432,2022-01-24
138,0.0000212,0.000021,5612444067126.83,0.0000217,0.0000201,,156767,2022-01-25
139,0.0000211,0.00002111,6343418596791.88,0.0000236,0.0000205,,166090,2022-01-26
140,0.0000212,0.0000213,5694449045695.24,0.0000218,0.0000199,,135110,2022-01-27
141,0.0000213,0.0000213,3008498625762.54,0.0000215,0.0000203,,133897,2022-01-28
142,0.0000213,0.0000217,2750982463563.45,0.0000224,0.0000211,,116475,2022-01-29
143,0.0000217,0.0000211,2388935580158.04,0.0000223,0.0000208,,101079,2022-01-30
144,0.0000212,0.00002145,3855528454849.54,0.0000216,0.0000201,,103640,2022-01-31
145,0.00002146,0.0000217,4290562838147.3,0.000022,0.00002114,,123460,2022-02-01
146,0.00002169,0.00002062,2935461877940.29,0.0000219,0.00002028,,128511,2022-02-02
147,0.00002063,0.00002077,2335728267533.73,0.00002085,0.00002012,,107413,2022-02-03
148,0.00002076,0.00002222,2743054181496.84,0.00002234,0.00002052,,136384,2022-02-04
