SUSHIUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
0,12.047,13.846,3357969.25859025,13.95,11.69,12.9883,71096,2021-09-01
1,13.853,13.106,1384166.38243131,13.939,12.923,13.3121,38219,2021-09-02
2,13.116,13.09,1212913.39023116,13.568,12.762,13.1385,38592,2021-09-03
3,13.091,13.092,903405.928539462,13.32,12.828,13.0761,27163,2021-09-04
4,13.108,14.283,1449796.96631824,14.289,12.985,13.8447,30942,2021-09-05
5,14.28,13.627,1161444.3273033,14.304,13.269,13.8053,26849,2021-09-06
6,13.63,10.907,3781007.78684425,13.817,9.32088,11.7352,61266,2021-09-07
7,10.93,11.294,2679158.77657456,11.64,10.079,10.8943,46151,2021-09-08
8,11.329,10.994,1845419.2049809,11.92,10.952,11.3954,35986,2021-09-09
9,11.006,10.134,1779043.08735557,11.408,9.7976,10.6038,37361,2021-09-10
10,10.135,10.568,1186198.12182756,10.885,10.06,10.4718,22165,2021-09-11
11,10.568,11.877,2321744.13619972,11.942,10.325,11.3212,36908,2021-09-12
12,11.877,11.083,2966882.14896886,12.061,10.056,10.7959,56497,2021-09-13
13,11.085,13.196,3246799.9827981,13.308,10.982,12.1281,50928,2021-09-14
14,13.205,15.17,4694669.07264296,16,12.58626,14.0858,87879,2021-09-15
15,15.161,14.918,5198289.36063385,16.164,14.319,15.2417,103856,2021-09-16
16,14.918,12.516,6881269.12325101,15.258,12.291,13.5545,98001,2021-09-17
17,12.525,12.687,3718607.64260053,13.296,12.106,12.7241,56540,2021-09-18
18,12.689,12.047,1755709.00223274,12.72,11.781,12.1756,29975,2021-09-19
19,12.053,10.315,4012125.51509715,12.101,9.903,10.8529,59633,2021-09-20
20,10.309,9.231,4205991.36168157,10.878,8.9,9.9251,64941,2021-09-21
21,9.23,10.521,2818417.32454764,10.697,9.066,9.9645,38532,2021-09-22
22,10.524,10.639,2625041.45126264,10.912,10.13,10.4919,37398,2021-09-23
23,10.636,9.681,2875963.92670219,10.653,8.9394,9.6904,40105,2021-09-24
24,9.676,9.516,1732095.28005837,9.8245,9.071,9.5215,24313,2021-09-25
25,9.507,11.398,5505879.23122313,11.577,8.5,10.4717,68865,2021-09-26
26,11.403,10.02,2750742.45330057,11.952,9.968,10.9733,41486,2021-09-27
27,10.004,9.674,2244774.06140913,10.407,9.567,10.0127,31316,2021-09-28
28,9.678,9.507,2126118.13324248,10.081,9.219,9.6636,24135,2021-09-29
29,9.503,10.153,1493029.16845821,10.174,9.455,9.9211,19489,2021-09-30
30,10.156,10.831,1873034.54896571,10.973,10.048,10.5907,23501,2021-10-01
31,10.831,10.9,1295948.59289514,11.312,10.5,10.9764,19564,2021-10-02
32,10.892,10.818,1032596.10233309,11.182,10.662,10.9379,15226,2021-10-03
33,10.818,10.359,1415306.86164982,10.818,10.061,10.4408,20351,2021-10-04
34,10.374,10.847,1669894.6305838,10.926,10.281,10.5193,21997,2021-10-05
35,10.85,10.522,2260673.85492118,11.001,9.89,10.6089,30767,2021-10-06
36,10.529,10.791,1449427.4450556,11.14,10.23,10.6509,23204,2021-10-07
37,10.794,10.734,1671944.05443622,11.518,10.666,11.0894,25740,2021-10-08
38,10.742,10.95,595208.033930542,10.977,10.573,10.8279,10135,2021-10-09
39,10.949,10.265,894290.523856593,11.139,10.192,10.7647,16086,2021-10-10
40,10.245,10.331,1040682.68523226,10.85,9.986,10.4154,16197,2021-10-11
41,10.335,10.045,1154602.77835872,10.345,9.665,9.9541,16910,2021-10-12
42,10.044,10.259,1858302.35941003,10.76595,9.748,10.1892,26154,2021-10-13
43,10.259,10.753,1437181.97636787,10.92632,10.098,10.4909,19850,2021-10-14
44,10.775,11.089,1570186.11566813,11.33,10.357,10.8584,23524,2021-10-15
45,11.085,11.396,1877752.46491675,11.884,10.885,11.5205,26487,2021-10-16
46,11.393,11.132,1290363.97148026,11.788,10.708,11.3228,19656,2021-10-17
47,11.145,10.799,677574.616206358,11.337,10.707,10.9525,11695,2021-10-18
48,10.799,10.726,926785.497426303,11.03,10.471,10.7581,15202,2021-10-19
49,10.724,11.529,1113063.3032566,11.602,10.482,11.1412,24894,2021-10-20
50,11.539,10.898,1412239.30032273,11.715,10.76,11.2744,32301,2021-10-21
51,10.902,10.693,783674.289263229,11.378,10.579,10.9228,18366,2021-10-22
52,10.692,10.994,621572.688316347,11.052,10.527,10.7785,14535,2021-10-23
53,10.997,10.532,1229597.66786237,11.144,10.234,10.6983,18144,2021-10-24
54,10.537,10.762,720495.142650425,10.774,10.486,10.6436,11243,2021-10-25
55,10.769,11.373,3559501.40184893,12.168,10.73526,11.5309,43879,2021-10-26
56,11.374,10.14,3240271.61379626,12.238,10.103,10.9994,44006,2021-10-27
57,10.154,10.974,1878577.26913528,11.04937,10.09,10.6753,26017,2021-10-28
58,10.974,11.468,1638864.05874933,11.793,10.888,11.4135,26836,2021-10-29
59,11.478,11.097,1181998.5036268,11.48,10.817,11.1126,17578,2021-10-30
60,11.075,10.898,1491484.79506281,11.294,10.575,10.909,19757,2021-10-31
61,10.88,12.75,5630990.0081281,13.113,10.556,12.1951,71480,2021-11-01
62,12.75,12.127,2188855.33231644,12.984,12.078,12.4361,35253,2021-11-02
63,12.13,13.435,3326329.76149224,13.45,11.876,12.6251,50622,2021-11-03
64,13.437,12.948,1971388.33652682,13.444,12.07,12.6837,31348,2021-11-04
65,12.942,12.147,1280498.61521251,13.306,12.125,12.6015,20768,2021-11-05
66,12.149,11.831,1333277.44702973,12.24695,11.32,11.7941,24394,2021-11-06
67,11.848,12.091,1076243.22799387,12.274,11.563,11.9336,17088,2021-11-07
68,12.105,12.313,904022.68764276,12.333,11.942,12.1283,15473,2021-11-08
69,12.308,11.959,1289331.72943036,12.45575,11.951,12.1985,20531,2021-11-09
70,11.979,11.09,3308441.56728815,12.259,10.49798,11.3952,39298,2021-11-10
71,11.09,11.145,809130.271654894,11.409,10.919,11.1759,15577,2021-11-11
72,11.14,10.975,1089762.95474397,11.392,10.555,10.9541,17820,2021-11-12
73,10.978,11.187,720221.771289183,11.218,10.704,11.0008,11562,2021-11-13
74,11.189,11.058,450021.602105373,11.302,10.762,11.0301,9131,2021-11-14
75,11.053,10.341,1194123.68068051,11.217,10.321,10.7652,16557,2021-11-15
76,10.334,9.651,2526544.49149748,10.347,9.13033,9.7789,34685,2021-11-16
77,9.666,9.742,1036668.06721729,10.105,9.516,9.8147,18063,2021-11-17
78,9.743,8.788,2702329.76988978,10.144,8.617,9.2312,35439,2021-11-18
79,8.798,9.01,1489737.11196608,9.345,8.637,8.9756,19617,2021-11-19
80,9.01,9.05,1422261.28257807,9.246,8.71,8.9881,18210,2021-11-20
81,9.052,8.743,1314610.68056882,9.1781,8.679,8.9123,18649,2021-11-21
82,8.758,8.2278,2281783.21818322,8.778,8.11889,8.3671,27587,2021-11-22
83,8.229,8.374,1491687.6152389,8.661,8.133,8.4425,20714,2021-11-23
84,8.376,7.953,1816666.26939214,8.4547,7.8257,8.0429,22395,2021-11-24
85,7.9465,8.2072,2392519.4586814,8.4154,7.657,8.0713,28394,2021-11-25
86,8.2084,7.031,5195434.92151606,8.427,6.863,7.3431,53076,2021-11-26
87,7.035,7.053,1730768.96731203,7.344,6.961,7.1828,19213,2021-11-27
88,7.045,7.955,4705013.4534214,8.05,6.654,7.4118,48286,2021-11-28
89,7.952,7.47,3755258.65138066,8.1876,7.453,7.7976,43952,2021-11-29
90,7.465,8.013,2297909.9010946,8.066,7.185,7.6312,25783,2021-11-30
91,8.008,7.556,2005855.29264513,8.198,7.521,7.9129,25242,2021-12-01
92,7.558,7.374,1628567.92212995,7.62614,7.1865,7.4384,19530,2021-12-02
93,7.3721,6.827,1941840.72707135,7.484,6.6124,7.1227,20734,2021-12-03
94,6.8257,5.832,5433758.54886309,6.877,0.51,5.7554,56687,2021-12-04
95,5.839,5.283,3690693.30418372,5.976,5.088,5.4704,31938,2021-12-05
96,5.286,6.335,6182483.65661386,6.477,4.806,5.5373,47043,2021-12-06
97,6.334,5.8704,3684472.9746724,6.455,5.78,6.1429,35042,2021-12-07
98,5.872,6.639,5704974.36932997,6.951,5.644,6.2142,43087,2021-12-08
99,6.633,5.5022,2948306.49773161,6.651,5.42,5.9218,24313,2021-12-09
100,5.5032,5.09,2947226.11764782,5.77,5.06,5.3293,21532,2021-12-10
101,5.0915,5.7316,2655932.24961717,5.78,5,5.4794,18875,2021-12-11
102,5.7331,5.58,1153057.08552698,5.74,5.33,5.5345,9106,2021-12-12
103,5.59,5.65,7107928.69299529,6.37,5.25405,5.881,53430,2021-12-13
104,5.64,5.74,3590126.18926315,5.94,5.35,5.6686,26298,2021-12-14
105,5.74,5.9524,3188664.69776995,6.16,5.61,5.9095,24286,2021-12-15
106,5.94,5.6938,1834400.75288352,6.21,5.65,5.9463,13729,2021-12-16
107,5.7,5.5148,1799497.79325092,5.85,5.35,5.5779,12746,2021-12-17
108,5.51,5.61,2821299.17239324,5.93,5.45,5.664,16236,2021-12-18
109,5.61,5.3348,1729141.62465719,5.64,5.3,5.5042,10289,2021-12-19
110,5.34,5.483,1742104.08159428,5.53,5.09,5.3106,9767,2021-12-20
111,5.48,5.8464,3809937.740574,5.87,5.33,5.562,18220,2021-12-21
112,5.84,6.36,4510751.04798328,6.5129,5.61,6.0187,29670,2021-12-22
113,6.36,7.3,7189072.58157609,7.49,6.2299,6.8516,56203,2021-12-23
114,7.32,7.94,7440153.68012072,8,7.04,7.5945,46987,2021-12-24
115,7.95,7.65,3245007.2001058,8.163,7.23,7.6354,24496,2021-12-25
116,7.6464,7.93,3158906.19361081,7.97,7.14,7.6536,23973,2021-12-26
117,7.94,9.15,6210261.74913145,9.59,7.6123,8.9261,55894,2021-12-27
118,9.15,9.06,9698580.68512801,10.07,8.42,9.183,83978,2021-12-28
119,9.06,9.26,5853191.06570971,10.03,8.7323,9.3598,51686,2021-12-29
120,9.26,10.25,5724677.82970376,10.69603,8.78,9.8191,59046,2021-12-30
121,10.25,9.4227,4322038.6399987,10.413,9.33,9.8559,48395,2021-12-31
122,9.41,9.14,2596935.13100026,9.5,9,9.2552,27427,2022-01-01
123,9.13,8.93,2331753.12538201,9.38,8.8,9.0897,25474,2022-01-02
124,8.93,8.51,2594045.94440496,9.45,8.44,8.9349,29413,2022-01-03
125,8.51,8.07,7324421.09944413,8.7809,7.93,8.31,54000,2022-01-04
126,8.08,7.6465,5241882.79616827,9.05,7.24,8.315,48824,2022-01-05
127,7.6465,7.4413,2863293.36763087,7.84,7.1,7.4301,25258,2022-01-06
128,7.44,7.17,5051806.32144004,7.47,6.4,6.8503,36862,2022-01-07
129,7.18,6.56,2239875.47029476,7.33,6.29,6.8124,19756,2022-01-08
130,6.55,6.93,2383466.22689398,7.21,6.52,6.8829,15694,2022-01-09
131,6.93,6.56,2563580.75450597,7.22,6.22,6.6748,18761,2022-01-10
132,6.6,6.9941,1800191.96039952,7.11,6.47,6.8198,14427,2022-01-11
133,7,7.1099,2091034.271088,7.3,6.93,7.1179,15209,2022-01-12
134,7.1098,7.03,2470781.93672278,7.56,6.83,7.2332,19925,2022-01-13
135,7.03,7.03,1581827.83463783,7.36,6.72,7.0219,12706,2022-01-14
136,7.0262,7.0386,962185.435029291,7.22,6.96,7.0991,8939,2022-01-15
137,7.0264,6.9721,784124.943655667,7.09,6.858,6.9744,8095,2022-01-16
138,6.98,6.4397,1534011.77091842,6.98,6.32,6.5835,12943,2022-01-17
139,6.4397,6.21,1564911.97114558,6.58,6.01,6.2345,12243,2022-01-18
140,6.2155,6.0501,1608828.64496388,6.25,5.91,6.0732,11625,2022-01-19
141,6.0462,5.81,1986421.95431183,6.5915,5.7667,6.1968,14908,2022-01-20
142,5.8111,4.96,4839275.80264575,5.94,4.7752,5.4208,28340,2022-01-21
143,4.9522,4.4138,3920958.90962877,5.12,3.9691,4.5392,31381,2022-01-22
144,4.4184,4.66,1743905.80183746,4.7874,4.31,4.5447,14757,2022-01-23
145,4.66,4.4012,3295087.97122139,4.66,3.78,4.1408,22550,2022-01-24
146,4.4018,4.54,1633365.69091,4.66,4.26,4.461,14044,2022-01-25
147,4.53,4.2627,3395005.84916784,4.81,4.1194,4.428,22687,2022-01-26
148,4.27,4.0557,2741638.76306858,4.2908,3.85,4.0806,20420,2022-01-27
149,4.06,4.16,2435153.14024994,4.2141,3.9372,4.0937,16091,2022-01-28
150,4.1594,4.1866,1747063.2587702,4.41,4.11,4.21,11575,2022-01-29
151,4.19,4.09,1286519.3397669,4.36,4,4.1652,9947,2022-01-30
152,4.09,4.2287,1900991.33857571,4.31,3.87,4.1038,12926,2022-01-31
153,4.222,4.3552,2807081.90742754,4.5,4.2,4.3632,15629,2022-02-01
154,4.36,4.09,1952652.74849534,4.45,4.03,4.2674,12792,2022-02-02
155,4.09,4.098,1396853.75755195,4.1349,3.93,4.0358,9908,2022-02-03
156,4.098,4.47,1429474.59174101,4.48,4.04,4.2155,10131,2022-02-04
157,4.47,4.6832,2679330.73360512,4.91,4.42,4.7151,18599,2022-02-05
158,4.6828,4.8064,1400885.08393998,4.82,4.47,4.6615,10640,2022-02-06
159,4.81,4.9645,2174681.99232307,4.9713,4.67,4.8499,15885,2022-02-07
160,4.97,4.65,2326083.36286203,5.09,4.51,4.7445,15727,2022-02-08
161,4.65,4.7634,1663318.61589041,4.8,4.54,4.6882,10239,2022-02-09
162,4.7609,4.4058,2331847.4689442,4.84,4.3659,4.6157,15284,2022-02-10
163,4.4087,4.1,2678728.08890611,4.52,4.04,4.3024,15182,2022-02-11
164,4.0992,4.1573,2279416.78357807,4.28,4.01,4.1453,12331,2022-02-12
165,4.1568,4.03,1306085.49023293,4.2521,3.98,4.1147,8026,2022-02-13
166,4.0333,4.07,1262600.79364745,4.13,3.9398,4.0418,9345,2022-02-14
167,4.07,4.43,1286128.73797007,4.4523,4.06,4.2526,9035,2022-02-15
168,4.4303,4.3002,1506454.90010497,4.44,4.1883,4.3331,10018,2022-02-16
169,4.3033,3.9519,2251915.48035767,4.34,3.9,4.1143,15000,2022-02-17
170,3.95,3.901,2201757.7152029,4.1,3.8203,3.9398,12850,2022-02-18
171,3.8992,3.8666,1610754.35516569,3.96,3.74,3.8578,8749,2022-02-19
172,3.87,3.6322,1955312.32916499,3.87,3.5594,3.6772,11105,2022-02-20
173,3.6383,3.28,2395571.05590189,3.81,3.2589,3.5579,13990,2022-02-21
174,3.26,3.4012,2081757.37987273,3.41,3.14,3.2799,13990,2022-02-22
175,3.39,3.28,1587173.65704322,3.5603,3.27,3.4295,10244,2022-02-23
176,3.28,3.1431,5173352.56862658,3.3,2.75,2.987,29288,2022-02-24
177,3.14,3.3,2817298.34321601,3.36,3.08,3.2032,16899,2022-02-25
178,3.305,3.2509,1602269.9733929,3.4228,3.21,3.3099,9827,2022-02-26
179,3.256,3.1244,2293891.40395104,3.4511,3.0665,3.2364,13449,2022-02-27
