VETUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
0,0.12249,0.13742,3858782.00694481,0.13963,0.11952,0.131,573,2021-09-01
1,0.13781,0.14385,4414033.13944015,0.1481,0.13457,0.1438,592,2021-09-02
2,0.14276,0.14356,2206104.93981813,0.1478,0.13919,0.1438,415,2021-09-03
3,0.1443,0.14425,2121592.80565999,0.15301,0.14237,0.1481,409,2021-09-04
4,0.14434,0.1525,3326549.82254912,0.154,0.14432,0.1503,409,2021-09-05
5,0.15356,0.1494,2913167.50689558,0.157,0.14631,0.1518,450,2021-09-06
6,0.1494,0.12246,29416942.2037433,0.15271,0.096845,0.1256,2703,2021-09-07
7,0.12324,0.11852,1457742.03213297,0.12615,0.10626,0.1169,329,2021-09-08
8,0.11912,0.12154,1973575.89963028,0.12747,0.11722,0.1227,347,2021-09-09
9,0.12291,0.11224,814154.79682455,0.127,0.11056,0.1176,221,2021-09-10
10,0.113,0.11511,856616.34212557,0.11894,0.11156,0.117,175,2021-09-11
11,0.1153,0.12001,1138732.87205782,0.124,0.11309,0.1179,223,2021-09-12
12,0.12085,0.11252,2468023.8551146,0.12148,0.10853,0.1125,294,2021-09-13
13,0.11374,0.11711,2805709.85125598,0.11823,0.11228,0.1171,435,2021-09-14
14,0.11773,0.12237,1343599.46615982,0.12328,0.11531,0.121,495,2021-09-15
15,0.12206,0.11679,4145370.07820658,0.12316,0.11442,0.1184,824,2021-09-16
16,0.11676,0.11165,2530752.91908758,0.11783,0.11063,0.1158,685,2021-09-17
17,0.11142,0.11289,507611.93301864,0.11603,0.11031,0.1139,333,2021-09-18
18,0.11266,0.10815,679837.35758483,0.11399,0.10679,0.1102,402,2021-09-19
19,0.10772,0.091687,7104246.71660167,0.10773,0.08865,0.0946,1089,2021-09-20
20,0.092088,0.086413,4806395.9801052,0.09724,0.08442,0.0917,951,2021-09-21
21,0.086069,0.09934,1657240.28167922,0.099398,0.085125,0.0933,669,2021-09-22
22,0.09966,0.10156,1985699.37759824,0.10276,0.097272,0.1007,509,2021-09-23
23,0.10282,0.092522,1740077.25080187,0.10282,0.08866,0.0942,717,2021-09-24
24,0.092181,0.090319,2419172.02326169,0.093773,0.088819,0.0911,544,2021-09-25
25,0.090366,0.091619,2377646.39804487,0.093147,0.084695,0.0893,564,2021-09-26
26,0.09143,0.086441,1023554.58422781,0.094154,0.086441,0.0899,399,2021-09-27
27,0.08658,0.08173,4810246.71709628,0.088585,0.08173,0.0844,597,2021-09-28
28,0.081883,0.08447,3164607.31663641,0.08741,0.081745,0.085,650,2021-09-29
29,0.08448,0.096111,4025239.79752606,0.096111,0.08442,0.0898,454,2021-09-30
30,0.09644,0.10827,8101363.35854683,0.11117,0.095269,0.1041,744,2021-10-01
31,0.10948,0.11125,7034834.74849241,0.11648,0.1061,0.1136,822,2021-10-02
32,0.11181,0.11055,4943228.78683651,0.11453,0.10852,0.111,813,2021-10-03
33,0.11028,0.1096,4240467.3141549,0.11268,0.10438,0.1087,809,2021-10-04
34,0.1095,0.11332,4843938.77390738,0.11588,0.10871,0.1121,840,2021-10-05
35,0.11385,0.11257,7286444.85788358,0.11487,0.10541,0.111,982,2021-10-06
36,0.11224,0.11176,4976098.596219,0.1178,0.10936,0.1128,987,2021-10-07
37,0.11169,0.11144,2769150.08742185,0.11534,0.11079,0.1137,630,2021-10-08
38,0.11136,0.11909,3574637.26621901,0.12308,0.10958,0.1182,930,2021-10-09
39,0.11906,0.11048,2280272.35215759,0.11921,0.10982,0.115,669,2021-10-10
40,0.1101,0.10912,13472353.5421041,0.11516,0.10677,0.1116,1487,2021-10-11
41,0.10891,0.10635,5077560.97652343,0.10891,0.10054,0.1048,895,2021-10-12
42,0.10664,0.11552,1649332.88207136,0.11602,0.1048,0.1081,519,2021-10-13
43,0.11546,0.11905,5815239.2237275,0.12247,0.11546,0.1194,892,2021-10-14
44,0.11912,0.11974,3554067.6681131,0.12524,0.11277,0.1184,815,2021-10-15
45,0.1199,0.11999,2959598.15381141,0.12431,0.1186,0.1205,659,2021-10-16
46,0.11967,0.12225,2580235.53777763,0.12782,0.11751,0.1216,730,2021-10-17
47,0.12245,0.11829,3740897.44723979,0.12359,0.1169,0.1188,599,2021-10-18
48,0.11855,0.11609,3532361.76350262,0.11923,0.11474,0.1164,700,2021-10-19
49,0.11614,0.1221,3257098.57701067,0.12299,0.11515,0.1195,722,2021-10-20
50,0.12258,0.12895,9886356.31533823,0.13579,0.1221,0.1292,1862,2021-10-21
51,0.12936,0.13006,4933620.32977973,0.13689,0.12686,0.1324,1304,2021-10-22
52,0.1299,0.13594,2262169.41987324,0.13859,0.12882,0.1348,859,2021-10-23
53,0.13605,0.13273,3596270.34410538,0.13919,0.12875,0.1338,934,2021-10-24
54,0.13236,0.1427,5545885.36241764,0.14308,0.13121,0.1382,1015,2021-10-25
55,0.14275,0.14019,3429962.18273179,0.14777,0.13936,0.143,1061,2021-10-26
56,0.13992,0.12402,14257403.5876993,0.14299,0.11724,0.1276,2399,2021-10-27
57,0.12435,0.13008,4646348.16781687,0.13358,0.12381,0.1286,1124,2021-10-28
58,0.13039,0.13732,2952347.16019012,0.13849,0.12981,0.1341,894,2021-10-29
59,0.1375,0.13083,3818515.1714726,0.13856,0.12743,0.1339,896,2021-10-30
60,0.13081,0.13311,3740362.94788092,0.13523,0.12637,0.1314,905,2021-10-31
61,0.13247,0.13687,4551195.30196068,0.13762,0.1279,0.1339,1039,2021-11-01
62,0.13632,0.14046,2502809.44762874,0.14286,0.13347,0.1398,913,2021-11-02
63,0.14032,0.13708,3380502.11784632,0.14086,0.13237,0.1364,999,2021-11-03
64,0.13679,0.15301,6079014.33825112,0.15334,0.13547,0.1458,1992,2021-11-04
