XRPUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
0,1.1862,1.2364,62570830.9113388,1.2381,1.1589,1.1996,52382,2021-09-01
1,1.2364,1.2531,66756742.1262686,1.2962,1.22233,1.2621,53263,2021-09-02
2,1.2535,1.291,72448891.9184761,1.3237,1.2202,1.284,64960,2021-09-03
3,1.2909,1.2552,32929076.6123979,1.29777,1.23527,1.2666,35304,2021-09-04
4,1.2547,1.3086,29428740.596873,1.3133,1.2364,1.278,30624,2021-09-05
5,1.3074,1.39,107312362.818531,1.4162,1.3071,1.3646,75075,2021-09-06
6,1.39,1.1283,291369903.41619,1.39322,0.91,1.1689,158253,2021-09-07
7,1.12953,1.1004,102982813.739528,1.148,1.01291,1.0862,90833,2021-09-08
8,1.10069,1.08702,55529174.7265548,1.13805,1.0728,1.1061,50322,2021-09-09
9,1.08726,1.0551,143352359.145631,1.2451,1.0295,1.1092,107232,2021-09-10
10,1.0551,1.0797,33279498.4559872,1.113,1.0506,1.0838,37989,2021-09-11
11,1.0796,1.1189,31776145.7241569,1.1274,1.058,1.0984,31714,2021-09-12
12,1.1175,1.065,57058409.5568667,1.1264,1.02285,1.0596,47499,2021-09-13
13,1.0644,1.0978,32278372.6320737,1.0985,1.0565,1.0763,28654,2021-09-14
14,1.0969,1.1221,34472283.4400583,1.13048,1.0783,1.1015,29025,2021-09-15
15,1.1216,1.0905,45995535.1686017,1.1312,1.06601,1.0934,36439,2021-09-16
16,1.0905,1.0668,36584941.0559959,1.103,1.0513,1.0718,35837,2021-09-17
17,1.067,1.0758,21751992.8240053,1.0953,1.05663,1.0806,20872,2021-09-18
18,1.0754,1.048,19032830.8150406,1.0841,1.037,1.0622,22556,2021-09-19
19,1.0482,0.92113,126088526.203283,1.04991,0.87495,0.9467,92864,2021-09-20
20,0.92248,0.87444,82738717.8637725,0.95955,0.8577,0.9142,67778,2021-09-21
21,0.87497,1.0037,69174265.2822334,1.0098,0.86784,0.9525,56968,2021-09-22
22,1.0033,1.0023,35563630.894138,1.01783,0.96828,0.9925,33476,2021-09-23
23,1.0019,0.94504,70030479.4239806,1.00366,0.886,0.9334,60618,2021-09-24
24,0.94501,0.941,25726271.8327916,0.95845,0.9168,0.9401,31601,2021-09-25
25,0.94067,0.9454,38875439.4660383,0.95786,0.89268,0.9308,39044,2021-09-26
26,0.94428,0.92198,35801088.020261,0.98193,0.92005,0.9566,34399,2021-09-27
27,0.922,0.8936,35231646.610464,0.94361,0.89,0.9205,26213,2021-09-28
28,0.89356,0.92788,55356996.6059619,0.99362,0.88657,0.9338,39312,2021-09-29
29,0.9267,0.9537,33060758.3464152,0.96438,0.92129,0.9446,26830,2021-09-30
30,0.95379,1.0423,65971995.2918269,1.07,0.9444,1.0134,54076,2021-10-01
31,1.0427,1.0362,32832405.9957226,1.0727,1.00829,1.0371,33910,2021-10-02
32,1.0359,1.0561,38260161.4760447,1.0892,1.021,1.0596,37123,2021-10-03
33,1.0561,1.0434,45026212.8484327,1.06078,1.0059,1.036,40075,2021-10-04
34,1.04372,1.0851,48665309.6968722,1.089,1.03817,1.06,39612,2021-10-05
35,1.0847,1.0764,57421485.6721865,1.1081,1.0179,1.0701,43647,2021-10-06
36,1.0765,1.0674,35242830.5220477,1.09437,1.0435,1.0719,31646,2021-10-07
37,1.0679,1.063,31821617.4614763,1.0925,1.04573,1.0723,27101,2021-10-08
38,1.0639,1.1608,74483931.4254149,1.20913,1.0564,1.1414,60427,2021-10-09
39,1.16109,1.13588,74164625.8830715,1.23,1.1266,1.1775,65586,2021-10-10
40,1.1356,1.1365,48810006.0047816,1.1822,1.1026,1.1498,39399,2021-10-11
41,1.1366,1.10168,52827780.9698636,1.1366,1.0632,1.0943,43465,2021-10-12
42,1.1015,1.1278,39240043.4804424,1.1392,1.0748,1.1022,24570,2021-10-13
43,1.1277,1.1339,33465011.4759394,1.158,1.11737,1.1324,27957,2021-10-14
44,1.1341,1.1418,62185845.7803781,1.16665,1.0919,1.1285,49460,2021-10-15
45,1.1423,1.13333,43466197.2202521,1.1869,1.12948,1.1506,32049,2021-10-16
46,1.135,1.0942,53787394.0008404,1.14023,1.0171,1.095,42036,2021-10-17
47,1.0938,1.0832,51177075.8010315,1.1072,1.064,1.0872,35758,2021-10-18
48,1.08261,1.0911,30099049.5018117,1.1015,1.064,1.0855,23836,2021-10-19
49,1.0911,1.146,45351546.9535039,1.1531,1.08687,1.1273,37003,2021-10-20
50,1.1464,1.0885,78196127.7552464,1.16792,1.08446,1.1289,58316,2021-10-21
51,1.0887,1.0889,40385038.3171211,1.1285,1.071,1.0978,34867,2021-10-22
52,1.0887,1.0937,19587760.2501842,1.10167,1.07558,1.0888,18988,2021-10-23
53,1.0936,1.0826,25205773.6664741,1.0962,1.0483,1.078,22455,2021-10-24
54,1.0821,1.0955,24246823.609836,1.1037,1.0778,1.0926,21658,2021-10-25
55,1.09539,1.10719,53414171.2951765,1.16,1.0887,1.1198,46490,2021-10-26
56,1.1068,0.99449,103371914.391177,1.1249,0.94694,1.0299,82780,2021-10-27
57,0.99512,1.0583,69274908.8145261,1.08178,0.9808,1.0446,51724,2021-10-28
58,1.0584,1.0818,42053672.9509297,1.09107,1.05329,1.071,29223,2021-10-29
59,1.082,1.0849,34113887.7209637,1.11696,1.0616,1.0854,25646,2021-10-30
60,1.0853,1.11333,65842006.9533917,1.15519,1.06933,1.105,41433,2021-10-31
61,1.1135,1.0917,50329011.1386432,1.133,1.0702,1.0929,27817,2021-11-01
62,1.0924,1.1353,54539713.2027542,1.14776,1.0858,1.1169,33429,2021-11-02
63,1.1358,1.21022,89772917.4264049,1.23623,1.127,1.1861,75504,2021-11-03
64,1.2106,1.2011,70224658.4540506,1.25818,1.1621,1.2029,53553,2021-11-04
65,1.20199,1.1592,45656819.2874266,1.20199,1.13176,1.1705,37436,2021-11-05
66,1.1588,1.1523,31451864.2287398,1.17811,1.0971,1.1415,27414,2021-11-06
67,1.1512,1.2192,55787407.2157216,1.23862,1.1457,1.1985,37453,2021-11-07
68,1.2202,1.28249,81185976.7817571,1.29715,1.21975,1.2636,63260,2021-11-08
69,1.2815,1.2577,88488773.0137002,1.2887,1.22477,1.2586,62086,2021-11-09
70,1.2577,1.1902,178325993.75047,1.3494,1.1197,1.2497,125405,2021-11-10
71,1.1899,1.2146,53467588.5534388,1.2541,1.1755,1.2156,46277,2021-11-11
72,1.2143,1.18933,71986237.7126457,1.23318,1.15331,1.1873,47927,2021-11-12
73,1.1884,1.18945,43959087.4814117,1.2043,1.16653,1.1883,30230,2021-11-13
74,1.1892,1.188,33681606.677015,1.1992,1.1671,1.1846,22202,2021-11-14
75,1.18883,1.1716,43254978.6973697,1.22098,1.16524,1.1971,33160,2021-11-15
76,1.17227,1.0876,130746750.599923,1.17227,1.04058,1.1065,81071,2021-11-16
77,1.0876,1.0954,47057732.5012071,1.1131,1.05879,1.0867,36767,2021-11-17
78,1.0956,1.04079,104474884.21587,1.1616,1.01569,1.0878,72041,2021-11-18
79,1.0416,1.09027,94222004.6462614,1.10521,1.01847,1.0593,54146,2021-11-19
80,1.0908,1.0982,26020014.6955096,1.10252,1.0614,1.0849,24003,2021-11-20
81,1.0984,1.0588,29854571.4017226,1.0989,1.05674,1.0771,22248,2021-11-21
82,1.0602,1.03713,52841538.3034527,1.07304,1.02675,1.0467,35694,2021-11-22
